"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","5,500.0","5,700.0","5,700.0","5,400.0","396.57K","-3.51%"
"27/06/2024","5,700.0","5,600.0","5,800.0","5,600.0","507.09K","1.79%"
"26/06/2024","5,600.0","5,800.0","5,800.0","5,600.0","504.78K","-1.75%"
"25/06/2024","5,700.0","5,800.0","5,900.0","5,600.0","371.16K","-3.39%"
"24/06/2024","5,900.0","6,000.0","6,100.0","5,700.0","477.66K","-1.67%"
"21/06/2024","6,000.0","5,800.0","6,000.0","5,600.0","757.66K","5.26%"
"20/06/2024","5,700.0","5,600.0","5,800.0","5,600.0","797.56K","1.79%"
"19/06/2024","5,600.0","5,800.0","5,900.0","5,500.0","796.09K","-3.45%"
"18/06/2024","5,800.0","5,500.0","6,000.0","5,500.0","850.33K","5.45%"
"17/06/2024","5,500.0","5,800.0","5,800.0","5,500.0","805.29K","-3.51%"
"14/06/2024","5,700.0","6,000.0","6,000.0","5,700.0","858.45K","-5.00%"
"13/06/2024","6,000.0","5,900.0","6,100.0","5,800.0","828.54K","1.69%"
"12/06/2024","5,900.0","6,000.0","6,100.0","5,800.0","621.94K","0.00%"
"11/06/2024","5,900.0","6,200.0","6,200.0","5,800.0","991.19K","-4.84%"
"10/06/2024","6,200.0","6,400.0","6,400.0","6,000.0","644.76K","-1.59%"
"07/06/2024","6,300.0","5,900.0","6,400.0","5,700.0","1.75M","6.78%"
"06/06/2024","5,900.0","6,200.0","6,400.0","5,600.0","1.87M","-4.84%"
"05/06/2024","6,200.0","6,200.0","6,700.0","6,200.0","1.22M","0.00%"
"04/06/2024","6,200.0","6,300.0","6,500.0","6,000.0","1.30M","-1.59%"
"03/06/2024","6,300.0","6,800.0","6,900.0","6,300.0","4.32M","-8.70%"
"31/05/2024","6,900.0","7,600.0","7,700.0","6,900.0","5.12M","-9.21%"
"30/05/2024","7,600.0","7,000.0","7,700.0","6,400.0","3.91M","8.57%"
"29/05/2024","7,000.0","7,700.0","7,700.0","6,900.0","2.41M","0.00%"
"28/05/2024","7,000.0","6,400.0","7,000.0","6,300.0","3.83M","9.38%"
"27/05/2024","6,400.0","6,500.0","6,800.0","6,200.0","1.05M","-1.54%"
"24/05/2024","6,500.0","6,000.0","6,500.0","5,900.0","1.90M","8.33%"
"23/05/2024","6,000.0","6,300.0","6,300.0","5,900.0","866.39K","-1.64%"
"22/05/2024","6,100.0","6,200.0","6,600.0","6,000.0","1.79M","0.00%"
"21/05/2024","6,100.0","5,700.0","6,100.0","5,700.0","1.98M","8.93%"
"20/05/2024","5,600.0","5,500.0","5,600.0","5,100.0","2.84M","9.80%"
"17/05/2024","5,100.0","5,500.0","5,500.0","5,000.0","2.96M","-1.92%"
"16/05/2024","5,200.0","5,300.0","5,700.0","5,200.0","2.12M","0.00%"
"15/05/2024","5,200.0","5,600.0","5,600.0","5,100.0","2.89M","-7.14%"
"14/05/2024","5,600.0","6,200.0","6,300.0","5,600.0","3.90M","-9.68%"
"13/05/2024","6,200.0","6,500.0","7,200.0","6,200.0","1.07M","-6.06%"
"10/05/2024","6,600.0","7,000.0","7,100.0","6,400.0","4.40M","-2.94%"
"09/05/2024","6,800.0","6,600.0","6,800.0","6,300.0","3.12M","9.68%"
"08/05/2024","6,200.0","5,700.0","6,200.0","5,600.0","1.41M","8.77%"
"07/05/2024","5,700.0","6,900.0","6,900.0","5,700.0","5.70M","-9.52%"
"06/05/2024","6,300.0","5,900.0","6,300.0","5,800.0","1.81M","8.62%"
"03/05/2024","5,800.0","5,300.0","5,800.0","5,100.0","3.17M","9.43%"
"02/05/2024","5,300.0","4,900.0","5,300.0","4,600.0","1.39M","8.16%"
"26/04/2024","4,900.0","4,600.0","4,900.0","4,400.0","1.01M","6.52%"
"25/04/2024","4,600.0","4,500.0","4,600.0","4,300.0","2.74M","9.52%"
"24/04/2024","4,200.0","4,000.0","4,200.0","3,900.0","2.51M","7.69%"
"23/04/2024","3,900.0","3,600.0","3,900.0","3,600.0","2.35M","8.33%"
"22/04/2024","3,600.0","3,300.0","3,600.0","3,300.0","979.91K","9.09%"
"19/04/2024","3,300.0","3,300.0","3,500.0","3,200.0","532.96K","0.00%"
"17/04/2024","3,300.0","3,000.0","3,300.0","3,000.0","722.26K","10.00%"
"16/04/2024","3,000.0","3,200.0","3,200.0","2,900.0","399.73K","-3.23%"
"15/04/2024","3,100.0","3,400.0","3,500.0","3,100.0","730.98K","-8.82%"
"12/04/2024","3,400.0","3,600.0","3,600.0","3,400.0","598.71K","-5.56%"
"11/04/2024","3,600.0","3,600.0","3,700.0","3,400.0","665.01K","0.00%"
"10/04/2024","3,600.0","3,600.0","3,900.0","3,500.0","1.07M","-2.70%"
"09/04/2024","3,700.0","3,600.0","3,800.0","3,300.0","2.59M","2.78%"
"08/04/2024","3,600.0","3,700.0","3,700.0","3,600.0","222.27K","-2.70%"
"05/04/2024","3,700.0","3,800.0","3,800.0","3,600.0","410.12K","-2.63%"
"04/04/2024","3,800.0","3,800.0","3,800.0","3,700.0","438.85K","0.00%"
"03/04/2024","3,800.0","3,800.0","3,900.0","3,700.0","672.60K","0.00%"
"02/04/2024","3,800.0","3,800.0","3,800.0","3,700.0","454.31K","2.70%"
"01/04/2024","3,700.0","3,700.0","3,800.0","3,700.0","593.56K","0.00%"
"29/03/2024","3,700.0","3,700.0","3,700.0","3,600.0","281.02K","0.00%"
"28/03/2024","3,700.0","3,700.0","3,800.0","3,600.0","384.08K","0.00%"
"27/03/2024","3,700.0","3,700.0","3,800.0","3,600.0","352.45K","2.78%"
"26/03/2024","3,600.0","3,700.0","3,800.0","3,600.0","223.89K","-2.70%"
"25/03/2024","3,700.0","3,700.0","3,800.0","3,700.0","563.01K","-2.63%"
"22/03/2024","3,800.0","3,800.0","3,800.0","3,700.0","319.41K","0.00%"
"21/03/2024","3,800.0","3,800.0","3,800.0","3,700.0","290.00K","0.00%"
"20/03/2024","3,800.0","3,700.0","3,800.0","3,700.0","81.70K","2.70%"
"19/03/2024","3,700.0","3,800.0","3,800.0","3,700.0","310.08K","-2.63%"
"18/03/2024","3,800.0","3,800.0","3,900.0","3,700.0","422.01K","0.00%"
"15/03/2024","3,800.0","3,800.0","3,800.0","3,700.0","283.01K","0.00%"
"14/03/2024","3,800.0","3,900.0","3,900.0","3,700.0","599.01K","-2.56%"
"13/03/2024","3,900.0","3,800.0","3,900.0","3,700.0","498.98K","5.41%"
"12/03/2024","3,700.0","3,800.0","3,800.0","3,700.0","66.93K","0.00%"
"11/03/2024","3,700.0","3,800.0","3,900.0","3,700.0","273.47K","-2.63%"
"08/03/2024","3,800.0","3,800.0","3,800.0","3,700.0","383.11K","0.00%"
"07/03/2024","3,800.0","3,800.0","3,900.0","3,800.0","196.26K","0.00%"
"06/03/2024","3,800.0","3,800.0","3,900.0","3,800.0","598.52K","0.00%"
"05/03/2024","3,800.0","3,800.0","3,900.0","3,800.0","312.61K","0.00%"
"04/03/2024","3,800.0","3,800.0","3,900.0","3,800.0","291.67K","0.00%"
"01/03/2024","3,800.0","3,900.0","3,900.0","3,800.0","598.35K","-2.56%"
"29/02/2024","3,900.0","3,900.0","4,000.0","3,800.0","673.19K","-2.50%"
"28/02/2024","4,000.0","3,900.0","4,000.0","3,800.0","300.87K","2.56%"
"27/02/2024","3,900.0","3,900.0","4,000.0","3,800.0","363.92K","0.00%"
"26/02/2024","3,900.0","3,900.0","4,000.0","3,800.0","199.22K","0.00%"
"23/02/2024","3,900.0","4,100.0","4,100.0","3,900.0","467.11K","-4.88%"
"22/02/2024","4,100.0","3,900.0","4,100.0","3,900.0","792.04K","5.13%"
"21/02/2024","3,900.0","3,900.0","4,000.0","3,900.0","302.29K","-2.50%"
"20/02/2024","4,000.0","3,900.0","4,000.0","3,800.0","383.35K","2.56%"
"19/02/2024","3,900.0","3,900.0","4,000.0","3,800.0","239.31K","0.00%"
"16/02/2024","3,900.0","3,800.0","4,000.0","3,800.0","244.33K","2.63%"
"15/02/2024","3,800.0","3,700.0","3,900.0","3,700.0","234.77K","2.70%"
"07/02/2024","3,700.0","3,700.0","3,900.0","3,700.0","186.44K","0.00%"
"06/02/2024","3,700.0","3,700.0","3,800.0","3,700.0","221.19K","0.00%"
"05/02/2024","3,700.0","3,700.0","3,800.0","3,700.0","142.32K","0.00%"
"02/02/2024","3,700.0","3,800.0","3,900.0","3,700.0","279.32K","-2.63%"
"01/02/2024","3,800.0","3,800.0","3,900.0","3,700.0","144.94K","0.00%"
