"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","19,040.00","19,720.00","19,720.00","18,800.00","1.10M","-2.26%"
"27/06/2024","19,480.00","19,840.00","19,840.00","19,200.00","669.13K","-1.81%"
"26/06/2024","19,840.00","19,920.00","20,200.00","19,680.00","1.49M","0.61%"
"25/06/2024","19,720.00","18,880.00","19,800.00","18,680.00","1.30M","4.89%"
"24/06/2024","18,800.00","19,440.00","19,760.00","18,520.00","2.38M","-4.08%"
"21/06/2024","19,600.00","19,880.00","20,000.00","19,600.00","1.49M","-1.21%"
"20/06/2024","19,840.00","20,400.00","20,400.00","19,600.00","1.79M","-1.78%"
"19/06/2024","20,200.00","20,160.00","20,600.00","20,120.00","1.93M","0.60%"
"18/06/2024","20,080.00","20,120.00","20,400.00","20,040.00","1.15M","-0.20%"
"17/06/2024","20,120.00","20,480.00","20,640.00","20,080.00","1.73M","-1.76%"
"14/06/2024","20,480.00","21,120.00","21,240.00","20,480.00","1.73M","-2.66%"
"13/06/2024","21,040.00","20,800.00","21,200.00","20,800.00","1.35M","1.94%"
"12/06/2024","20,640.00","20,640.00","20,800.00","20,400.00","1.32M","0.00%"
"11/06/2024","20,640.00","21,360.00","21,360.00","20,560.00","2.68M","-3.19%"
"10/06/2024","21,320.00","21,720.00","21,760.00","21,280.00","1.16M","-1.84%"
"07/06/2024","21,720.00","21,400.00","22,480.00","21,400.00","3.40M","1.69%"
"06/06/2024","21,360.00","21,040.00","21,480.00","21,000.00","1.88M","1.14%"
"05/06/2024","21,120.00","21,360.00","21,480.00","21,120.00","2.12M","-1.12%"
"04/06/2024","21,360.00","21,320.00","21,840.00","21,200.00","1.95M","0.75%"
"03/06/2024","21,200.00","21,200.00","21,600.00","21,200.00","1.41M","0.76%"
"31/05/2024","21,040.00","21,360.00","21,960.00","21,040.00","1.98M","-0.75%"
"30/05/2024","21,200.00","21,320.00","21,600.00","20,840.00","2.31M","-1.85%"
"29/05/2024","21,600.00","20,400.00","21,800.00","20,240.00","6.54M","5.88%"
"28/05/2024","20,400.00","20,040.00","20,560.00","19,920.00","1.54M","1.59%"
"27/05/2024","20,080.00","19,920.00","20,080.00","19,720.00","1.06M","0.80%"
"24/05/2024","19,920.00","20,400.00","20,560.00","19,360.00","3.46M","-3.49%"
"23/05/2024","20,640.00","20,240.00","20,640.00","20,040.00","2.16M","1.98%"
"22/05/2024","20,240.00","20,920.00","21,000.00","20,200.00","2.40M","-3.44%"
"21/05/2024","20,960.00","20,280.00","21,200.00","19,840.00","4.49M","3.97%"
"20/05/2024","20,160.00","20,240.00","20,760.00","20,160.00","3.14M","0.20%"
"17/05/2024","20,120.00","20,320.00","20,440.00","19,960.00","2.52M","-1.37%"
"16/05/2024","20,400.00","20,480.00","20,960.00","20,240.00","3.64M","0.79%"
"15/05/2024","20,240.00","20,240.00","20,680.00","19,840.00","2.95M","0.40%"
"14/05/2024","20,160.00","19,280.00","20,640.00","19,080.00","3.72M","3.70%"
"13/05/2024","19,440.00","19,600.00","19,640.00","19,120.00","1.48M","0.00%"
"10/05/2024","19,440.00","19,120.00","19,600.00","18,560.00","2.62M","1.04%"
"09/05/2024","19,240.00","19,560.00","19,680.00","19,120.00","1.46M","-1.84%"
"08/05/2024","19,600.00","19,040.00","19,600.00","18,840.00","2.11M","1.87%"
"07/05/2024","19,240.00","19,280.00","19,520.00","19,080.00","1.91M","0.21%"
"06/05/2024","19,200.00","18,800.00","19,520.00","18,640.00","1.93M","2.78%"
"03/05/2024","18,680.00","18,800.00","19,200.00","18,600.00","1.61M","0.65%"
"02/05/2024","18,560.00","17,680.00","18,560.00","17,600.00","2.64M","6.91%"
"26/04/2024","17,360.00","16,240.00","17,360.00","16,240.00","2.46M","5.85%"
