"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","7,300.0","7,700.0","7,700.0","7,200.0","969.47K","-5.19%"
"27/06/2024","7,700.0","7,800.0","8,000.0","7,600.0","760.69K","-1.28%"
"26/06/2024","7,800.0","7,800.0","7,900.0","7,600.0","776.84K","0.00%"
"25/06/2024","7,800.0","7,900.0","8,200.0","7,800.0","750.16K","-1.27%"
"24/06/2024","7,900.0","8,600.0","8,800.0","7,900.0","1.59M","-7.06%"
"21/06/2024","8,500.0","7,700.0","8,500.0","7,600.0","2.73M","8.97%"
"20/06/2024","7,800.0","7,900.0","8,000.0","7,500.0","1.18M","-1.27%"
"19/06/2024","7,900.0","8,200.0","8,300.0","7,800.0","1.34M","-4.82%"
"18/06/2024","8,300.0","8,600.0","8,600.0","8,100.0","825.26K","-2.35%"
"17/06/2024","8,500.0","8,000.0","8,500.0","7,800.0","1.36M","6.25%"
"14/06/2024","8,000.0","8,200.0","8,500.0","7,700.0","2.83M","-5.88%"
"13/06/2024","8,500.0","8,800.0","8,800.0","8,300.0","1.42M","-2.30%"
"12/06/2024","8,700.0","8,500.0","8,900.0","8,200.0","1.23M","3.57%"
"11/06/2024","8,400.0","9,000.0","9,000.0","8,400.0","1.41M","-5.62%"
"10/06/2024","8,900.0","9,100.0","9,500.0","8,700.0","1.26M","-2.20%"
"07/06/2024","9,100.0","8,900.0","9,100.0","8,400.0","2.31M","3.41%"
"06/06/2024","8,800.0","9,300.0","9,700.0","8,700.0","1.42M","-4.35%"
"05/06/2024","9,200.0","8,400.0","9,200.0","8,300.0","2.43M","9.52%"
"04/06/2024","8,400.0","9,100.0","9,400.0","8,400.0","3.80M","-9.68%"
"03/06/2024","9,300.0","10,500.0","10,600.0","9,300.0","2.74M","-9.71%"
"31/05/2024","10,300.0","11,500.0","11,800.0","10,200.0","1.07M","-6.36%"
"30/05/2024","11,000.0","9,200.0","11,100.0","9,200.0","5.99M","7.84%"
"29/05/2024","10,200.0","11,300.0","12,400.0","10,200.0","2.09M","-9.73%"
