"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","39,691.0","39,691.0","39,691.0","39,691.0","0.10K","1.20%"
"27/06/2024","39,220.0","39,220.0","39,220.0","39,220.0","0.60K","0.00%"
"25/06/2024","39,220.0","39,220.0","39,220.0","39,220.0","2.50K","0.00%"
"24/06/2024","39,220.0","39,220.0","39,220.0","39,220.0","4.20K","-0.48%"
"21/06/2024","39,408.0","39,220.0","39,597.0","39,220.0","12.62K","0.48%"
"20/06/2024","39,220.0","39,220.0","39,314.0","37,715.0","3.90K","0.97%"
"19/06/2024","38,844.0","39,032.0","39,314.0","38,750.0","7.10K","-0.96%"
"18/06/2024","39,220.0","38,562.0","39,314.0","38,562.0","5.70K","0.00%"
"17/06/2024","39,220.0","39,220.0","39,220.0","39,220.0","0.20K","-0.71%"
"14/06/2024","39,502.0","39,502.0","39,502.0","39,502.0","0.10K","0.48%"
"13/06/2024","39,314.0","39,314.0","39,314.0","39,314.0","0.10K","-0.24%"
"12/06/2024","39,408.0","39,314.0","39,408.0","39,314.0","9.30K","0.24%"
"11/06/2024","39,314.0","39,314.0","39,408.0","39,314.0","5.00K","0.24%"
"10/06/2024","39,220.0","35,928.0","39,220.0","35,928.0","2.20K","-0.48%"
"07/06/2024","39,408.0","35,176.0","39,502.0","35,176.0","0.70K","0.96%"
"05/06/2024","39,032.0","39,032.0","39,032.0","39,032.0","0.40K","0.48%"
"04/06/2024","38,844.0","38,938.0","38,938.0","38,844.0","3.00K","-0.24%"
"03/06/2024","38,938.0","39,126.0","39,126.0","38,938.0","2.20K","-0.96%"
"31/05/2024","39,314.0","39,502.0","39,502.0","39,314.0","0.20K","0.48%"
"30/05/2024","39,126.0","37,715.0","39,502.0","37,621.0","5.40K","2.71%"
"29/05/2024","38,092.0","37,527.0","38,092.0","37,527.0","4.50K","1.25%"
"28/05/2024","37,621.0","37,527.0","37,621.0","37,527.0","7.50K","0.25%"
"27/05/2024","37,527.0","37,527.0","37,527.0","37,527.0","2.41K","0.00%"
"24/05/2024","37,527.0","37,527.0","37,527.0","37,527.0","0.11K","0.00%"
"23/05/2024","37,527.0","37,527.0","37,527.0","37,527.0","0.20K","0.25%"
"22/05/2024","37,433.0","37,527.0","37,527.0","37,433.0","2.61K","0.76%"
"21/05/2024","37,151.0","37,527.0","37,527.0","37,151.0","0.90K","0.00%"
"20/05/2024","37,151.0","37,433.0","37,433.0","37,151.0","2.31K","-0.75%"
"17/05/2024","37,433.0","37,339.0","37,433.0","37,151.0","3.91K","0.00%"
"16/05/2024","37,433.0","37,527.0","37,527.0","37,151.0","3.20K","-0.25%"
"15/05/2024","37,527.0","37,527.0","37,527.0","37,527.0","0.10K","1.78%"
"14/05/2024","36,869.0","37,621.0","37,621.0","36,869.0","0.41K","-2.00%"
"13/05/2024","37,621.0","37,527.0","37,621.0","37,527.0","2.50K","0.25%"
"10/05/2024","37,527.0","37,527.0","37,527.0","37,527.0","0.10K","-0.25%"
