"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","62,843","64,813","64,813","61,858","1.14M","-2.15%"
"27/06/2024","64,222","65,010","66,685","64,222","1.49M","-1.21%"
"26/06/2024","65,010","61,957","65,010","60,972","2.34M","4.76%"
"25/06/2024","62,055","60,972","62,055","60,184","409.30K","1.78%"
"24/06/2024","60,972","63,040","63,040","60,479","943.80K","-3.28%"
"21/06/2024","63,040","63,631","63,828","62,449","689.00K","0.00%"
"20/06/2024","63,040","61,957","64,222","61,661","1.46M","2.07%"
"19/06/2024","61,760","61,661","61,760","60,873","509.90K","0.16%"
"18/06/2024","61,661","60,972","61,661","60,873","355.70K","1.13%"
"17/06/2024","60,972","62,252","62,252","60,775","502.30K","-1.43%"
"14/06/2024","61,858","63,533","63,631","61,858","799.50K","-2.48%"
"13/06/2024","63,434","63,434","63,631","62,646","670.00K","0.31%"
"12/06/2024","63,237","61,661","63,237","61,366","660.40K","2.07%"
"11/06/2024","61,957","62,646","62,843","61,563","660.70K","-0.63%"
"10/06/2024","62,351","63,730","63,730","62,351","723.80K","-2.01%"
"07/06/2024","63,631","64,025","64,025","62,449","675.00K","0.00%"
"06/06/2024","63,631","62,646","64,025","62,646","1.10M","1.57%"
"05/06/2024","62,646","62,055","64,321","61,267","2.52M","2.09%"
"04/06/2024","61,366","62,154","62,252","61,267","475.60K","-1.11%"
"03/06/2024","62,055","60,676","62,548","60,479","1.02M","3.62%"
"31/05/2024","59,888","60,085","60,873","59,691","296.90K","-0.33%"
"30/05/2024","60,085","60,578","61,267","59,199","1.12M","-1.45%"
"29/05/2024","60,972","61,563","61,858","60,578","719.60K","-1.28%"
"28/05/2024","61,760","61,957","61,957","61,070","538.90K","0.97%"
"27/05/2024","61,169","60,479","62,055","59,593","728.70K","0.98%"
"24/05/2024","60,578","63,040","63,434","59,888","1.66M","-4.20%"
"23/05/2024","63,237","62,154","63,434","61,563","1.42M","1.74%"
"22/05/2024","62,154","63,927","63,927","61,661","1.53M","-1.87%"
"21/05/2024","63,336","62,942","64,124","62,154","2.20M","2.23%"
"20/05/2024","61,957","59,790","61,957","59,691","2.05M","6.97%"
"17/05/2024","57,918","57,229","58,608","57,229","460.40K","1.20%"
"16/05/2024","57,229","58,017","58,017","57,229","448.40K","-0.85%"
"15/05/2024","57,721","58,115","58,115","57,327","409.50K","0.34%"
"14/05/2024","57,524","56,145","57,820","55,456","1.24M","3.91%"
"13/05/2024","55,357","56,835","57,130","54,963","409.10K","-1.40%"
"10/05/2024","56,145","57,623","57,721","55,653","490.10K","-1.72%"
"09/05/2024","57,130","53,584","57,130","53,584","1.73M","6.42%"
"08/05/2024","53,683","53,978","53,978","52,796","510.40K","-0.55%"
"07/05/2024","53,978","54,471","54,766","53,781","420.40K","-0.55%"
"06/05/2024","54,274","53,190","54,372","53,092","508.00K","2.42%"
"03/05/2024","52,993","53,190","53,683","52,698","429.80K","-0.37%"
"02/05/2024","53,190","51,713","53,190","51,713","489.10K","3.05%"
"26/04/2024","51,614","51,220","52,008","51,220","349.00K","-0.19%"
"25/04/2024","51,713","52,008","52,501","51,417","328.30K","0.38%"
"24/04/2024","51,516","50,235","51,811","50,137","771.30K","3.56%"
"23/04/2024","49,743","51,910","52,205","49,644","625.00K","-4.17%"
"22/04/2024","51,910","51,023","52,107","50,925","307.50K","2.13%"
"19/04/2024","50,826","51,516","52,501","49,940","1.15M","-4.97%"
"17/04/2024","53,486","55,357","55,357","53,486","522.60K","-2.34%"
"16/04/2024","54,766","55,948","56,145","53,978","791.00K","-2.11%"
"15/04/2024","55,948","60,282","60,282","55,948","1.29M","-6.89%"
"12/04/2024","60,085","59,790","60,085","58,805","950.00K","1.16%"
"11/04/2024","59,396","60,085","60,085","59,396","684.30K","-1.63%"
"10/04/2024","60,381","60,873","61,366","60,282","580.50K","-0.81%"
"09/04/2024","60,873","60,972","60,972","60,085","475.20K","-0.32%"
"08/04/2024","61,070","61,661","61,760","61,070","407.80K","-0.96%"
"05/04/2024","61,661","62,055","62,351","61,661","703.70K","-1.42%"
"04/04/2024","62,548","63,434","63,434","62,548","635.40K","-1.40%"
"03/04/2024","63,434","64,321","64,321","63,336","482.60K","-1.53%"
"02/04/2024","64,419","63,434","64,419","62,745","624.00K","1.71%"
"01/04/2024","63,336","64,025","64,419","63,139","719.50K","-0.92%"
"29/03/2024","63,927","64,419","64,518","63,927","610.90K","-0.61%"
"28/03/2024","64,321","64,715","65,010","64,124","580.10K","0.15%"
"27/03/2024","64,222","64,715","64,715","63,927","456.20K","0.15%"
"26/03/2024","64,124","64,025","64,419","63,828","650.90K","0.00%"
"25/03/2024","64,124","64,616","65,207","63,828","727.20K","-0.91%"
"22/03/2024","64,715","65,010","65,109","64,124","1.20M","0.00%"
"21/03/2024","64,715","64,518","65,109","64,222","801.60K","1.08%"
"20/03/2024","64,025","63,434","64,321","62,843","798.60K","0.93%"
"19/03/2024","63,434","63,631","64,321","63,336","598.60K","-0.31%"
"18/03/2024","63,631","66,586","67,079","62,055","2.08M","-4.30%"
"15/03/2024","66,488","66,882","67,867","66,291","1.30M","-0.59%"
"14/03/2024","66,882","68,359","69,640","66,783","1.92M","-1.88%"
"13/03/2024","68,162","67,079","68,655","66,980","1.39M","1.91%"
"12/03/2024","66,882","65,798","67,867","65,207","1.30M","1.19%"
"11/03/2024","66,094","68,359","68,852","65,700","1.56M","-3.17%"
"08/03/2024","68,261","68,950","69,935","68,261","2.47M","0.44%"
"07/03/2024","67,965","65,503","67,965","65,207","1.92M","4.23%"
"06/03/2024","65,207","64,813","66,685","64,025","1.57M","1.07%"
"05/03/2024","64,518","64,616","65,404","63,631","1.34M","0.15%"
"04/03/2024","64,419","63,434","65,404","62,843","1.83M","2.83%"
"01/03/2024","62,646","62,449","63,040","62,154","851.90K","0.47%"
"29/02/2024","62,351","62,548","63,631","62,252","871.80K","-0.16%"
"28/02/2024","62,449","63,040","63,336","61,957","787.20K","0.16%"
"27/02/2024","62,351","62,548","62,843","61,957","1.03M","0.00%"
"26/02/2024","62,351","62,351","62,843","61,760","775.90K","0.00%"
"23/02/2024","62,351","64,222","64,616","62,351","1.43M","-2.76%"
"22/02/2024","64,124","64,912","66,291","64,124","1.32M","-1.06%"
"21/02/2024","64,813","62,843","65,010","62,548","1.60M","3.13%"
"20/02/2024","62,843","63,434","63,828","62,745","519.60K","-0.78%"
"19/02/2024","63,336","62,745","64,025","62,055","999.90K","1.10%"
"16/02/2024","62,646","62,745","63,730","62,548","593.10K","-0.16%"
"15/02/2024","62,745","63,533","63,533","62,252","369.00K","-0.47%"
"07/02/2024","63,040","62,843","63,730","62,548","276.50K","0.31%"
"06/02/2024","62,843","62,548","64,025","62,252","469.00K","0.47%"
"05/02/2024","62,548","63,631","63,828","62,548","633.50K","-1.55%"
"02/02/2024","63,533","64,124","65,010","63,533","680.40K","-2.27%"
"01/02/2024","65,010","63,434","65,503","63,336","738.10K","1.07%"
"31/01/2024","64,321","64,518","64,518","62,843","980.70K","0.00%"
"30/01/2024","64,321","61,169","64,518","60,775","1.71M","5.15%"
"29/01/2024","61,169","61,464","61,858","60,775","588.40K","0.49%"
"26/01/2024","60,873","60,972","61,070","60,282","586.20K","0.32%"
"25/01/2024","60,676","60,676","60,775","59,888","567.40K","-0.65%"
"24/01/2024","61,070","62,055","62,055","60,578","509.60K","0.00%"
"23/01/2024","61,070","60,873","61,858","60,381","818.70K","1.31%"
"22/01/2024","60,282","60,381","60,775","59,593","489.10K","0.00%"
"19/01/2024","60,282","59,396","60,282","59,396","666.50K","1.49%"
"18/01/2024","59,396","58,903","59,396","58,509","464.10K","0.67%"
"17/01/2024","59,002","58,509","59,100","58,312","378.50K","0.84%"
"16/01/2024","58,509","58,706","58,706","58,017","411.30K","-0.17%"
"15/01/2024","58,608","58,903","59,593","58,312","199.70K","-0.67%"
"12/01/2024","59,002","59,494","59,494","58,214","521.40K","-0.83%"
"11/01/2024","59,494","57,918","60,676","57,918","711.30K","2.03%"
"10/01/2024","58,312","58,411","58,706","58,017","481.60K","-0.67%"
"09/01/2024","58,706","59,199","59,297","58,509","608.60K","-1.16%"
"08/01/2024","59,396","59,593","59,888","59,100","550.20K","-0.33%"
"05/01/2024","59,593","59,987","60,085","59,100","515.60K","-0.49%"
"04/01/2024","59,888","60,184","60,676","59,888","547.10K","-1.14%"
"03/01/2024","60,578","60,775","60,775","59,691","623.30K","-0.65%"
"02/01/2024","60,972","61,563","62,154","60,972","349.20K","-1.59%"
"29/12/2023","61,957","61,760","61,957","61,169","608.70K","0.32%"
"28/12/2023","61,760","61,661","61,760","60,873","529.40K","0.16%"
"27/12/2023","61,661","61,267","62,055","61,070","464.20K","0.48%"
"26/12/2023","61,366","60,972","62,449","60,479","517.70K","0.65%"
"25/12/2023","60,972","60,282","61,070","60,085","515.70K","0.16%"
"22/12/2023","60,873","60,184","60,873","59,888","398.00K","0.00%"
"21/12/2023","60,873","59,593","60,873","59,396","281.80K","0.81%"
"20/12/2023","60,381","60,085","60,873","59,396","314.10K","0.49%"
"19/12/2023","60,085","59,100","60,085","57,820","478.00K","0.49%"
"18/12/2023","59,790","60,578","60,578","58,805","454.40K","-2.10%"
"15/12/2023","61,070","62,055","62,351","61,070","411.90K","-2.67%"
"14/12/2023","62,745","62,843","63,040","62,055","348.30K","-0.31%"
"13/12/2023","62,942","63,237","63,533","62,548","440.20K","-0.78%"
"12/12/2023","63,434","64,025","64,321","63,139","336.50K","-1.08%"
"11/12/2023","64,124","64,124","64,912","62,942","453.60K","0.15%"
"08/12/2023","64,025","63,533","65,995","63,434","514.30K","0.31%"
"07/12/2023","63,828","66,685","66,685","62,351","670.90K","-1.82%"
"06/12/2023","65,010","66,685","66,685","63,631","716.20K","4.26%"
"05/12/2023","62,351","60,085","62,351","59,100","1.17M","6.93%"
"04/12/2023","58,312","57,130","58,903","56,736","667.40K","1.72%"
"01/12/2023","57,327","56,539","57,327","56,342","252.90K","0.00%"
"30/11/2023","57,327","56,835","57,327","56,539","330.10K","0.00%"
