"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","9,444.4","10,152.8","10,152.8","9,444.4","1.72M","-5.66%"
"27/06/2024","10,011.1","10,058.3","10,247.2","10,011.1","629.20K","-2.30%"
"26/06/2024","10,247.2","10,483.3","10,813.9","10,058.3","1.39M","-3.13%"
"25/06/2024","10,577.8","11,097.2","11,097.2","10,388.9","1.04M","-3.03%"
"24/06/2024","10,908.3","10,672.2","11,238.9","10,672.2","2.88M","3.59%"
"21/06/2024","10,530.6","10,247.2","10,672.2","10,247.2","1.17M","2.77%"
"20/06/2024","10,247.2","10,388.9","10,388.9","9,869.4","1.07M","0.46%"
"19/06/2024","10,200.0","10,672.2","10,766.7","10,152.8","957.30K","-4.00%"
"18/06/2024","10,625.0","10,247.2","10,625.0","10,011.1","1.67M","6.63%"
"17/06/2024","9,963.9","9,869.4","10,200.0","9,680.6","929.70K","2.43%"
"14/06/2024","9,727.8","10,105.6","10,200.0","9,727.8","1.20M","-4.63%"
"13/06/2024","10,200.0","10,388.9","10,388.9","10,152.8","779.80K","-0.92%"
"12/06/2024","10,294.4","10,766.7","10,766.7","10,152.8","825.10K","-2.68%"
"11/06/2024","10,577.8","10,200.0","10,577.8","9,822.2","944.40K","5.16%"
"10/06/2024","10,058.3","10,294.4","10,341.7","9,633.3","1.68M","-2.29%"
"07/06/2024","10,294.4","10,105.6","10,388.9","10,058.3","1.17M","1.39%"
"06/06/2024","10,152.8","10,577.8","10,577.8","10,058.3","1.23M","-2.27%"
"05/06/2024","10,388.9","10,861.1","10,861.1","10,200.0","1.43M","-3.51%"
"04/06/2024","10,766.7","10,672.2","11,002.8","10,388.9","1.05M","0.89%"
"03/06/2024","10,672.2","10,672.2","10,672.2","10,388.9","2.13M","6.60%"
"31/05/2024","10,011.1","10,813.9","10,955.6","10,011.1","1.98M","-3.64%"
"30/05/2024","10,388.9","10,011.1","10,388.9","9,444.4","2.38M","2.33%"
"29/05/2024","10,152.8","10,152.8","10,152.8","9,822.2","3.58M","6.97%"
"28/05/2024","9,491.7","9,161.1","9,491.7","9,161.1","2.70M","6.80%"
"27/05/2024","8,887.2","8,783.3","8,887.2","8,773.9","2.70M","6.93%"
"24/05/2024","8,311.1","8,556.7","8,783.3","8,245.0","775.80K","-3.61%"
"23/05/2024","8,622.8","8,736.1","8,736.1","8,311.1","887.40K","-1.30%"
"22/05/2024","8,736.1","9,066.7","9,066.7","8,660.6","851.30K","0.54%"
