"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/02/2026","18,900.0","19,000.0","19,500.0","18,800.0","8.21M","-0.53%"
"12/02/2026","19,000.0","19,400.0","19,500.0","19,000.0","4.02M","-1.55%"
"11/02/2026","19,300.0","18,400.0","19,800.0","18,400.0","13.22M","4.89%"
"10/02/2026","18,400.0","18,500.0","18,800.0","18,100.0","5.62M","-0.54%"
"09/02/2026","18,500.0","18,500.0","18,800.0","18,300.0","6.14M","1.09%"
"06/02/2026","18,300.0","19,300.0","19,400.0","18,300.0","14.71M","-5.18%"
"05/02/2026","19,300.0","19,500.0","20,300.0","19,300.0","11.95M","-1.03%"
"04/02/2026","19,500.0","19,400.0","19,900.0","19,100.0","11.00M","0.52%"
"03/02/2026","19,400.0","19,700.0","20,300.0","19,400.0","10.11M","-1.52%"
"02/02/2026","19,700.0","20,000.0","20,500.0","19,200.0","10.34M","-1.50%"
"30/01/2026","20,000.0","19,400.0","20,500.0","19,300.0","24.23M","3.63%"
"29/01/2026","19,300.0","19,100.0","19,900.0","18,800.0","8.14M","1.05%"
"28/01/2026","19,100.0","18,300.0","19,700.0","17,700.0","17.78M","4.37%"
"27/01/2026","18,300.0","18,300.0","18,700.0","17,300.0","7.65M","0.55%"
"26/01/2026","18,200.0","19,800.0","19,800.0","17,900.0","15.54M","-6.19%"
"23/01/2026","19,400.0","20,600.0","21,300.0","19,200.0","14.74M","-5.83%"
"22/01/2026","20,600.0","19,000.0","20,600.0","18,500.0","31.69M","9.57%"
"21/01/2026","18,800.0","18,700.0","19,400.0","18,300.0","12.67M","0.53%"
"20/01/2026","18,700.0","19,200.0","19,500.0","18,600.0","13.57M","-2.60%"
"19/01/2026","19,200.0","19,100.0","19,700.0","19,000.0","9.67M","0.52%"
