"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/02/2026","9,140.00","9,200.00","9,220.00","9,130.00","24.00K","0.11%"
"12/02/2026","9,130.00","9,180.00","9,250.00","9,010.00","41.60K","-0.44%"
"11/02/2026","9,170.00","9,200.00","9,300.00","9,150.00","95.40K","-0.33%"
"10/02/2026","9,200.00","9,250.00","9,330.00","9,200.00","28.40K","-0.54%"
"09/02/2026","9,250.00","9,550.00","9,550.00","9,250.00","94.60K","-3.24%"
"06/02/2026","9,560.00","9,600.00","9,620.00","9,550.00","60.40K","-2.45%"
"05/02/2026","9,800.00","9,700.00","9,800.00","9,620.00","40.20K","0.51%"
"04/02/2026","9,750.00","9,760.00","9,760.00","9,620.00","24.50K","-0.10%"
"03/02/2026","9,760.00","9,600.00","10,000.00","9,600.00","67.40K","-0.61%"
"02/02/2026","9,820.00","9,990.00","9,990.00","9,800.00","38.50K","-1.70%"
"30/01/2026","9,990.00","9,800.00","9,990.00","9,780.00","26.40K","1.94%"
"29/01/2026","9,800.00","9,900.00","9,980.00","9,750.00","32.80K","0.00%"
"28/01/2026","9,800.00","9,900.00","9,900.00","9,780.00","46.30K","-0.91%"
"27/01/2026","9,890.00","9,900.00","10,200.00","9,830.00","58.60K","-0.10%"
"26/01/2026","9,900.00","10,150.00","10,150.00","9,900.00","34.10K","-2.46%"
"23/01/2026","10,150.00","10,200.00","10,200.00","10,050.00","5.80K","-1.46%"
"22/01/2026","10,300.00","9,830.00","10,350.00","9,830.00","55.80K","3.31%"
"21/01/2026","9,970.00","10,250.00","10,250.00","9,950.00","31.10K","0.20%"
"20/01/2026","9,950.00","10,000.00","10,050.00","9,950.00","31.70K","-0.50%"
"19/01/2026","10,000.00","10,050.00","10,300.00","10,000.00","36.80K","-0.99%"
