"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"13/02/2026","7,800.0","7,790.0","7,800.0","7,500.0","168.90K","-1.27%"
"12/02/2026","7,900.0","7,590.0","7,900.0","7,250.0","232.10K","5.33%"
"11/02/2026","7,500.0","7,200.0","7,500.0","7,140.0","307.20K","5.63%"
"10/02/2026","7,100.0","7,000.0","7,200.0","6,880.0","211.70K","2.90%"
"09/02/2026","6,900.0","6,950.0","7,000.0","6,800.0","366.90K","0.00%"
"06/02/2026","6,900.0","7,010.0","7,250.0","6,900.0","414.80K","-2.95%"
"05/02/2026","7,110.0","7,300.0","7,300.0","7,110.0","247.40K","-1.52%"
"04/02/2026","7,220.0","7,300.0","7,300.0","7,180.0","365.20K","-1.10%"
"03/02/2026","7,300.0","7,500.0","7,500.0","7,280.0","191.00K","-1.35%"
"02/02/2026","7,400.0","7,480.0","7,590.0","7,110.0","526.20K","-2.63%"
"30/01/2026","7,600.0","7,600.0","7,670.0","7,480.0","438.20K","0.00%"
"29/01/2026","7,600.0","7,450.0","7,690.0","7,400.0","578.90K","2.56%"
"28/01/2026","7,410.0","7,700.0","7,700.0","7,350.0","426.50K","-3.52%"
"27/01/2026","7,680.0","7,560.0","7,700.0","7,550.0","410.70K","-0.26%"
"26/01/2026","7,700.0","8,000.0","8,000.0","7,680.0","328.40K","-2.53%"
"23/01/2026","7,900.0","8,020.0","8,070.0","7,880.0","278.80K","-1.50%"
"22/01/2026","8,020.0","8,020.0","8,070.0","7,910.0","547.50K","0.00%"
"21/01/2026","8,020.0","8,100.0","8,300.0","8,000.0","393.00K","-2.20%"
"20/01/2026","8,200.0","8,290.0","8,300.0","8,100.0","325.30K","-1.20%"
"19/01/2026","8,300.0","8,400.0","8,400.0","8,250.0","243.70K","-1.78%"
