"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","25,181.8","25,727.3","25,727.3","25,181.8","63.19K","-1.77%"
"27/06/2024","25,636.4","25,545.5","25,818.2","25,454.5","26.82K","0.71%"
"26/06/2024","25,454.5","26,363.6","26,363.6","25,363.6","62.93K","-0.36%"
"25/06/2024","25,545.5","25,545.5","25,909.1","25,454.5","34.49K","0.36%"
"24/06/2024","25,454.5","26,090.9","26,545.5","25,454.5","118.47K","-1.75%"
"21/06/2024","25,909.1","26,090.9","26,090.9","25,454.5","102.28K","-0.35%"
"20/06/2024","26,000.0","26,272.7","26,272.7","25,363.6","86.38K","-0.69%"
"19/06/2024","26,181.8","26,454.5","26,454.5","25,909.1","101.37K","0.00%"
"18/06/2024","26,181.8","26,727.3","26,818.2","26,181.8","73.71K","-0.69%"
"17/06/2024","26,363.6","26,181.8","26,727.3","25,454.5","70.77K","0.69%"
"14/06/2024","26,181.8","27,818.2","27,818.2","26,181.8","104.18K","-5.57%"
"13/06/2024","27,727.3","29,000.0","29,545.5","27,727.3","110.73K","1.95%"
"12/06/2024","27,197.0","27,803.0","27,803.0","27,045.4","179.22K","-2.18%"
"11/06/2024","27,803.0","26,969.7","28,409.1","26,893.9","120.55K","2.51%"
"10/06/2024","27,121.2","26,212.1","27,878.8","26,212.1","102.04K","-1.10%"
"07/06/2024","27,424.2","27,878.8","28,409.1","26,969.7","142.80K","-0.82%"
"06/06/2024","27,651.5","27,651.5","28,712.1","27,121.2","256.64K","0.00%"
"05/06/2024","27,651.5","26,363.6","27,878.8","26,363.6","213.21K","4.89%"
"04/06/2024","26,363.6","26,742.4","27,121.2","26,363.6","82.86K","-1.14%"
"03/06/2024","26,666.7","28,181.8","28,712.1","26,666.7","112.60K","-0.28%"
"31/05/2024","26,742.4","25,984.8","28,106.1","25,757.6","131.45K","4.13%"
"30/05/2024","25,681.8","26,590.9","26,590.9","24,924.2","283.04K","-3.14%"
"29/05/2024","26,515.1","27,727.3","28,030.3","26,439.4","355.42K","-4.37%"
"28/05/2024","27,727.3","25,757.6","28,787.9","25,757.6","171.59K","-2.92%"
"27/05/2024","28,560.6","27,651.5","29,393.9","27,651.5","208.29K","4.14%"
"24/05/2024","27,424.2","27,651.5","29,697.0","26,590.9","707.75K","1.40%"
"23/05/2024","27,045.4","25,000.0","27,045.4","25,000.0","432.04K","9.85%"
"22/05/2024","24,621.2","22,651.5","24,621.2","22,575.8","571.55K","9.80%"
"21/05/2024","22,424.2","22,272.7","22,727.3","22,121.2","97.78K","0.68%"
"20/05/2024","22,272.7","22,575.8","22,727.3","22,272.7","108.44K","-1.01%"
"17/05/2024","22,500.0","22,197.0","22,500.0","22,197.0","71.90K","0.68%"
"16/05/2024","22,348.5","22,045.4","22,500.0","21,969.7","52.41K","1.72%"
"15/05/2024","21,969.7","22,500.0","22,575.8","21,969.7","54.66K","-1.36%"
"14/05/2024","22,272.7","22,272.7","22,348.5","21,969.7","48.71K","0.00%"
"13/05/2024","22,272.7","21,818.2","22,727.3","21,818.2","98.60K","3.52%"
"10/05/2024","21,515.1","21,818.2","21,818.2","21,439.4","63.02K","-0.70%"
