"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","10,267.9","10,267.9","10,267.9","10,267.9","0.11K","0.00%"
"27/06/2024","10,267.9","10,267.9","10,446.4","10,267.9","1.01K","0.00%"
"25/06/2024","10,267.9","10,267.9","10,267.9","10,267.9","0.14K","0.00%"
"24/06/2024","10,267.9","10,267.9","10,267.9","10,267.9","0.28K","-1.71%"
"21/06/2024","10,446.4","10,446.4","11,071.4","10,446.4","6.16K","-0.85%"
"20/06/2024","10,535.7","10,267.9","10,535.7","10,267.9","5.04K","6.31%"
"19/06/2024","9,910.7","9,910.7","9,910.7","9,910.7","1.57K","-1.77%"
"17/06/2024","10,089.3","10,357.1","10,357.1","10,089.3","0.56K","-2.59%"
"14/06/2024","10,357.1","10,625.0","10,625.0","10,357.1","3.14K","-1.69%"
"13/06/2024","10,535.7","9,821.4","10,535.7","9,821.4","0.34K","0.00%"
"12/06/2024","10,535.7","10,357.1","10,535.7","10,357.1","1.68K","4.42%"
"11/06/2024","10,089.3","10,089.3","10,089.3","10,089.3","0.56K","-4.24%"
"10/06/2024","10,535.7","10,535.7","10,625.0","10,535.7","1.46K","-0.84%"
"07/06/2024","10,625.0","10,625.0","10,625.0","10,625.0","0.11K","2.59%"
"05/06/2024","10,357.1","10,357.1","10,357.1","10,357.1","0.11K","0.00%"
"04/06/2024","10,357.1","10,267.9","10,357.1","10,178.6","0.45K","0.87%"
"03/06/2024","10,267.9","10,446.4","10,535.7","10,178.6","9.52K","0.00%"
"31/05/2024","10,267.9","10,089.3","10,267.9","10,089.3","2.46K","3.60%"
"30/05/2024","9,910.7","9,821.4","9,910.7","9,821.4","0.34K","-0.89%"
"28/05/2024","10,000.0","10,089.3","10,178.6","10,000.0","2.02K","-0.88%"
"24/05/2024","10,089.3","10,000.0","10,089.3","10,000.0","1.79K","0.89%"
"23/05/2024","10,000.0","10,000.0","10,000.0","10,000.0","2.80K","0.00%"
"22/05/2024","10,000.0","10,000.0","10,089.3","10,000.0","17.47K","0.00%"
"21/05/2024","10,000.0","10,267.9","10,267.9","9,821.4","16.13K","0.00%"
"20/05/2024","10,000.0","10,982.1","11,160.7","10,000.0","1.71K","-2.61%"
"17/05/2024","10,267.9","10,267.9","10,267.9","9,821.4","39.87K","2.68%"
"16/05/2024","10,000.0","10,267.9","10,267.9","9,821.4","6.27K","1.82%"
"15/05/2024","9,821.4","10,357.1","10,357.1","9,821.4","4.14K","-2.65%"
"14/05/2024","10,089.3","9,910.7","10,267.9","9,821.4","13.66K","2.73%"
"13/05/2024","9,821.4","9,910.7","10,357.1","9,821.4","9.97K","0.00%"
"10/05/2024","9,821.4","10,089.3","10,089.3","9,821.4","3.47K","-5.17%"
"09/05/2024","10,357.1","10,357.1","10,357.1","10,357.1","0.22K","1.75%"
"08/05/2024","10,178.6","10,089.3","10,535.7","10,089.3","7.06K","-5.00%"
"06/05/2024","10,714.3","10,714.3","10,714.3","10,714.3","1.01K","3.45%"
"02/05/2024","10,357.1","10,357.1","10,357.1","10,357.1","0.56K","3.57%"
"25/04/2024","10,000.0","10,089.3","10,089.3","9,821.4","6.50K","-3.45%"
"24/04/2024","10,357.1","10,089.3","10,357.1","10,089.3","0.45K","2.65%"
"22/04/2024","10,089.3","10,089.3","10,089.3","10,089.3","2.24K","-1.74%"
"19/04/2024","10,267.9","10,267.9","10,267.9","10,267.9","1.12K","0.00%"
"17/04/2024","10,267.9","10,357.1","10,446.4","10,267.9","6.83K","3.60%"
"16/04/2024","9,910.7","10,357.1","10,357.1","9,910.7","1.01K","-7.50%"
"15/04/2024","10,714.3","10,000.0","10,714.3","10,000.0","4.93K","1.69%"
