"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","39,348.0","39,307.0","39,631.0","39,186.0","32.00K","0.00%"
"27/06/2024","39,348.0","39,307.0","39,429.0","39,105.0","32.90K","-0.21%"
"26/06/2024","39,429.0","39,510.0","39,510.0","39,105.0","31.50K","0.00%"
"25/06/2024","39,429.0","39,267.0","39,672.0","38,984.0","19.50K","0.21%"
"24/06/2024","39,348.0","39,834.0","39,955.0","38,943.0","80.20K","-0.41%"
"21/06/2024","39,510.0","39,591.0","39,591.0","39,469.0","19.20K","0.10%"
"20/06/2024","39,469.0","39,267.0","39,672.0","38,862.0","106.20K","1.24%"
"19/06/2024","38,984.0","39,267.0","39,267.0","38,903.0","34.10K","0.00%"
"18/06/2024","38,984.0","39,267.0","39,267.0","38,457.0","27.70K","0.11%"
"17/06/2024","38,943.0","38,417.0","40,036.0","38,133.0","105.70K","1.48%"
"14/06/2024","38,376.0","38,133.0","38,457.0","37,972.0","31.10K","0.64%"
"13/06/2024","38,133.0","38,053.0","38,295.0","38,012.0","25.90K","0.53%"
"12/06/2024","37,931.0","38,093.0","38,093.0","37,931.0","38.00K","0.00%"
"11/06/2024","37,931.0","37,931.0","38,255.0","37,891.0","26.30K","0.11%"
"10/06/2024","37,891.0","37,891.0","38,822.0","37,891.0","43.30K","-1.68%"
"07/06/2024","38,538.0","38,457.0","38,862.0","37,891.0","32.10K","0.95%"
"06/06/2024","38,174.0","37,972.0","38,214.0","37,850.0","19.00K","0.32%"
"05/06/2024","38,053.0","38,174.0","38,376.0","38,053.0","66.50K","-0.11%"
"04/06/2024","38,093.0","38,457.0","38,457.0","37,810.0","92.20K","0.00%"
"03/06/2024","38,093.0","38,457.0","38,862.0","37,891.0","41.30K","-0.95%"
"31/05/2024","38,457.0","38,943.0","39,348.0","37,405.0","111.50K","-0.84%"
"30/05/2024","38,781.0","36,919.0","38,862.0","36,919.0","157.80K","4.13%"
"29/05/2024","37,243.0","36,676.0","37,648.0","36,676.0","231.30K","1.10%"
"28/05/2024","36,838.0","36,555.0","37,729.0","36,555.0","20.00K","-0.66%"
"27/05/2024","37,081.0","35,826.0","37,648.0","35,664.0","48.80K","3.50%"
"24/05/2024","35,826.0","36,028.0","36,352.0","35,826.0","61.40K","-0.78%"
"23/05/2024","36,109.0","36,069.0","36,352.0","35,867.0","16.40K","0.56%"
"22/05/2024","35,907.0","36,514.0","36,676.0","35,907.0","53.00K","-1.88%"
"21/05/2024","36,595.0","36,433.0","36,838.0","36,433.0","23.40K","-0.66%"
"20/05/2024","36,838.0","36,798.0","36,838.0","36,352.0","29.60K","0.11%"
"17/05/2024","36,798.0","36,109.0","36,838.0","36,109.0","45.80K","1.91%"
"16/05/2024","36,109.0","36,514.0","36,514.0","36,109.0","55.50K","-1.00%"
"15/05/2024","36,474.0","37,405.0","37,405.0","36,150.0","150.40K","-1.42%"
"14/05/2024","37,000.0","37,567.0","37,688.0","36,798.0","44.50K","-1.61%"
"13/05/2024","37,607.0","37,283.0","38,053.0","37,243.0","104.60K","2.09%"
"10/05/2024","36,838.0","35,907.0","37,162.0","35,624.0","112.60K","3.17%"
"09/05/2024","35,705.0","35,705.0","35,907.0","35,624.0","38.10K","-0.56%"
"08/05/2024","35,907.0","35,988.0","35,988.0","35,624.0","38.60K","0.11%"
"07/05/2024","35,867.0","36,393.0","36,393.0","35,624.0","37.60K","-0.45%"
"06/05/2024","36,028.0","36,271.0","36,433.0","35,786.0","58.10K","1.36%"
"03/05/2024","35,543.0","35,016.0","35,867.0","35,016.0","49.20K","0.92%"
"02/05/2024","35,219.0","34,652.0","35,219.0","34,652.0","22.90K","1.64%"
"26/04/2024","34,652.0","34,733.0","34,733.0","34,490.0","16.50K","0.00%"
"25/04/2024","34,652.0","34,733.0","35,057.0","34,571.0","12.50K","-0.81%"
"24/04/2024","34,935.0","34,733.0","35,057.0","34,490.0","44.00K","2.01%"
"23/04/2024","34,247.0","34,247.0","34,814.0","34,247.0","24.60K","-0.47%"
"22/04/2024","34,409.0","34,166.0","34,652.0","34,166.0","38.40K","-0.23%"
"19/04/2024","34,490.0","35,381.0","35,381.0","33,883.0","66.80K","-2.85%"
"17/04/2024","35,502.0","35,462.0","36,433.0","35,300.0","36.70K","0.80%"
"16/04/2024","35,219.0","34,814.0","36,109.0","34,652.0","48.20K","1.64%"
"15/04/2024","34,652.0","35,138.0","37,243.0","34,652.0","80.20K","-1.38%"
"12/04/2024","35,138.0","34,935.0","35,178.0","34,774.0","38.00K","0.58%"
"11/04/2024","34,935.0","34,814.0","35,178.0","34,733.0","66.10K","-0.81%"
"10/04/2024","35,219.0","34,895.0","35,300.0","34,814.0","55.60K","1.40%"
"09/04/2024","34,733.0","34,854.0","34,935.0","34,571.0","48.80K","-0.35%"
"08/04/2024","34,854.0","35,219.0","35,381.0","34,814.0","52.80K","-1.04%"
"05/04/2024","35,219.0","35,219.0","35,300.0","34,814.0","27.30K","-0.69%"
"04/04/2024","35,462.0","34,814.0","35,624.0","34,652.0","52.10K","2.34%"
"03/04/2024","34,652.0","34,814.0","35,138.0","34,571.0","16.40K","-0.47%"
