"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","4,300.0","4,220.0","4,300.0","4,220.0","15.00K","1.90%"
"27/06/2024","4,220.0","4,340.0","4,340.0","4,210.0","6.50K","-2.99%"
"26/06/2024","4,350.0","4,250.0","4,390.0","4,040.0","12.70K","0.46%"
"25/06/2024","4,330.0","4,330.0","4,330.0","4,330.0","9.00K","-0.23%"
"24/06/2024","4,340.0","4,350.0","4,350.0","4,290.0","3.00K","1.88%"
"21/06/2024","4,260.0","4,290.0","4,350.0","4,250.0","19.70K","-0.93%"
"20/06/2024","4,300.0","4,200.0","4,370.0","4,200.0","14.50K","-1.60%"
"19/06/2024","4,370.0","4,480.0","4,480.0","4,300.0","1.20K","-0.23%"
"18/06/2024","4,380.0","4,390.0","4,400.0","4,300.0","18.50K","0.00%"
"17/06/2024","4,380.0","4,400.0","4,400.0","4,100.0","27.00K","-0.45%"
"14/06/2024","4,400.0","4,400.0","4,400.0","4,380.0","16.30K","1.15%"
"13/06/2024","4,350.0","4,340.0","4,600.0","4,340.0","43.40K","0.00%"
"12/06/2024","4,350.0","4,350.0","4,400.0","4,330.0","6.10K","0.00%"
"11/06/2024","4,350.0","4,390.0","4,390.0","4,350.0","14.30K","-0.91%"
"10/06/2024","4,390.0","4,300.0","4,400.0","4,240.0","31.10K","-0.23%"
"07/06/2024","4,400.0","4,390.0","4,450.0","4,300.0","16.60K","-1.12%"
"06/06/2024","4,450.0","4,600.0","4,600.0","4,300.0","9.90K","1.14%"
"05/06/2024","4,400.0","4,390.0","4,480.0","4,330.0","10.80K","0.23%"
"04/06/2024","4,390.0","4,590.0","4,590.0","4,300.0","14.60K","2.09%"
"03/06/2024","4,300.0","4,380.0","4,380.0","4,300.0","38.20K","-1.83%"
"31/05/2024","4,380.0","4,380.0","4,380.0","4,380.0","5.30K","-0.23%"
"30/05/2024","4,390.0","4,300.0","4,440.0","4,300.0","21.90K","2.09%"
"29/05/2024","4,300.0","4,300.0","4,380.0","4,250.0","32.40K","0.00%"
"28/05/2024","4,300.0","4,410.0","4,410.0","4,300.0","8.10K","-2.27%"
"27/05/2024","4,400.0","4,160.0","4,430.0","4,160.0","11.00K","-1.12%"
"24/05/2024","4,450.0","4,400.0","4,490.0","4,400.0","66.00K","0.45%"
"23/05/2024","4,430.0","4,380.0","4,430.0","4,370.0","26.90K","1.37%"
"22/05/2024","4,370.0","4,370.0","4,400.0","4,300.0","7.40K","0.00%"
"21/05/2024","4,370.0","4,400.0","4,620.0","4,120.0","5.90K","1.16%"
"20/05/2024","4,320.0","4,450.0","4,450.0","4,320.0","29.80K","-2.70%"
"17/05/2024","4,440.0","4,500.0","4,500.0","4,370.0","8.30K","0.45%"
"16/05/2024","4,420.0","4,720.0","4,720.0","4,370.0","11.00K","-3.28%"
"15/05/2024","4,570.0","4,280.0","4,590.0","4,280.0","40.00K","5.30%"
"14/05/2024","4,340.0","4,280.0","4,400.0","4,280.0","9.90K","-1.59%"
"13/05/2024","4,410.0","4,470.0","4,500.0","4,280.0","24.90K","-1.56%"
"10/05/2024","4,480.0","4,500.0","4,500.0","4,240.0","3.20K","-0.88%"
"09/05/2024","4,520.0","4,150.0","4,520.0","4,100.0","55.40K","6.60%"
"08/05/2024","4,240.0","4,200.0","4,240.0","4,010.0","8.20K","0.95%"
"07/05/2024","4,200.0","4,200.0","4,230.0","4,200.0","38.20K","0.00%"
"06/05/2024","4,200.0","4,050.0","4,210.0","4,000.0","27.00K","2.94%"
"03/05/2024","4,080.0","4,180.0","4,180.0","3,950.0","208.00K","-2.63%"
"02/05/2024","4,190.0","4,200.0","4,220.0","4,090.0","12.10K","-0.24%"
"26/04/2024","4,200.0","4,130.0","4,200.0","4,120.0","2.90K","-2.78%"
"25/04/2024","4,320.0","4,370.0","4,370.0","4,320.0","5.50K","3.35%"
"24/04/2024","4,180.0","4,200.0","4,200.0","4,180.0","26.40K","0.00%"
"23/04/2024","4,180.0","4,430.0","4,430.0","4,040.0","23.00K","-0.48%"
