"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","24,396.6","25,344.8","25,862.1","24,137.9","1.06M","-3.74%"
"27/06/2024","25,344.8","25,000.0","26,120.7","24,913.8","2.82M","1.38%"
"26/06/2024","25,000.0","24,310.3","25,000.0","23,879.3","675.93K","2.84%"
"25/06/2024","24,310.3","24,051.7","24,310.3","23,793.1","474.72K","2.17%"
"24/06/2024","23,793.1","25,086.2","25,172.4","23,275.9","1.47M","-5.15%"
"21/06/2024","25,086.2","24,569.0","25,689.7","24,569.0","999.59K","2.11%"
"20/06/2024","24,569.0","24,913.8","25,086.2","24,224.1","646.25K","-1.04%"
"19/06/2024","24,827.6","24,224.1","24,913.8","23,965.5","820.16K","2.86%"
"18/06/2024","24,137.9","23,879.3","24,482.8","23,362.1","713.27K","1.08%"
"17/06/2024","23,879.3","24,137.9","24,913.8","23,879.3","1.22M","-2.81%"
"14/06/2024","24,569.0","27,500.0","27,758.6","24,569.0","1.57M","-3.03%"
"13/06/2024","25,337.3","26,386.8","26,611.7","25,337.3","2.77M","-3.70%"
"12/06/2024","26,311.8","26,686.7","27,511.2","26,161.9","1.70M","-1.13%"
"11/06/2024","26,611.7","25,562.2","26,686.7","25,262.4","2.90M","4.72%"
"10/06/2024","25,412.3","25,337.3","25,862.1","25,112.4","956.50K","0.59%"
"07/06/2024","25,262.4","25,562.2","26,611.7","24,587.7","1.76M","-0.30%"
"06/06/2024","25,337.3","26,161.9","26,161.9","25,112.4","1.15M","-1.74%"
"05/06/2024","25,787.1","25,187.4","26,761.6","25,187.4","2.86M","2.69%"
"04/06/2024","25,112.4","25,262.4","25,862.1","24,962.5","1.80M","-0.59%"
"03/06/2024","25,262.4","24,362.8","25,712.1","24,362.8","1.40M","4.01%"
"31/05/2024","24,287.9","24,587.7","24,662.7","23,838.1","1.46M","-1.22%"
"30/05/2024","24,587.7","24,737.6","25,037.5","23,763.1","2.12M","-1.50%"
"29/05/2024","24,962.5","25,787.1","26,236.9","24,587.7","2.11M","-2.63%"
"28/05/2024","25,637.2","24,887.6","26,461.8","24,662.7","2.01M","3.01%"
"27/05/2024","24,887.6","23,688.2","25,487.3","23,538.2","2.19M","5.06%"
"24/05/2024","23,688.2","25,937.0","26,012.0","23,463.3","3.32M","-8.93%"
"23/05/2024","26,012.0","25,337.3","27,661.2","24,437.8","2.24M","2.66%"
"22/05/2024","25,337.3","25,337.3","25,337.3","23,238.4","4.62M","9.74%"
"21/05/2024","23,088.5","20,989.5","23,088.5","20,764.6","3.70M","10.00%"
"20/05/2024","20,989.5","21,214.4","21,514.2","20,989.5","923.70K","-1.06%"
"17/05/2024","21,214.4","20,539.7","21,289.4","20,464.8","1.28M","3.66%"
"16/05/2024","20,464.8","20,015.0","20,539.7","20,015.0","1.34M","3.41%"
"15/05/2024","19,790.1","19,940.0","19,940.0","19,565.2","497.10K","0.38%"
