"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","7,080.00","7,300.00","7,300.00","7,080.00","1.26M","-2.88%"
"27/06/2024","7,290.00","7,160.00","7,350.00","7,080.00","957.70K","1.82%"
"26/06/2024","7,160.00","7,180.00","7,250.00","7,090.00","1.16M","-0.69%"
"25/06/2024","7,210.00","7,110.00","7,260.00","7,110.00","1.45M","1.41%"
"24/06/2024","7,110.00","7,410.00","7,540.00","7,100.00","2.34M","-4.05%"
"21/06/2024","7,410.00","7,490.00","7,490.00","7,380.00","981.30K","-0.40%"
"20/06/2024","7,440.00","7,500.00","7,560.00","7,380.00","1.24M","-1.59%"
"19/06/2024","7,560.00","7,500.00","7,570.00","7,350.00","2.12M","0.80%"
"18/06/2024","7,500.00","7,600.00","7,640.00","7,500.00","1.80M","-0.66%"
"17/06/2024","7,550.00","7,680.00","7,750.00","7,420.00","3.66M","-1.69%"
"14/06/2024","7,680.00","8,290.00","8,290.00","7,680.00","2.96M","-6.34%"
"13/06/2024","8,200.00","8,260.00","8,290.00","8,160.00","1.83M","0.74%"
"12/06/2024","8,140.00","8,100.00","8,260.00","8,040.00","1.55M","0.49%"
"11/06/2024","8,100.00","8,300.00","8,440.00","8,010.00","3.51M","-2.41%"
"10/06/2024","8,300.00","8,180.00","8,550.00","8,180.00","3.34M","1.59%"
"07/06/2024","8,170.00","8,200.00","8,240.00","8,110.00","2.42M","0.00%"
"06/06/2024","8,170.00","8,360.00","8,400.00","8,120.00","1.83M","-1.92%"
"05/06/2024","8,330.00","8,320.00","8,490.00","8,120.00","4.41M","1.09%"
"04/06/2024","8,240.00","8,300.00","8,440.00","8,210.00","2.45M","0.24%"
"03/06/2024","8,220.00","8,450.00","8,450.00","8,220.00","2.82M","-0.96%"
"31/05/2024","8,300.00","8,510.00","8,680.00","8,300.00","4.55M","-2.24%"
"30/05/2024","8,490.00","8,260.00","8,490.00","8,010.00","4.57M","1.19%"
"29/05/2024","8,390.00","8,000.00","8,450.00","7,900.00","13.96M","6.20%"
"28/05/2024","7,900.00","7,700.00","8,070.00","7,700.00","4.16M","2.86%"
"27/05/2024","7,680.00","7,690.00","7,790.00","7,550.00","988.90K","0.00%"
"24/05/2024","7,680.00","7,700.00","8,050.00","7,510.00","5.17M","-0.26%"
"23/05/2024","7,700.00","7,960.00","7,960.00","7,650.00","4.84M","-3.39%"
"22/05/2024","7,970.00","8,000.00","8,090.00","7,830.00","3.92M","1.53%"
"21/05/2024","7,850.00","7,820.00","8,000.00","7,780.00","3.18M","0.51%"
"20/05/2024","7,810.00","7,400.00","7,810.00","7,370.00","8.98M","6.99%"
"17/05/2024","7,300.00","7,300.00","7,320.00","7,210.00","1.65M","0.69%"
"16/05/2024","7,250.00","7,250.00","7,400.00","7,240.00","836.20K","0.42%"
"15/05/2024","7,220.00","7,340.00","7,340.00","7,210.00","1.68M","-1.23%"
"14/05/2024","7,310.00","7,400.00","7,420.00","7,300.00","715.60K","0.14%"
"13/05/2024","7,300.00","7,110.00","7,510.00","7,110.00","2.35M","2.67%"
"10/05/2024","7,110.00","7,100.00","7,200.00","7,040.00","919.10K","0.00%"
