"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","6,760.0","7,200.0","7,200.0","6,760.0","4.90M","-6.89%"
"27/06/2024","7,260.0","7,500.0","7,800.0","7,260.0","8.31M","-6.92%"
"26/06/2024","7,800.0","7,840.0","7,950.0","7,410.0","4.07M","-0.64%"
"25/06/2024","7,850.0","7,780.0","8,000.0","7,400.0","3.78M","2.88%"
"24/06/2024","7,630.0","7,310.0","7,630.0","7,000.0","11.45M","6.86%"
"21/06/2024","7,140.0","6,680.0","7,140.0","6,550.0","7.63M","6.89%"
"20/06/2024","6,680.0","6,730.0","6,830.0","6,480.0","2.03M","-0.89%"
"19/06/2024","6,740.0","6,840.0","6,840.0","6,580.0","1.70M","0.00%"
"18/06/2024","6,740.0","6,600.0","6,840.0","6,250.0","4.31M","1.66%"
"17/06/2024","6,630.0","6,950.0","7,040.0","6,630.0","3.48M","-6.88%"
"14/06/2024","7,120.0","7,190.0","7,290.0","6,900.0","2.64M","-0.42%"
"13/06/2024","7,150.0","7,220.0","7,300.0","7,070.0","1.43M","-0.97%"
"12/06/2024","7,220.0","6,980.0","7,360.0","6,920.0","3.80M","3.88%"
"11/06/2024","6,950.0","7,000.0","7,180.0","6,800.0","2.18M","-0.71%"
"10/06/2024","7,000.0","7,220.0","7,220.0","6,860.0","3.70M","-3.05%"
"07/06/2024","7,220.0","7,310.0","7,480.0","7,100.0","3.51M","-1.37%"
"06/06/2024","7,320.0","7,140.0","7,500.0","7,010.0","5.03M","3.10%"
"05/06/2024","7,100.0","6,970.0","7,400.0","6,800.0","4.13M","1.87%"
"04/06/2024","6,970.0","7,100.0","7,290.0","6,800.0","2.79M","-1.69%"
"03/06/2024","7,090.0","6,670.0","7,090.0","6,650.0","6.28M","6.94%"
"31/05/2024","6,630.0","6,790.0","6,870.0","6,400.0","3.83M","0.61%"
"30/05/2024","6,590.0","6,190.0","6,590.0","6,100.0","8.45M","6.98%"
"29/05/2024","6,160.0","5,790.0","6,160.0","5,760.0","6.88M","6.94%"
"28/05/2024","5,760.0","5,580.0","5,790.0","5,580.0","3.41M","3.41%"
"27/05/2024","5,570.0","5,590.0","5,590.0","5,450.0","1.09M","-0.36%"
"24/05/2024","5,590.0","5,700.0","5,930.0","5,410.0","2.79M","-3.62%"
"23/05/2024","5,800.0","5,700.0","5,950.0","5,600.0","3.52M","2.84%"
"22/05/2024","5,640.0","5,250.0","5,640.0","5,250.0","5.76M","6.82%"
"21/05/2024","5,280.0","5,320.0","5,320.0","5,200.0","1.02M","0.00%"
"20/05/2024","5,280.0","5,270.0","5,350.0","5,230.0","1.22M","0.76%"
"17/05/2024","5,240.0","5,210.0","5,300.0","5,050.0","2.31M","0.38%"
"16/05/2024","5,220.0","5,250.0","5,320.0","5,130.0","1.25M","-0.19%"
"15/05/2024","5,230.0","5,300.0","5,320.0","5,180.0","1.29M","-0.38%"
"14/05/2024","5,250.0","5,350.0","5,350.0","5,170.0","1.77M","-0.38%"
"13/05/2024","5,270.0","5,100.0","5,270.0","4,600.0","4.02M","6.90%"
"10/05/2024","4,930.0","4,920.0","4,930.0","4,890.0","938.70K","0.20%"
"09/05/2024","4,920.0","4,990.0","4,990.0","4,880.0","967.80K","0.41%"
"08/05/2024","4,900.0","4,970.0","4,970.0","4,860.0","1.07M","-1.41%"
"07/05/2024","4,970.0","4,960.0","5,100.0","4,900.0","925.50K","0.20%"
"06/05/2024","4,960.0","4,860.0","5,010.0","4,830.0","1.81M","2.69%"
"03/05/2024","4,830.0","4,870.0","4,900.0","4,810.0","832.10K","-0.41%"
"02/05/2024","4,850.0","5,050.0","5,050.0","4,830.0","466.20K","-1.02%"
"26/04/2024","4,900.0","4,940.0","4,980.0","4,870.0","660.60K","-1.41%"
"25/04/2024","4,970.0","4,990.0","4,990.0","4,880.0","722.40K","-0.60%"
"24/04/2024","5,000.0","4,840.0","5,040.0","4,780.0","1.72M","3.09%"
"23/04/2024","4,850.0","4,760.0","4,850.0","4,700.0","1.14M","0.00%"
"22/04/2024","4,850.0","4,750.0","4,850.0","4,650.0","838.80K","5.66%"
"19/04/2024","4,590.0","4,840.0","4,840.0","4,480.0","1.49M","-2.75%"
"17/04/2024","4,720.0","4,830.0","4,880.0","4,710.0","1.11M","-1.46%"
"16/04/2024","4,790.0","4,740.0","4,820.0","4,550.0","2.23M","1.05%"
"15/04/2024","4,740.0","5,030.0","5,070.0","4,720.0","1.47M","-6.51%"
"12/04/2024","5,070.0","5,150.0","5,150.0","5,030.0","1.02M","0.20%"
"11/04/2024","5,060.0","5,090.0","5,100.0","5,000.0","1.06M","-0.78%"
"10/04/2024","5,100.0","5,200.0","5,200.0","5,090.0","1.43M","0.00%"
"09/04/2024","5,100.0","5,100.0","5,100.0","4,890.0","1.82M","4.94%"
"08/04/2024","4,860.0","4,810.0","5,000.0","4,810.0","1.92M","-3.76%"
"05/04/2024","5,050.0","5,060.0","5,100.0","5,050.0","5.24M","-6.83%"
"04/04/2024","5,420.0","5,420.0","5,550.0","5,420.0","5.90M","-6.87%"
"03/04/2024","5,820.0","6,000.0","6,090.0","5,820.0","1.93M","-2.68%"
"02/04/2024","5,980.0","5,980.0","5,980.0","5,850.0","1.32M","0.00%"
"01/04/2024","5,980.0","5,830.0","6,070.0","5,830.0","2.19M","2.57%"
"29/03/2024","5,830.0","5,910.0","5,910.0","5,820.0","1.08M","-2.51%"
"28/03/2024","5,980.0","5,980.0","6,100.0","5,870.0","1.55M","0.00%"
"27/03/2024","5,980.0","5,980.0","6,070.0","5,700.0","5.34M","0.00%"
"26/03/2024","5,980.0","6,100.0","6,110.0","5,970.0","3.80M","-2.13%"
"25/03/2024","6,110.0","6,180.0","6,390.0","6,070.0","3.39M","-0.81%"
"22/03/2024","6,160.0","6,130.0","6,390.0","6,010.0","4.07M","1.15%"
"21/03/2024","6,090.0","6,000.0","6,190.0","5,960.0","2.00M","1.50%"
"20/03/2024","6,000.0","5,920.0","6,010.0","5,810.0","2.19M","1.18%"
"19/03/2024","5,930.0","6,180.0","6,180.0","5,770.0","2.99M","-2.79%"
"18/03/2024","6,100.0","5,830.0","6,140.0","5,500.0","5.90M","6.27%"
"15/03/2024","5,740.0","5,600.0","5,800.0","5,500.0","3.27M","3.05%"
"14/03/2024","5,570.0","5,540.0","5,650.0","5,450.0","2.00M","2.58%"
"13/03/2024","5,430.0","5,430.0","5,470.0","5,360.0","1.33M","0.93%"
