"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","6,272.7","6,436.4","6,463.6","6,272.7","498.63K","-1.43%"
"27/06/2024","6,363.6","6,454.5","6,454.5","6,363.6","584.87K","-0.99%"
"26/06/2024","6,427.3","6,527.3","6,527.3","6,409.1","174.90K","-1.12%"
"25/06/2024","6,500.0","6,609.1","6,609.1","6,427.3","222.75K","0.00%"
"24/06/2024","6,500.0","6,800.0","6,800.0","6,500.0","529.21K","-3.64%"
"21/06/2024","6,745.5","6,772.7","6,818.2","6,727.3","311.08K","0.00%"
"20/06/2024","6,745.5","6,863.6","6,872.7","6,700.0","329.45K","-1.72%"
"19/06/2024","6,863.6","6,836.4","7,000.0","6,681.8","460.68K","-0.26%"
"18/06/2024","6,881.8","6,818.2","6,909.1","6,818.2","186.45K","0.93%"
"17/06/2024","6,818.2","6,727.3","6,836.4","6,709.1","479.05K","1.63%"
"14/06/2024","6,709.1","7,209.1","7,245.5","6,709.1","1.04M","-6.94%"
"13/06/2024","7,209.1","7,190.9","7,227.3","7,136.4","631.07K","0.38%"
"12/06/2024","7,181.8","7,163.6","7,181.8","7,036.4","470.91K","0.77%"
"11/06/2024","7,127.3","7,445.5","7,445.5","7,090.9","911.68K","-3.09%"
"10/06/2024","7,354.5","7,463.6","7,545.5","7,227.3","1.37M","-1.22%"
"07/06/2024","7,445.5","7,709.1","7,827.3","7,418.2","1.45M","-3.19%"
"06/06/2024","7,690.9","7,390.9","7,781.8","7,363.6","2.86M","5.75%"
"05/06/2024","7,272.7","6,890.9","7,272.7","6,872.7","1.79M","5.82%"
"04/06/2024","6,872.7","6,909.1","6,945.5","6,818.2","522.50K","0.13%"
"03/06/2024","6,863.6","6,881.8","7,090.9","6,818.2","319.77K","0.27%"
"31/05/2024","6,845.5","6,954.5","7,027.3","6,781.8","466.62K","-1.57%"
"30/05/2024","6,954.5","7,027.3","7,090.9","6,800.0","892.32K","-2.42%"
"29/05/2024","7,127.3","6,990.9","7,272.7","6,881.8","919.60K","2.08%"
"28/05/2024","6,981.8","7,090.9","7,090.9","6,900.0","1.07M","0.26%"
"27/05/2024","6,963.6","6,727.3","7,000.0","6,700.0","881.76K","4.22%"
"24/05/2024","6,681.8","7,163.6","7,254.5","6,681.8","1.42M","-6.96%"
"23/05/2024","7,181.8","7,727.3","7,727.3","7,000.0","2.73M","-2.59%"
"22/05/2024","7,372.7","7,372.7","7,372.7","7,090.9","1.02M","6.99%"
"21/05/2024","6,890.9","6,572.7","6,890.9","6,518.2","1.98M","6.91%"
"20/05/2024","6,445.5","6,254.5","6,454.5","6,254.5","1.38M","3.50%"
"17/05/2024","6,227.3","6,200.0","6,318.2","6,200.0","472.12K","-0.29%"
"16/05/2024","6,245.5","6,318.2","6,390.9","6,245.5","643.39K","-1.58%"
"15/05/2024","6,345.5","6,454.5","6,454.5","6,300.0","507.87K","-0.85%"
"14/05/2024","6,400.0","6,381.8","6,590.9","6,336.4","728.20K","0.72%"
"13/05/2024","6,354.5","6,172.7","6,481.8","6,163.6","1.04M","3.40%"
"10/05/2024","6,145.5","6,272.7","6,272.7","6,100.0","431.64K","-1.17%"
"09/05/2024","6,218.2","6,300.0","6,300.0","6,136.4","455.18K","1.33%"
"08/05/2024","6,136.4","6,227.3","6,336.4","5,909.1","571.45K","-2.46%"
"07/05/2024","6,290.9","6,409.1","6,454.5","6,181.8","792.11K","-1.56%"
"06/05/2024","6,390.9","6,090.9","6,409.1","6,090.9","1.41M","5.08%"
"03/05/2024","6,081.8","5,909.1","6,181.8","5,900.0","998.14K","3.08%"
