"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","4,120.0","4,270.0","4,270.0","4,100.0","125.20K","-3.74%"
"27/06/2024","4,280.0","4,130.0","4,280.0","4,080.0","113.50K","3.88%"
"26/06/2024","4,120.0","4,120.0","4,170.0","4,120.0","124.30K","-0.24%"
"25/06/2024","4,130.0","4,220.0","4,230.0","4,100.0","279.30K","-1.20%"
"24/06/2024","4,180.0","4,270.0","4,290.0","4,180.0","173.30K","-1.65%"
"21/06/2024","4,250.0","4,300.0","4,300.0","4,200.0","140.20K","-0.93%"
"20/06/2024","4,290.0","4,340.0","4,390.0","4,200.0","109.60K","-1.15%"
"19/06/2024","4,340.0","4,350.0","4,350.0","4,270.0","221.50K","1.40%"
"18/06/2024","4,280.0","4,280.0","4,360.0","4,270.0","198.00K","0.00%"
"17/06/2024","4,280.0","4,350.0","4,350.0","4,190.0","197.10K","-0.93%"
"14/06/2024","4,320.0","4,340.0","4,400.0","4,320.0","181.80K","-0.69%"
"13/06/2024","4,350.0","4,420.0","4,430.0","4,350.0","155.80K","-1.58%"
"12/06/2024","4,420.0","4,420.0","4,420.0","4,300.0","150.70K","0.23%"
"11/06/2024","4,410.0","4,370.0","4,410.0","4,290.0","292.20K","0.23%"
"10/06/2024","4,400.0","4,430.0","4,470.0","4,350.0","288.90K","-0.68%"
"07/06/2024","4,430.0","4,470.0","4,470.0","4,410.0","128.20K","0.23%"
"06/06/2024","4,420.0","4,500.0","4,500.0","4,410.0","164.00K","0.00%"
"05/06/2024","4,420.0","4,420.0","4,480.0","4,420.0","189.00K","0.00%"
"04/06/2024","4,420.0","4,500.0","4,510.0","4,400.0","370.50K","-1.12%"
"03/06/2024","4,470.0","4,500.0","4,530.0","4,450.0","455.70K","0.22%"
"31/05/2024","4,460.0","4,490.0","4,520.0","4,450.0","187.60K","0.00%"
"30/05/2024","4,460.0","4,470.0","4,540.0","4,400.0","308.80K","-0.22%"
"29/05/2024","4,470.0","4,550.0","4,550.0","4,440.0","429.70K","-0.67%"
"28/05/2024","4,500.0","4,500.0","4,520.0","4,440.0","464.30K","2.27%"
"27/05/2024","4,400.0","4,470.0","4,470.0","4,300.0","208.80K","-1.35%"
"24/05/2024","4,460.0","4,580.0","4,580.0","4,410.0","578.90K","-1.76%"
"23/05/2024","4,540.0","4,630.0","4,630.0","4,500.0","356.40K","-1.94%"
"22/05/2024","4,630.0","4,690.0","4,700.0","4,560.0","258.10K","0.00%"
"21/05/2024","4,630.0","4,600.0","4,640.0","4,540.0","390.10K","0.43%"
"20/05/2024","4,610.0","4,520.0","4,620.0","4,490.0","561.50K","1.99%"
"17/05/2024","4,520.0","4,480.0","4,550.0","4,480.0","253.90K","0.22%"
"16/05/2024","4,510.0","4,580.0","4,580.0","4,500.0","202.70K","0.22%"
"15/05/2024","4,500.0","4,480.0","4,540.0","4,480.0","299.20K","0.22%"
"14/05/2024","4,490.0","4,610.0","4,670.0","4,490.0","297.70K","-2.60%"
"13/05/2024","4,610.0","4,560.0","4,760.0","4,500.0","304.00K","1.10%"
"10/05/2024","4,560.0","4,600.0","4,600.0","4,450.0","419.60K","1.56%"
"09/05/2024","4,490.0","4,400.0","4,550.0","4,390.0","432.70K","2.05%"
"08/05/2024","4,400.0","4,430.0","4,450.0","4,330.0","360.40K","0.92%"
"07/05/2024","4,360.0","4,450.0","4,480.0","4,360.0","355.70K","-1.80%"
"06/05/2024","4,440.0","4,320.0","4,440.0","4,300.0","309.50K","2.78%"
"03/05/2024","4,320.0","4,350.0","4,370.0","4,250.0","248.90K","0.47%"
"02/05/2024","4,300.0","4,220.0","4,310.0","4,220.0","243.40K","1.90%"
"26/04/2024","4,220.0","4,260.0","4,270.0","4,180.0","292.00K","0.24%"
"25/04/2024","4,210.0","4,250.0","4,260.0","4,110.0","265.00K","0.24%"
"24/04/2024","4,200.0","4,020.0","4,250.0","4,020.0","194.80K","4.74%"
"23/04/2024","4,010.0","4,170.0","4,170.0","4,000.0","345.00K","-3.84%"
"22/04/2024","4,170.0","4,100.0","4,180.0","4,060.0","179.20K","3.47%"
"19/04/2024","4,030.0","4,060.0","4,190.0","3,960.0","741.20K","-2.18%"
"17/04/2024","4,120.0","4,120.0","4,200.0","4,100.0","479.00K","0.24%"
"16/04/2024","4,110.0","4,210.0","4,220.0","3,940.0","1.39M","-2.61%"
"15/04/2024","4,220.0","4,500.0","4,590.0","4,210.0","1.04M","-6.43%"
"12/04/2024","4,510.0","4,650.0","4,650.0","4,460.0","932.30K","-0.66%"
"11/04/2024","4,540.0","4,510.0","4,570.0","4,500.0","879.30K","-1.30%"
"10/04/2024","4,600.0","4,740.0","4,770.0","4,600.0","800.10K","-1.50%"
"09/04/2024","4,670.0","4,800.0","4,820.0","4,620.0","846.00K","-1.68%"
"08/04/2024","4,750.0","4,930.0","4,950.0","4,700.0","1.15M","-3.26%"
"05/04/2024","4,910.0","4,500.0","5,020.0","4,460.0","3.33M","4.47%"
"04/04/2024","4,700.0","4,520.0","4,730.0","4,490.0","1.62M","4.91%"
