"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","22,399.1","22,748.4","22,826.1","21,816.8","1.58M","-1.87%"
"27/06/2024","22,826.1","22,515.5","23,136.6","22,515.5","1.50M","0.00%"
"26/06/2024","22,826.1","22,942.5","22,942.5","22,360.2","1.18M","0.17%"
"25/06/2024","22,787.3","21,894.4","22,903.7","21,855.6","3.10M","4.82%"
"24/06/2024","21,739.1","22,515.5","22,942.5","21,661.5","4.20M","-3.61%"
"21/06/2024","22,554.3","22,748.4","22,942.5","22,554.3","2.21M","-0.85%"
"20/06/2024","22,748.4","23,369.6","23,369.6","22,554.3","2.15M","-1.68%"
"19/06/2024","23,136.6","23,369.6","23,524.8","23,020.2","2.63M","-1.00%"
"18/06/2024","23,369.6","23,408.4","23,913.0","23,291.9","2.03M","0.00%"
"17/06/2024","23,369.6","23,680.1","23,913.0","23,330.7","3.11M","-1.31%"
"14/06/2024","23,680.1","24,767.1","24,805.9","23,680.1","4.17M","-4.24%"
"13/06/2024","24,728.3","24,650.6","25,000.0","24,495.3","4.35M","1.11%"
"12/06/2024","24,456.5","24,068.3","24,456.5","23,874.2","3.04M","1.61%"
"11/06/2024","24,068.3","24,534.2","24,534.2","23,874.2","2.08M","-0.96%"
"10/06/2024","24,301.2","24,184.8","24,495.3","23,757.8","4.60M","0.97%"
"07/06/2024","24,068.3","24,223.6","24,378.9","23,951.9","2.89M","0.00%"
"06/06/2024","24,068.3","24,689.4","24,689.4","24,029.5","4.00M","-1.59%"
"05/06/2024","24,456.5","24,728.3","25,155.3","24,456.5","5.77M","-0.79%"
"04/06/2024","24,650.6","25,155.3","25,155.3","24,611.8","3.86M","-1.40%"
"03/06/2024","25,000.0","25,155.3","25,970.5","24,844.7","10.50M","1.58%"
"31/05/2024","24,611.8","25,232.9","25,232.9","24,611.8","3.59M","-1.55%"
"30/05/2024","25,000.0","24,068.3","25,000.0","23,874.2","5.38M","3.04%"
"29/05/2024","24,262.4","25,232.9","25,232.9","24,184.8","3.99M","-2.95%"
"28/05/2024","25,000.0","24,068.3","25,155.3","23,913.0","5.24M","4.89%"
"27/05/2024","23,835.4","23,951.9","24,146.0","23,680.1","3.70M","-0.65%"
"24/05/2024","23,990.7","25,465.8","26,086.9","23,718.9","8.90M","-5.79%"
"23/05/2024","25,465.8","25,698.7","26,319.9","25,194.1","7.34M","0.00%"
"22/05/2024","25,465.8","24,068.3","25,465.8","24,068.3","9.82M","6.84%"
"21/05/2024","23,835.4","23,951.9","24,029.5","23,447.2","3.13M","-0.32%"
"20/05/2024","23,913.0","24,068.3","24,068.3","23,602.5","2.11M","0.16%"
"17/05/2024","23,874.2","22,748.4","24,068.3","22,748.4","4.30M","4.77%"
"16/05/2024","22,787.3","22,981.4","23,253.1","22,748.4","1.97M","0.17%"
"15/05/2024","22,748.4","22,515.5","22,787.3","22,476.7","1.16M","1.03%"
"14/05/2024","22,515.5","22,554.3","22,709.6","22,476.7","930.97K","0.17%"
"13/05/2024","22,476.7","22,476.7","22,709.6","22,243.8","1.24M","0.17%"
"10/05/2024","22,437.9","22,515.5","22,748.4","22,243.8","1.01M","-0.34%"
"09/05/2024","22,515.5","22,981.4","23,059.0","22,476.7","1.05M","-1.19%"
"08/05/2024","22,787.3","22,127.3","23,059.0","21,894.4","1.92M","1.91%"
"07/05/2024","22,360.2","22,515.5","22,632.0","22,321.4","1.19M","-0.17%"
"06/05/2024","22,399.1","21,894.4","22,399.1","21,894.4","1.67M","2.67%"
"03/05/2024","21,816.8","22,243.8","22,243.8","21,700.3","1.27M","-0.35%"
"02/05/2024","21,894.4","22,127.3","22,360.2","21,506.2","1.25M","-1.05%"
"26/04/2024","22,127.3","22,437.9","22,748.4","22,127.3","1.94M","-0.91%"
"25/04/2024","22,331.6","22,114.1","22,331.6","21,642.8","5.18M","-0.32%"
"24/04/2024","22,404.1","22,114.1","22,911.6","22,005.3","3.18M","2.32%"
"23/04/2024","21,896.5","22,186.6","22,259.1","21,570.3","2.51M","-1.31%"
"22/04/2024","22,186.6","21,534.0","22,331.6","21,389.0","3.97M","5.34%"
"19/04/2024","21,062.7","21,751.5","22,041.5","21,062.7","6.32M","-5.68%"
"17/04/2024","22,331.6","22,657.8","22,766.6","22,114.1","2.72M","-1.28%"
"16/04/2024","22,621.6","22,404.1","22,657.8","21,715.3","7.27M","2.30%"
"15/04/2024","22,114.1","23,709.2","24,071.7","22,077.8","7.82M","-6.73%"
"12/04/2024","23,709.2","23,745.4","23,890.4","23,527.9","2.93M","1.24%"
"11/04/2024","23,419.1","23,165.4","23,817.9","23,056.6","3.76M","-0.77%"
"10/04/2024","23,600.4","24,253.0","24,253.0","23,600.4","2.04M","-1.81%"
"09/04/2024","24,035.4","23,672.9","24,071.7","23,346.6","3.16M","1.53%"
"08/04/2024","23,672.9","23,926.7","24,071.7","23,600.4","4.15M","-1.06%"
"05/04/2024","23,926.7","24,289.2","24,833.0","23,926.7","6.40M","-2.65%"
"04/04/2024","24,579.2","24,543.0","25,014.3","24,325.5","5.54M","-0.29%"
"03/04/2024","24,651.7","25,521.8","25,775.6","24,651.7","8.75M","-3.41%"
"02/04/2024","25,521.8","25,485.5","25,775.6","25,195.5","4.90M","-0.56%"
"01/04/2024","25,666.8","25,340.5","25,811.8","25,159.3","6.75M","1.29%"
"29/03/2024","25,340.5","25,086.8","25,775.6","24,796.7","7.93M","1.45%"
"28/03/2024","24,978.0","25,376.8","25,449.3","24,833.0","4.01M","-1.01%"
"27/03/2024","25,231.8","25,086.8","25,739.3","25,014.3","6.26M","0.87%"
"26/03/2024","25,014.3","24,506.7","25,159.3","24,216.7","4.92M","2.07%"
"25/03/2024","24,506.7","25,231.8","25,739.3","24,434.2","8.12M","-2.87%"
"22/03/2024","25,231.8","25,485.5","25,558.0","24,796.7","9.79M","0.29%"
"21/03/2024","25,159.3","25,086.8","25,521.8","24,579.2","8.64M","1.31%"
"20/03/2024","24,833.0","24,325.5","25,159.3","23,926.7","8.61M","2.24%"
"19/03/2024","24,289.2","25,086.8","25,231.8","24,216.7","8.33M","-2.90%"
"18/03/2024","25,014.3","24,796.7","25,521.8","23,854.2","14.31M","3.45%"
"15/03/2024","24,180.4","22,839.1","24,180.4","22,549.1","20.81M","6.89%"
"14/03/2024","22,621.6","22,404.1","22,694.1","22,259.1","4.20M","2.13%"
"13/03/2024","22,150.3","21,787.8","22,259.1","21,679.0","3.69M","1.83%"
"12/03/2024","21,751.5","21,969.0","22,041.5","21,606.5","3.29M","-0.66%"
"11/03/2024","21,896.5","22,114.1","22,476.6","20,664.0","3.62M","-1.31%"
"08/03/2024","22,186.6","22,585.3","22,839.1","22,186.6","3.96M","-1.61%"
"07/03/2024","22,549.1","22,585.3","22,694.1","22,367.8","3.15M","-0.48%"
"06/03/2024","22,657.8","23,129.1","23,165.4","22,512.8","3.28M","-1.42%"
