"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","15,759.5","16,076.0","16,075.9","15,759.5","13.64K","-1.97%"
"27/06/2024","16,075.9","15,886.0","16,139.2","15,822.8","27.20K","-0.39%"
"26/06/2024","16,139.2","16,266.0","16,392.4","15,822.8","27.65K","0.79%"
"25/06/2024","16,012.6","15,823.0","16,202.5","15,822.8","19.28K","1.20%"
"24/06/2024","15,822.8","16,392.0","16,392.4","15,632.9","55.46K","-0.79%"
"21/06/2024","15,949.4","15,949.0","16,012.6","15,886.1","31.44K","0.00%"
"20/06/2024","15,949.4","16,013.0","16,075.9","15,759.5","46.95K","-0.39%"
"19/06/2024","16,012.6","16,203.0","16,265.8","15,949.4","31.44K","-0.39%"
"18/06/2024","16,075.9","15,949.0","16,265.8","15,886.1","53.41K","0.79%"
"17/06/2024","15,949.4","16,139.0","16,329.1","15,886.1","43.61K","-1.18%"
"14/06/2024","16,139.2","16,646.0","16,645.6","16,139.2","58.30K","-2.67%"
"13/06/2024","16,582.3","16,203.0","16,708.9","16,202.5","103.49K","3.15%"
"12/06/2024","16,075.9","16,392.0","16,392.4","16,075.9","122.31K","-2.31%"
"11/06/2024","16,455.7","16,772.0","16,772.1","16,455.7","70.64K","-1.52%"
"10/06/2024","16,708.9","16,456.0","16,772.1","16,455.7","103.65K","-0.38%"
"07/06/2024","16,772.1","16,203.0","17,088.6","16,202.5","101.64K","3.52%"
"06/06/2024","16,202.5","16,266.0","16,392.4","16,202.5","41.40K","-0.78%"
"05/06/2024","16,329.1","16,519.0","16,519.0","16,265.8","47.73K","0.00%"
"04/06/2024","16,329.1","16,329.0","16,392.4","16,202.5","33.34K","0.00%"
"03/06/2024","16,329.1","16,456.0","16,519.0","16,329.1","129.56K","-0.77%"
"31/05/2024","16,455.7","16,329.0","16,455.7","16,265.8","27.81K","0.78%"
"30/05/2024","16,329.1","16,203.0","16,455.7","16,202.5","28.76K","0.39%"
"29/05/2024","16,265.8","16,456.0","16,519.0","16,139.2","33.18K","-0.77%"
"28/05/2024","16,392.4","16,203.0","16,582.3","16,202.5","66.99K","1.17%"
"27/05/2024","16,202.5","16,456.0","16,455.7","16,202.5","23.41K","0.00%"
"24/05/2024","16,202.5","16,582.0","16,708.9","16,202.5","116.60K","-2.29%"
"23/05/2024","16,582.3","16,646.0","17,215.2","16,519.0","85.32K","0.38%"
"22/05/2024","16,519.0","16,329.0","16,962.0","16,329.1","50.09K","1.16%"
"21/05/2024","16,329.1","16,456.0","16,455.7","16,075.9","39.03K","-0.77%"
"20/05/2024","16,455.7","16,582.0","16,645.6","16,139.2","63.99K","-0.76%"
"17/05/2024","16,582.3","16,392.0","16,582.3","16,392.4","28.91K","1.16%"
"16/05/2024","16,392.4","16,519.0","16,645.6","16,012.6","58.30K","1.97%"
"15/05/2024","16,075.9","16,139.0","16,202.5","15,822.8","69.05K","-0.78%"
"14/05/2024","16,202.5","16,329.0","16,392.4","16,075.9","23.86K","0.39%"
"13/05/2024","16,139.2","16,392.0","16,455.7","16,139.2","80.74K","-1.54%"
"10/05/2024","16,392.4","16,456.0","16,455.7","16,202.5","40.61K","-0.38%"
"09/05/2024","16,455.7","16,519.0","16,582.3","16,455.7","83.11K","0.00%"
"08/05/2024","16,455.7","16,456.0","16,582.3","16,455.7","46.93K","-1.14%"
"07/05/2024","16,645.6","16,519.0","16,708.9","16,519.0","42.82K","-0.75%"
"06/05/2024","16,772.1","17,025.0","17,025.3","16,455.7","45.98K","-0.75%"
"03/05/2024","16,898.7","16,772.0","17,025.3","16,772.1","12.33K","1.14%"
"02/05/2024","16,708.9","16,709.0","16,708.9","16,455.7","26.23K","0.00%"
"26/04/2024","16,708.9","16,772.0","17,025.3","16,645.6","20.86K","-1.49%"
"25/04/2024","16,962.0","16,962.0","17,088.6","16,835.4","5.85K","-1.83%"
"24/04/2024","17,278.5","16,076.0","17,405.1","16,012.6","41.32K","3.02%"
"23/04/2024","16,772.1","16,835.0","16,835.4","16,455.7","11.58K","-0.38%"
"22/04/2024","16,835.4","16,835.0","16,835.4","16,645.6","23.86K","0.38%"
"19/04/2024","16,772.1","17,025.0","17,025.3","16,202.5","51.98K","-1.49%"
"17/04/2024","17,025.3","17,089.0","17,088.6","16,835.4","34.13K","-0.37%"
"16/04/2024","17,088.6","17,595.0","17,594.9","16,455.7","108.55K","-0.74%"
"15/04/2024","17,215.2","17,975.0","18,164.5","17,215.2","80.42K","-4.56%"
"12/04/2024","18,038.0","17,975.0","18,227.8","17,911.4","71.86K","0.35%"
"11/04/2024","17,974.7","18,038.0","18,038.0","17,848.1","65.73K","-0.35%"
"10/04/2024","18,038.0","18,291.0","18,417.7","18,038.0","38.87K","-1.38%"
"09/04/2024","18,291.1","18,228.0","18,291.1","18,038.0","20.07K","0.00%"
"08/04/2024","18,291.1","18,354.0","18,354.4","17,784.8","97.02K","-0.34%"
"05/04/2024","18,354.4","18,354.0","18,417.7","17,531.6","165.27K","2.84%"
"04/04/2024","17,848.1","17,975.0","17,974.7","17,468.3","85.32K","-0.35%"
"03/04/2024","17,911.4","18,038.0","18,101.3","17,848.1","141.73K","-0.70%"
"02/04/2024","18,038.0","17,975.0","18,101.3","17,911.4","107.76K","0.35%"
"01/04/2024","17,974.7","18,038.0","18,227.8","17,848.1","59.48K","-0.35%"
"29/03/2024","18,038.0","17,911.0","18,101.3","17,848.1","81.84K","0.71%"
"28/03/2024","17,911.4","18,165.0","18,164.5","17,848.1","76.16K","-1.05%"
"27/03/2024","18,101.3","18,671.0","18,670.9","18,101.3","54.35K","0.00%"
"26/03/2024","18,101.3","17,848.0","18,354.4","17,721.5","63.67K","0.35%"
"25/03/2024","18,038.0","18,165.0","18,291.1","17,911.4","81.69K","-0.70%"
"22/03/2024","18,164.5","18,354.0","18,481.0","18,164.5","75.73K","-0.69%"
"21/03/2024","18,291.1","18,354.0","18,481.0","18,164.5","103.18K","0.35%"
"20/03/2024","18,227.8","18,481.0","18,544.3","17,974.7","121.35K","-1.71%"
"19/03/2024","18,544.3","18,924.0","18,987.3","18,544.3","108.19K","-2.01%"
"18/03/2024","18,924.0","19,304.0","19,936.7","18,481.0","177.36K","-0.33%"
"15/03/2024","18,987.3","18,354.0","19,873.4","18,354.4","171.80K","4.89%"
"14/03/2024","18,101.3","17,911.0","18,354.4","17,848.1","131.00K","1.42%"
"13/03/2024","17,848.1","17,785.0","17,911.4","17,531.6","81.53K","0.00%"
"12/03/2024","17,848.1","17,848.0","18,038.0","17,848.1","50.40K","0.00%"
"11/03/2024","17,848.1","18,354.0","18,354.4","17,784.8","75.54K","-3.42%"
"08/03/2024","18,481.0","17,975.0","18,670.9","17,784.8","83.74K","1.74%"
"07/03/2024","18,164.5","18,354.0","18,354.4","17,784.8","132.57K","-1.03%"
"06/03/2024","18,354.4","18,797.0","18,860.7","17,911.4","76.48K","-1.36%"
"05/03/2024","18,607.6","19,620.0","19,746.8","18,544.3","137.15K","-5.16%"
"04/03/2024","19,620.2","18,354.0","19,620.2","18,354.4","313.75K","9.93%"
"01/03/2024","17,848.1","16,266.0","17,848.1","16,265.8","466.86K","9.73%"
"29/02/2024","16,265.8","16,392.0","16,392.4","16,139.2","75.05K","-0.77%"
"28/02/2024","16,392.4","16,519.0","16,582.3","16,265.8","59.60K","-0.38%"
"27/02/2024","16,455.7","16,772.0","16,772.1","16,265.8","76.16K","-1.89%"
"26/02/2024","16,772.1","16,899.0","17,468.3","16,519.0","44.24K","-0.75%"
"23/02/2024","16,898.7","16,962.0","17,025.3","16,708.9","80.58K","-0.74%"
"22/02/2024","17,025.3","17,722.0","17,721.5","16,898.7","107.60K","-1.83%"
"21/02/2024","17,341.8","17,089.0","17,341.8","17,088.6","61.46K","0.00%"
"20/02/2024","17,341.8","16,203.0","17,341.8","16,202.5","84.85K","4.98%"
"19/02/2024","16,519.0","16,646.0","16,645.6","16,392.4","84.53K","0.77%"
"16/02/2024","16,392.4","15,949.0","16,645.6","15,886.1","256.91K","3.19%"
"15/02/2024","15,886.1","16,139.0","16,139.2","15,886.1","105.70K","-0.79%"
"07/02/2024","16,012.6","15,886.0","16,012.6","15,822.8","159.58K","0.80%"
"06/02/2024","15,886.1","15,949.0","16,012.6","15,759.5","57.28K","0.00%"
"05/02/2024","15,886.1","15,886.0","15,886.1","15,759.5","57.78K","0.00%"
"02/02/2024","15,886.1","16,013.0","16,075.9","15,822.8","37.98K","0.40%"
"01/02/2024","15,822.8","15,696.0","15,949.4","15,632.9","51.84K","1.21%"
"31/01/2024","15,632.9","15,886.0","15,886.1","15,632.9","70.57K","0.00%"
"30/01/2024","15,632.9","15,633.0","15,886.1","15,506.3","73.40K","0.00%"
"29/01/2024","15,632.9","15,823.0","15,949.4","15,316.4","35.78K","-1.20%"
"26/01/2024","15,822.8","15,823.0","16,012.6","15,822.8","104.91K","0.00%"
"25/01/2024","15,822.8","15,886.0","16,012.6","15,822.8","38.87K","0.00%"
"24/01/2024","15,822.8","16,013.0","16,202.5","15,822.8","36.98K","-0.79%"
"23/01/2024","15,949.4","16,076.0","16,265.8","15,949.4","31.61K","0.00%"
"22/01/2024","15,949.4","15,949.0","15,949.4","15,822.8","24.04K","0.00%"
"19/01/2024","15,949.4","16,076.0","16,139.2","15,949.4","21.49K","-0.79%"
"18/01/2024","16,075.9","16,203.0","16,202.5","16,012.6","24.49K","-0.78%"
"17/01/2024","16,202.5","16,203.0","16,202.5","16,012.6","14.69K","0.00%"
"16/01/2024","16,202.5","16,076.0","16,202.5","16,075.9","15.64K","1.19%"
"15/01/2024","16,012.6","16,013.0","16,139.2","16,012.6","12.80K","-0.78%"
"12/01/2024","16,139.2","16,203.0","16,392.4","16,075.9","57.04K","-0.78%"
"11/01/2024","16,265.8","16,203.0","16,392.4","16,202.5","46.77K","0.39%"
"10/01/2024","16,202.5","16,266.0","16,392.4","16,202.5","91.80K","-0.39%"
"09/01/2024","16,265.8","16,329.0","16,392.4","16,265.8","21.80K","0.00%"
"08/01/2024","16,265.8","16,329.0","16,455.7","16,265.8","51.35K","-0.77%"
"05/01/2024","16,392.4","16,772.0","16,772.1","16,265.8","23.54K","0.39%"
"04/01/2024","16,329.1","16,329.0","16,455.7","16,329.1","40.92K","0.00%"
"03/01/2024","16,329.1","16,329.0","16,455.7","16,265.8","17.54K","0.78%"
"02/01/2024","16,202.5","16,266.0","16,519.0","16,139.2","52.46K","0.00%"
"29/12/2023","16,202.5","16,329.0","16,519.0","16,202.5","42.34K","0.00%"
"28/12/2023","16,202.5","16,329.0","16,392.4","16,139.2","47.08K","-0.78%"
"27/12/2023","16,329.1","16,329.0","16,455.7","16,265.8","41.87K","-0.77%"
"26/12/2023","16,455.7","16,266.0","16,455.7","16,265.8","27.81K","1.17%"
"25/12/2023","16,265.8","16,519.0","16,519.0","16,265.8","18.10K","0.39%"
"22/12/2023","16,202.5","16,329.0","16,455.7","16,139.2","37.52K","-0.78%"
"21/12/2023","16,329.1","16,266.0","16,329.1","16,075.9","10.29K","0.39%"
"20/12/2023","16,265.8","16,266.0","16,329.1","16,075.9","19.28K","0.00%"
"19/12/2023","16,265.8","16,266.0","16,265.8","16,265.8","3.16K","0.00%"
"18/12/2023","16,265.8","16,456.0","16,455.7","16,139.2","12.64K","-0.77%"
"15/12/2023","16,392.4","16,329.0","16,392.4","16,139.2","14.38K","-0.38%"
"14/12/2023","16,455.7","16,456.0","16,645.6","16,202.5","28.28K","-0.76%"
"13/12/2023","16,582.3","16,456.0","16,645.6","16,392.4","12.32K","0.77%"
"12/12/2023","16,455.7","16,392.0","16,455.7","16,329.1","10.43K","0.00%"
"11/12/2023","16,455.7","16,456.0","16,582.3","16,202.5","17.30K","0.00%"
"08/12/2023","16,455.7","16,456.0","16,645.6","16,265.8","23.23K","-1.52%"
"07/12/2023","16,708.9","17,089.0","17,088.6","16,392.4","21.96K","-0.38%"
"06/12/2023","16,772.1","16,266.0","17,468.3","16,265.8","56.41K","3.11%"
"05/12/2023","16,265.8","16,456.0","16,455.7","16,265.8","11.69K","-1.15%"
"04/12/2023","16,455.7","17,025.0","17,025.3","16,329.1","20.87K","1.56%"
"01/12/2023","16,202.5","16,519.0","16,645.6","16,012.6","10.43K","-1.54%"
"30/11/2023","16,455.7","17,278.0","17,278.5","16,455.7","10.43K","-0.38%"
"29/11/2023","16,519.0","16,835.0","16,835.4","16,455.7","12.21K","-0.76%"
"28/11/2023","16,645.6","16,456.0","16,645.6","16,265.8","14.38K","1.15%"
"27/11/2023","16,455.7","17,722.0","17,721.5","16,455.7","44.27K","-0.38%"
"24/11/2023","16,519.0","17,342.0","17,341.8","16,392.4","49.77K","2.35%"
"23/11/2023","16,139.2","16,456.0","17,974.7","16,139.2","76.81K","-1.54%"
"22/11/2023","16,392.4","16,139.0","16,392.4","16,139.2","22.59K","1.57%"
"21/11/2023","16,139.2","16,139.0","16,329.1","16,075.9","5.85K","0.00%"
"20/11/2023","16,139.2","15,886.0","16,139.2","15,822.8","22.88K","-1.54%"
"17/11/2023","16,392.4","16,203.0","16,455.7","16,075.9","42.82K","1.17%"
"16/11/2023","16,202.5","16,139.0","16,265.8","16,075.9","7.11K","0.39%"
"15/11/2023","16,139.2","16,329.0","16,455.7","16,075.9","31.44K","-1.16%"
"14/11/2023","16,329.1","16,392.0","16,392.4","16,075.9","12.18K","-0.39%"
"13/11/2023","16,392.4","16,519.0","16,519.0","15,822.8","14.86K","-0.38%"
"10/11/2023","16,455.7","17,025.0","17,025.3","16,265.8","8.69K","-1.52%"
"09/11/2023","16,708.9","16,456.0","16,772.1","16,455.7","138.25K","1.54%"
"08/11/2023","16,455.7","15,886.0","16,455.7","14,746.8","46.45K","0.78%"
"07/11/2023","16,329.1","16,456.0","16,455.7","16,012.6","9.02K","-0.77%"
"06/11/2023","16,455.7","16,456.0","16,455.7","16,455.7","11.38K","0.00%"
"03/11/2023","16,455.7","16,456.0","16,455.7","16,139.2","7.58K","0.78%"
"02/11/2023","16,329.1","16,139.0","16,329.1","15,822.8","33.34K","5.31%"
"01/11/2023","15,506.3","15,506.0","15,759.5","15,379.7","3.79K","0.82%"
"31/10/2023","15,379.7","15,823.0","15,822.8","15,316.4","11.85K","0.00%"
"30/10/2023","15,379.7","15,823.0","15,822.8","15,316.4","7.90K","-3.19%"
"27/10/2023","15,886.1","15,506.0","16,075.9","15,189.9","46.93K","1.21%"
"26/10/2023","15,696.2","16,329.0","16,329.1","15,696.2","22.44K","-3.88%"
"25/10/2023","16,329.1","16,392.0","16,645.6","16,202.5","31.60K","-2.27%"
"24/10/2023","16,708.9","16,646.0","16,708.9","16,645.6","1.74K","0.38%"
"23/10/2023","16,645.6","16,835.0","17,025.3","16,455.7","8.69K","-1.13%"
"20/10/2023","16,835.4","16,456.0","16,835.4","16,202.5","13.43K","1.92%"
"19/10/2023","16,519.0","16,139.0","16,645.6","16,075.9","35.87K","3.16%"
"18/10/2023","16,012.6","17,089.0","17,088.6","16,012.6","55.62K","-6.30%"
"17/10/2023","17,088.6","17,405.0","17,405.1","17,025.3","21.01K","0.00%"
"16/10/2023","17,088.6","17,722.0","17,721.5","17,088.6","45.35K","-1.82%"
"13/10/2023","17,405.1","17,342.0","17,405.1","17,151.9","5.53K","0.37%"
"12/10/2023","17,341.8","17,405.0","17,531.6","17,341.8","21.82K","-0.36%"
"11/10/2023","17,405.1","17,342.0","17,405.1","17,341.8","1.74K","0.37%"
"10/10/2023","17,341.8","17,152.0","17,405.1","17,025.3","14.38K","1.48%"
"09/10/2023","17,088.6","17,089.0","17,531.6","17,088.6","16.59K","-0.37%"
"06/10/2023","17,151.9","17,152.0","17,151.9","17,088.6","5.45K","0.37%"
"05/10/2023","17,088.6","17,342.0","17,341.8","17,088.6","34.29K","-1.46%"
"04/10/2023","17,341.8","17,089.0","17,468.3","16,962.0","15.48K","1.48%"
"03/10/2023","17,088.6","17,215.0","17,278.5","16,772.1","12.75K","-2.17%"
"02/10/2023","17,468.3","18,038.0","18,038.0","17,468.3","12.32K","-0.36%"
"29/09/2023","17,531.6","17,722.0","17,721.5","17,278.5","28.28K","1.09%"
"28/09/2023","17,341.8","17,342.0","17,341.8","17,151.9","10.11K","0.00%"
"27/09/2023","17,341.8","17,342.0","17,341.8","16,962.0","20.86K","1.11%"
"26/09/2023","17,151.9","16,582.0","17,594.9","16,582.3","58.32K","3.43%"
"25/09/2023","16,582.3","17,785.0","17,784.8","16,519.0","40.31K","-6.76%"
"22/09/2023","17,784.8","18,038.0","18,227.8","17,531.6","82.81K","-2.77%"
"21/09/2023","18,291.1","18,481.0","18,544.3","18,227.8","62.09K","-0.34%"
"20/09/2023","18,354.4","18,228.0","18,354.4","17,911.4","28.45K","1.75%"
"19/09/2023","18,038.0","18,291.0","18,354.4","17,721.5","54.61K","-1.38%"
"18/09/2023","18,291.1","19,051.0","19,050.6","18,101.3","99.38K","-3.99%"
"15/09/2023","19,050.6","19,620.0","19,620.2","18,924.0","6.16K","0.67%"
"14/09/2023","18,924.0","19,114.0","19,177.2","18,797.5","45.03K","-0.99%"
"13/09/2023","19,113.9","19,304.0","19,493.7","18,987.3","93.54K","-1.63%"
"12/09/2023","19,430.4","19,367.0","19,430.4","19,113.9","86.90K","0.33%"
"11/09/2023","19,367.1","19,937.0","20,000.0","19,303.8","83.27K","-2.86%"
"08/09/2023","19,936.7","19,430.0","20,253.2","19,430.4","91.01K","3.28%"
"07/09/2023","19,303.8","19,177.0","19,810.1","19,177.2","112.81K","0.99%"
"06/09/2023","19,113.9","19,304.0","19,303.8","18,987.3","56.25K","-0.33%"
"05/09/2023","19,177.2","19,304.0","19,430.4","19,113.9","59.72K","-0.66%"
"31/08/2023","19,303.8","19,114.0","19,620.2","19,113.9","59.11K","0.66%"
"30/08/2023","19,177.2","19,051.0","19,303.8","18,987.3","53.09K","1.00%"
"29/08/2023","18,987.3","19,240.0","19,620.2","18,987.3","72.52K","-1.32%"
"28/08/2023","19,240.5","19,367.0","19,367.1","19,177.2","14.06K","-0.65%"
"25/08/2023","19,367.1","19,557.0","19,556.9","19,303.8","7.74K","-1.92%"
"24/08/2023","19,746.8","19,051.0","19,746.8","19,050.6","5.06K","3.65%"
"23/08/2023","19,050.6","19,177.0","19,177.2","19,050.6","10.90K","-0.66%"
"22/08/2023","19,177.2","19,240.0","19,620.2","18,987.3","49.45K","-0.66%"
"21/08/2023","19,303.8","19,367.0","19,367.1","18,987.3","60.36K","-0.33%"
"18/08/2023","19,367.1","20,190.0","20,189.9","19,240.5","55.46K","-4.67%"
"17/08/2023","20,316.4","20,316.0","20,443.0","20,253.2","34.60K","0.00%"
"16/08/2023","20,316.4","20,253.0","20,569.6","20,253.2","66.52K","0.31%"
"15/08/2023","20,253.2","20,570.0","20,632.9","20,253.2","31.13K","-0.93%"
"14/08/2023","20,443.0","20,253.0","20,569.6","20,063.3","38.55K","2.54%"
"11/08/2023","19,936.7","20,190.0","20,189.9","19,746.8","35.71K","-0.94%"
"10/08/2023","20,126.6","20,253.0","20,443.0","20,063.3","34.76K","-0.63%"
"09/08/2023","20,253.2","20,253.0","20,253.2","20,000.0","35.87K","-0.62%"
"08/08/2023","20,379.7","20,253.0","20,632.9","20,189.9","55.30K","0.00%"
"07/08/2023","20,379.7","20,506.0","20,759.5","20,316.4","51.19K","-1.23%"
"04/08/2023","20,632.9","20,633.0","20,759.5","20,506.3","21.33K","0.31%"
"03/08/2023","20,569.6","20,570.0","20,696.2","20,316.4","34.13K","0.93%"
"02/08/2023","20,379.7","20,316.0","20,569.6","20,316.4","47.40K","0.31%"
"01/08/2023","20,316.4","20,633.0","20,886.1","20,253.2","57.22K","-1.53%"
"31/07/2023","20,632.9","20,886.0","21,012.6","20,569.6","25.91K","-1.21%"
"28/07/2023","20,886.1","20,380.0","21,392.4","20,253.2","75.52K","3.12%"
"27/07/2023","20,253.2","20,253.0","20,253.2","19,936.7","39.50K","-0.93%"
"26/07/2023","20,443.0","20,443.0","20,443.0","20,253.2","28.65K","0.31%"
"25/07/2023","20,379.7","20,570.0","20,696.2","20,316.4","30.81K","-1.53%"
"24/07/2023","20,696.2","20,506.0","20,886.1","20,443.0","47.88K","0.93%"
"21/07/2023","20,506.3","20,000.0","20,506.3","19,620.2","52.77K","0.62%"
"20/07/2023","20,379.7","20,253.0","20,886.1","19,683.5","48.52K","0.00%"
"19/07/2023","20,379.7","19,873.0","20,632.9","19,873.4","56.88K","3.21%"
"18/07/2023","19,746.8","20,316.0","20,379.7","19,620.2","42.03K","-3.11%"
"17/07/2023","20,379.7","19,240.0","20,822.8","19,240.5","85.51K","5.92%"
"14/07/2023","19,240.5","19,430.0","19,430.4","18,987.3","22.12K","1.33%"
"13/07/2023","18,987.3","19,051.0","19,050.6","18,924.0","56.25K","0.00%"
"12/07/2023","18,987.3","18,987.0","19,113.9","18,670.9","33.97K","0.00%"
"11/07/2023","18,987.3","19,177.0","19,177.2","18,797.5","79.16K","-0.99%"
"10/07/2023","19,177.2","18,987.0","19,240.5","18,924.0","70.63K","0.33%"
"07/07/2023","19,113.9","19,240.0","19,303.8","18,987.3","52.30K","0.00%"
"06/07/2023","19,113.9","19,494.0","19,493.7","18,987.3","32.86K","-0.98%"
"05/07/2023","19,303.8","19,240.0","19,683.5","19,177.2","38.24K","1.33%"
"04/07/2023","19,050.6","18,987.0","19,050.6","18,924.0","16.59K","0.33%"
