"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","6,050.0","6,280.0","6,280.0","6,020.0","2.05M","-1.94%"
"27/06/2024","6,170.0","6,220.0","6,220.0","6,130.0","798.00K","-0.64%"
"26/06/2024","6,210.0","6,200.0","6,270.0","6,110.0","1.93M","1.64%"
"25/06/2024","6,110.0","6,100.0","6,180.0","6,080.0","1.25M","0.33%"
"24/06/2024","6,090.0","6,160.0","6,290.0","6,050.0","2.52M","-1.62%"
"21/06/2024","6,190.0","6,100.0","6,360.0","6,100.0","2.48M","0.65%"
"20/06/2024","6,150.0","6,270.0","6,290.0","6,120.0","2.42M","-1.76%"
"19/06/2024","6,260.0","6,340.0","6,340.0","6,210.0","1.43M","-0.32%"
"18/06/2024","6,280.0","6,120.0","6,500.0","6,120.0","2.31M","1.29%"
"17/06/2024","6,200.0","6,460.0","6,520.0","6,200.0","3.83M","-4.62%"
"14/06/2024","6,500.0","6,520.0","6,610.0","6,500.0","2.49M","0.00%"
"13/06/2024","6,500.0","6,690.0","6,690.0","6,500.0","2.42M","-1.52%"
"12/06/2024","6,600.0","6,590.0","6,620.0","6,430.0","3.87M","0.15%"
"11/06/2024","6,590.0","6,830.0","6,840.0","6,550.0","4.94M","-3.37%"
"10/06/2024","6,820.0","6,860.0","6,980.0","6,810.0","2.68M","0.29%"
"07/06/2024","6,800.0","6,950.0","6,950.0","6,790.0","1.97M","-0.44%"
"06/06/2024","6,830.0","6,910.0","7,040.0","6,780.0","3.55M","1.04%"
"05/06/2024","6,760.0","6,860.0","6,950.0","6,740.0","7.00M","-2.17%"
"04/06/2024","6,910.0","7,150.0","7,150.0","6,910.0","4.15M","-1.99%"
"03/06/2024","7,050.0","7,100.0","7,160.0","7,030.0","4.25M","0.28%"
"31/05/2024","7,030.0","7,150.0","7,300.0","7,030.0","3.42M","-1.26%"
"30/05/2024","7,120.0","7,060.0","7,140.0","6,910.0","7.03M","-1.11%"
"29/05/2024","7,200.0","7,170.0","7,450.0","7,130.0","6.58M","0.56%"
"28/05/2024","7,160.0","7,400.0","7,400.0","7,100.0","4.89M","-0.83%"
"27/05/2024","7,220.0","6,910.0","7,280.0","6,910.0","3.95M","4.64%"
"24/05/2024","6,900.0","7,200.0","7,340.0","6,850.0","8.51M","-4.70%"
"23/05/2024","7,240.0","7,370.0","7,400.0","7,110.0","7.13M","-2.16%"
"22/05/2024","7,400.0","7,500.0","7,690.0","7,250.0","11.09M","2.49%"
"21/05/2024","7,220.0","6,850.0","7,220.0","6,750.0","16.21M","6.96%"
"20/05/2024","6,750.0","6,730.0","6,890.0","6,610.0","5.43M","1.50%"
"17/05/2024","6,650.0","6,530.0","6,670.0","6,430.0","3.71M","1.84%"
"16/05/2024","6,530.0","6,430.0","6,580.0","6,420.0","2.96M","1.56%"
"15/05/2024","6,430.0","6,580.0","6,590.0","6,430.0","2.85M","-1.08%"
"14/05/2024","6,500.0","6,700.0","6,740.0","6,410.0","3.94M","-2.40%"
"13/05/2024","6,660.0","6,860.0","6,860.0","6,500.0","5.89M","3.74%"
"10/05/2024","6,420.0","6,030.0","6,420.0","6,000.0","11.63M","7.00%"
"09/05/2024","6,000.0","6,090.0","6,190.0","6,000.0","2.79M","-0.50%"
"08/05/2024","6,030.0","6,050.0","6,130.0","6,000.0","3.14M","-0.66%"
"07/05/2024","6,070.0","6,100.0","6,140.0","6,070.0","1.65M","-0.33%"
"06/05/2024","6,090.0","6,080.0","6,230.0","6,040.0","4.94M","0.00%"
"03/05/2024","6,090.0","6,190.0","6,250.0","6,080.0","1.41M","-1.62%"
"02/05/2024","6,190.0","6,060.0","6,190.0","5,930.0","2.02M","2.15%"
"26/04/2024","6,060.0","6,180.0","6,190.0","6,040.0","3.86M","-0.49%"
"25/04/2024","6,090.0","5,900.0","6,200.0","5,800.0","2.71M","2.35%"
"24/04/2024","5,950.0","5,650.0","5,950.0","5,620.0","3.78M","5.50%"
"23/04/2024","5,640.0","5,940.0","5,940.0","5,620.0","4.36M","-3.59%"
"22/04/2024","5,850.0","6,300.0","6,300.0","5,850.0","6.73M","-3.47%"
"19/04/2024","6,060.0","6,100.0","6,400.0","5,900.0","17.09M","-3.81%"
"17/04/2024","6,300.0","6,480.0","6,480.0","6,110.0","1.65M","-1.72%"
"16/04/2024","6,410.0","6,100.0","6,410.0","5,850.0","16.34M","2.07%"
"15/04/2024","6,280.0","6,760.0","6,950.0","6,280.0","7.51M","-6.96%"
"12/04/2024","6,750.0","7,070.0","7,110.0","6,750.0","10.64M","-4.53%"
"11/04/2024","7,070.0","7,010.0","7,160.0","6,980.0","4.25M","-1.12%"
"10/04/2024","7,150.0","7,300.0","7,350.0","7,130.0","3.34M","-1.65%"
"09/04/2024","7,270.0","7,350.0","7,350.0","7,160.0","3.31M","-0.27%"
