"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","3,750.00","3,850.00","3,880.00","3,750.00","4.27M","-2.60%"
"27/06/2024","3,850.00","3,900.00","3,900.00","3,840.00","2.65M","-0.52%"
"26/06/2024","3,870.00","3,890.00","3,940.00","3,860.00","3.12M","-0.51%"
"25/06/2024","3,890.00","3,920.00","3,960.00","3,880.00","2.60M","-0.77%"
"24/06/2024","3,920.00","3,930.00","4,050.00","3,870.00","5.64M","0.26%"
"21/06/2024","3,910.00","3,980.00","3,980.00","3,910.00","3.01M","-1.51%"
"20/06/2024","3,970.00","4,040.00","4,040.00","3,910.00","2.84M","-0.25%"
"19/06/2024","3,980.00","4,010.00","4,030.00","3,960.00","2.87M","-0.75%"
"18/06/2024","4,010.00","4,030.00","4,050.00","3,990.00","4.99M","0.25%"
"17/06/2024","4,000.00","4,080.00","4,080.00","3,990.00","6.73M","-1.72%"
"14/06/2024","4,070.00","4,160.00","4,160.00","4,050.00","5.81M","-1.21%"
"13/06/2024","4,120.00","4,130.00","4,180.00","4,110.00","3.82M","0.24%"
"12/06/2024","4,110.00","4,080.00","4,130.00","4,080.00","3.77M","0.24%"
"11/06/2024","4,100.00","4,130.00","4,170.00","4,070.00","5.52M","-0.49%"
"10/06/2024","4,120.00","4,150.00","4,180.00","4,120.00","4.41M","-0.24%"
"07/06/2024","4,130.00","4,130.00","4,190.00","4,120.00","3.78M","0.24%"
"06/06/2024","4,120.00","4,210.00","4,220.00","4,120.00","4.90M","-1.44%"
"05/06/2024","4,180.00","4,250.00","4,250.00","4,180.00","6.75M","-0.95%"
"04/06/2024","4,220.00","4,280.00","4,290.00","4,200.00","5.47M","-0.47%"
"03/06/2024","4,240.00","4,300.00","4,400.00","4,220.00","11.58M","0.24%"
"31/05/2024","4,230.00","4,260.00","4,340.00","4,210.00","5.80M","-0.47%"
"30/05/2024","4,250.00","4,250.00","4,350.00","4,210.00","12.29M","1.67%"
"29/05/2024","4,180.00","4,110.00","4,260.00","4,110.00","13.29M","1.70%"
"28/05/2024","4,110.00","4,140.00","4,170.00","4,100.00","4.49M","0.24%"
"27/05/2024","4,100.00","4,080.00","4,140.00","4,040.00","3.29M","1.49%"
"24/05/2024","4,040.00","4,180.00","4,220.00","4,040.00","10.25M","-2.65%"
"23/05/2024","4,150.00","4,190.00","4,270.00","4,150.00","13.78M","2.47%"
"22/05/2024","4,050.00","4,120.00","4,160.00","4,050.00","6.00M","-0.74%"
"21/05/2024","4,080.00","4,050.00","4,230.00","4,030.00","9.20M","1.49%"
"20/05/2024","4,020.00","4,050.00","4,080.00","4,000.00","5.37M","0.50%"
"17/05/2024","4,000.00","4,030.00","4,030.00","3,950.00","4.72M","0.25%"
"16/05/2024","3,990.00","4,030.00","4,090.00","3,990.00","4.38M","-0.50%"
"15/05/2024","4,010.00","4,010.00","4,050.00","3,990.00","7.20M","0.00%"
"14/05/2024","4,010.00","4,150.00","4,160.00","4,010.00","6.26M","-2.43%"
"13/05/2024","4,110.00","3,900.00","4,110.00","3,890.00","16.92M","6.75%"
"10/05/2024","3,850.00","3,830.00","3,860.00","3,780.00","3.21M","1.32%"
"09/05/2024","3,800.00","3,840.00","3,860.00","3,800.00","3.09M","-0.78%"
"08/05/2024","3,830.00","3,840.00","3,880.00","3,800.00","3.54M","-1.54%"
"07/05/2024","3,890.00","3,900.00","3,920.00","3,830.00","3.24M","0.00%"
"06/05/2024","3,890.00","3,820.00","3,940.00","3,800.00","4.96M","2.10%"
"03/05/2024","3,810.00","3,840.00","3,880.00","3,810.00","3.81M","-0.52%"
"02/05/2024","3,830.00","3,800.00","4,000.00","3,800.00","3.32M","1.06%"
"26/04/2024","3,790.00","3,680.00","3,790.00","3,680.00","4.05M","2.43%"
