"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","50,135","50,891","51,059","50,135","1.20M","-1.49%"
"27/06/2024","50,891","51,059","51,563","50,555","1.30M","0.00%"
"26/06/2024","50,891","51,059","51,395","50,219","1.92M","-1.14%"
"25/06/2024","51,479","50,387","51,479","50,387","1.06M","-0.16%"
"24/06/2024","51,563","46,860","52,906","46,860","3.32M","-0.81%"
"21/06/2024","51,983","52,403","52,403","51,815","1.46M","-0.64%"
"20/06/2024","52,319","51,731","52,906","51,731","1.15M","-0.16%"
"19/06/2024","52,403","52,235","52,571","51,815","1.05M","0.32%"
"18/06/2024","52,235","52,067","52,235","51,899","966.48K","0.32%"
"17/06/2024","52,067","54,166","55,426","51,731","1.87M","-0.80%"
"14/06/2024","52,487","53,746","53,914","52,487","1.63M","-2.04%"
"13/06/2024","53,578","52,906","53,746","52,403","2.61M","1.59%"
"12/06/2024","52,739","52,319","52,739","51,815","1.53M","0.64%"
"11/06/2024","52,403","52,487","52,487","51,563","2.15M","-0.16%"
"10/06/2024","52,487","51,899","52,487","51,731","2.27M","1.30%"
"07/06/2024","51,815","51,983","52,067","51,647","1.76M","-0.32%"
"06/06/2024","51,983","52,235","52,655","51,311","2.78M","-0.80%"
"05/06/2024","52,403","52,487","53,494","52,403","2.53M","-0.16%"
"04/06/2024","52,487","52,487","52,822","51,983","1.73M","0.00%"
"03/06/2024","52,487","52,906","52,906","51,647","2.09M","1.96%"
"31/05/2024","51,479","51,559","51,882","50,914","1.60M","0.00%"
"30/05/2024","51,479","50,833","51,721","46,638","2.85M","-0.62%"
"29/05/2024","51,802","52,044","52,528","51,317","2.54M","0.00%"
"28/05/2024","51,802","50,914","52,850","50,833","4.11M","1.74%"
"27/05/2024","50,914","51,559","51,559","50,430","1.48M","-0.63%"
"24/05/2024","51,237","51,640","51,802","49,542","4.73M","-0.78%"
"23/05/2024","51,640","51,156","52,366","51,156","3.67M","0.63%"
"22/05/2024","51,317","50,430","51,317","50,349","5.12M","2.09%"
"21/05/2024","50,268","50,591","50,672","49,623","3.41M","-0.64%"
"20/05/2024","50,591","50,672","51,156","50,188","2.53M","0.00%"
"17/05/2024","50,591","51,237","51,237","50,107","4.41M","-1.26%"
"16/05/2024","51,237","51,398","51,802","50,753","3.32M","0.16%"
"15/05/2024","51,156","51,156","51,317","50,753","2.57M","0.32%"
"14/05/2024","50,995","50,107","51,640","50,026","3.42M","1.77%"
"13/05/2024","50,107","49,623","50,753","49,542","3.29M","0.00%"
"10/05/2024","50,107","50,511","50,591","49,300","2.22M","-0.80%"
"09/05/2024","50,511","49,623","50,833","49,300","4.40M","1.79%"
"08/05/2024","49,623","45,024","50,349","45,024","2.73M","-0.81%"
"07/05/2024","50,026","49,623","50,107","49,220","2.38M","0.81%"
"06/05/2024","49,623","47,767","51,075","47,767","5.46M","3.89%"
"03/05/2024","47,767","47,202","48,009","47,202","1.95M","0.34%"
"02/05/2024","47,606","45,589","47,929","45,589","3.49M","4.98%"
"26/04/2024","45,347","44,540","45,508","43,975","1.58M","1.81%"
"25/04/2024","44,540","43,894","44,701","43,410","1.53M","1.47%"
"24/04/2024","43,894","42,442","44,217","42,442","1.90M","2.84%"
"23/04/2024","42,684","42,765","43,249","40,586","1.50M","-0.75%"
"22/04/2024","43,007","43,491","43,491","41,796","1.54M","2.90%"
"19/04/2024","41,796","43,975","44,217","41,796","3.77M","-4.95%"
"17/04/2024","43,975","43,975","44,782","43,733","2.19M","0.00%"
"16/04/2024","43,975","44,540","44,701","43,168","2.93M","-1.27%"
"15/04/2024","44,540","46,799","47,122","44,459","2.57M","-5.48%"
"12/04/2024","47,122","46,153","47,202","46,153","1.67M","1.57%"
"11/04/2024","46,395","45,831","46,476","45,589","1.35M","0.00%"
"10/04/2024","46,395","47,606","47,606","46,395","1.22M","-1.03%"
"09/04/2024","46,880","46,718","47,122","46,395","1.12M","0.35%"
"08/04/2024","46,718","46,557","46,799","46,153","1.17M","-0.17%"
"05/04/2024","46,799","46,395","47,444","43,168","1.93M","0.00%"
"04/04/2024","46,799","47,283","47,283","46,638","2.37M","-1.02%"
"03/04/2024","47,283","48,897","48,897","47,283","2.23M","-2.33%"
"02/04/2024","48,413","47,202","48,413","46,799","2.40M","2.56%"
"01/04/2024","47,202","47,606","47,848","46,960","1.06M","-0.85%"
"29/03/2024","47,606","47,606","48,332","47,444","2.37M","0.34%"
"28/03/2024","47,444","47,444","47,767","47,202","1.15M","0.00%"
"27/03/2024","47,444","47,283","47,686","47,122","1.04M","0.51%"
"26/03/2024","47,202","46,799","47,283","46,557","1.63M","0.86%"
"25/03/2024","46,799","48,009","48,009","46,638","2.31M","-2.52%"
"22/03/2024","48,009","47,767","48,655","47,606","2.33M","0.68%"
"21/03/2024","47,686","47,202","47,767","46,880","2.51M","1.03%"
"20/03/2024","47,202","46,395","47,444","45,831","1.86M","1.74%"
"19/03/2024","46,395","46,718","46,718","45,831","1.87M","-0.69%"
"18/03/2024","46,718","48,090","48,655","44,056","7.05M","-3.18%"
"15/03/2024","48,251","48,735","49,058","48,009","3.47M","-0.83%"
"14/03/2024","48,655","48,816","50,430","48,171","3.85M","0.50%"
"13/03/2024","48,413","47,444","48,816","47,444","4.69M","2.04%"
"12/03/2024","47,444","46,799","48,171","46,476","3.49M","2.08%"
"11/03/2024","46,476","46,718","47,686","46,073","3.40M","-0.35%"
"08/03/2024","46,638","46,395","47,364","45,831","3.75M","0.70%"
"07/03/2024","46,315","46,234","46,557","45,831","2.13M","0.17%"
"06/03/2024","46,234","46,880","46,960","45,750","3.18M","-1.38%"
"05/03/2024","46,880","47,122","47,364","46,638","1.89M","-0.51%"
"04/03/2024","47,122","47,122","48,009","46,960","2.17M","-0.85%"
"01/03/2024","47,525","47,525","47,686","46,960","1.91M","0.00%"
"29/02/2024","47,525","47,364","47,525","46,395","3.00M","0.34%"
"28/02/2024","47,364","47,525","47,686","46,718","2.03M","-0.34%"
"27/02/2024","47,525","46,234","47,606","46,153","3.33M","2.97%"
"26/02/2024","46,153","45,589","46,315","45,347","2.43M","1.24%"
"23/02/2024","45,589","46,799","46,799","45,185","4.09M","-2.25%"
"22/02/2024","46,638","45,669","47,041","45,589","3.79M","2.12%"
"21/02/2024","45,669","45,024","45,669","45,024","2.42M","1.43%"
"20/02/2024","45,024","45,104","45,427","44,540","1.71M","0.00%"
"19/02/2024","45,024","45,508","45,508","44,620","2.61M","-0.89%"
"16/02/2024","45,427","45,427","46,476","45,185","2.23M","0.36%"
"15/02/2024","45,266","45,185","45,831","44,943","2.90M","0.18%"
"07/02/2024","45,185","45,185","45,589","45,024","1.23M","-0.53%"
"06/02/2024","45,427","44,701","45,831","44,378","2.26M","1.62%"
"05/02/2024","44,701","44,459","45,104","44,056","2.25M","0.54%"
"02/02/2024","44,459","44,056","45,185","44,056","2.24M","-1.61%"
"01/02/2024","45,185","43,007","45,589","42,684","6.27M","5.66%"
"31/01/2024","42,765","43,571","44,056","42,603","2.13M","-1.30%"
"30/01/2024","43,329","41,474","43,894","41,312","5.61M","4.68%"
"29/01/2024","41,393","41,312","41,716","41,312","1.83M","0.20%"
"26/01/2024","41,312","40,989","41,554","40,989","672.64K","0.79%"
"25/01/2024","40,989","40,747","41,312","40,586","948.79K","0.59%"
"24/01/2024","40,747","41,070","41,070","40,667","1.34M","-0.79%"
"23/01/2024","41,070","41,151","41,312","40,828","934.71K","-0.20%"
"22/01/2024","41,151","41,312","41,554","40,586","1.53M","-0.39%"
