"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","6,700.0","6,900.0","6,900.0","6,500.0","1.61M","0.00%"
"27/06/2024","6,700.0","7,000.0","7,000.0","6,700.0","929.04K","-1.47%"
"26/06/2024","6,800.0","6,900.0","7,000.0","6,800.0","848.66K","-1.45%"
"25/06/2024","6,900.0","7,100.0","7,200.0","6,800.0","1.77M","-2.82%"
"24/06/2024","7,100.0","7,500.0","7,600.0","6,900.0","2.26M","-5.33%"
"21/06/2024","7,500.0","6,900.0","7,500.0","6,800.0","4.85M","8.70%"
"20/06/2024","6,900.0","6,700.0","6,900.0","6,500.0","1.67M","2.99%"
"19/06/2024","6,700.0","6,800.0","7,000.0","6,700.0","1.60M","-1.47%"
"18/06/2024","6,800.0","7,200.0","7,200.0","6,800.0","2.60M","-4.23%"
"17/06/2024","7,100.0","7,100.0","7,300.0","6,900.0","1.91M","0.00%"
"14/06/2024","7,100.0","7,600.0","7,700.0","7,100.0","5.05M","-7.79%"
"13/06/2024","7,700.0","7,900.0","7,900.0","7,600.0","1.61M","-1.28%"
"12/06/2024","7,800.0","7,600.0","8,000.0","7,400.0","2.00M","2.63%"
"11/06/2024","7,600.0","7,800.0","7,900.0","7,500.0","2.02M","-2.56%"
"10/06/2024","7,800.0","8,000.0","8,100.0","7,600.0","2.19M","-2.50%"
"07/06/2024","8,000.0","7,800.0","8,100.0","7,600.0","2.31M","2.56%"
"06/06/2024","7,800.0","8,100.0","8,200.0","7,600.0","2.84M","-3.70%"
"05/06/2024","8,100.0","7,500.0","8,100.0","7,400.0","6.54M","9.46%"
"04/06/2024","7,400.0","7,500.0","7,800.0","7,200.0","4.96M","-1.33%"
"03/06/2024","7,500.0","8,200.0","8,500.0","7,500.0","7.16M","-8.54%"
"31/05/2024","8,200.0","8,400.0","8,700.0","8,000.0","3.71M","2.50%"
"30/05/2024","8,000.0","7,000.0","8,000.0","7,000.0","10.45M","9.59%"
"29/05/2024","7,300.0","8,600.0","8,800.0","7,200.0","7.42M","-8.75%"
"28/05/2024","8,000.0","7,300.0","8,000.0","7,300.0","3.11M","9.59%"
"27/05/2024","7,300.0","6,700.0","7,300.0","6,700.0","4.40M","8.96%"
"24/05/2024","6,700.0","7,300.0","7,300.0","6,600.0","4.01M","-6.94%"
"23/05/2024","7,200.0","7,200.0","7,400.0","6,700.0","3.79M","0.00%"
"22/05/2024","7,200.0","6,700.0","7,200.0","6,600.0","6.48M","7.46%"
"21/05/2024","6,700.0","6,600.0","6,800.0","6,400.0","3.88M","1.52%"
"20/05/2024","6,600.0","6,300.0","6,800.0","6,300.0","5.27M","4.76%"
"17/05/2024","6,300.0","5,800.0","6,300.0","5,700.0","5.21M","8.62%"
"16/05/2024","5,800.0","6,000.0","6,100.0","5,600.0","3.10M","-3.33%"
"15/05/2024","6,000.0","6,700.0","6,700.0","5,900.0","3.41M","-1.64%"
"14/05/2024","6,100.0","6,100.0","6,100.0","5,800.0","7.97M","8.93%"
"13/05/2024","5,600.0","5,100.0","5,600.0","5,100.0","1.89M","9.80%"
"10/05/2024","5,100.0","5,300.0","5,300.0","4,900.0","903.82K","-1.92%"
"09/05/2024","5,200.0","4,800.0","5,200.0","4,800.0","2.15M","8.33%"
"08/05/2024","4,800.0","4,800.0","4,900.0","4,700.0","428.38K","0.00%"
"07/05/2024","4,800.0","4,800.0","4,900.0","4,700.0","956.86K","0.00%"
"06/05/2024","4,800.0","4,600.0","4,800.0","4,600.0","722.84K","2.13%"
"03/05/2024","4,700.0","4,600.0","4,700.0","4,500.0","403.94K","2.17%"
"02/05/2024","4,600.0","4,600.0","4,700.0","4,600.0","389.65K","0.00%"
"26/04/2024","4,600.0","4,600.0","4,700.0","4,500.0","439.37K","0.00%"
"25/04/2024","4,600.0","4,700.0","4,700.0","4,600.0","163.40K","-2.13%"
"24/04/2024","4,700.0","4,600.0","4,800.0","4,600.0","565.78K","2.17%"
"23/04/2024","4,600.0","4,900.0","4,900.0","4,500.0","552.83K","-4.17%"
"22/04/2024","4,800.0","4,500.0","4,800.0","4,500.0","962.43K","9.09%"
"19/04/2024","4,400.0","4,700.0","4,700.0","4,400.0","1.11M","-6.38%"
"17/04/2024","4,700.0","4,700.0","4,900.0","4,700.0","989.46K","0.00%"
"16/04/2024","4,700.0","4,600.0","5,000.0","4,600.0","3.20M","-7.84%"
"15/04/2024","5,100.0","5,600.0","5,700.0","5,100.0","5.30M","-8.93%"
"12/04/2024","5,600.0","5,700.0","5,800.0","5,600.0","889.79K","-1.75%"
"11/04/2024","5,700.0","5,800.0","5,800.0","5,600.0","1.23M","-1.72%"
"10/04/2024","5,800.0","5,800.0","5,900.0","5,700.0","1.06M","-1.69%"
"09/04/2024","5,900.0","5,800.0","5,900.0","5,700.0","1.77M","1.72%"
"08/04/2024","5,800.0","6,000.0","6,000.0","5,800.0","1.20M","-3.33%"
"05/04/2024","6,000.0","6,000.0","6,100.0","5,900.0","2.63M","-1.64%"
"04/04/2024","6,100.0","6,200.0","6,200.0","6,000.0","776.26K","-1.61%"
"03/04/2024","6,200.0","6,100.0","6,300.0","6,100.0","1.80M","1.64%"
"02/04/2024","6,100.0","6,200.0","6,300.0","6,100.0","2.98M","-1.61%"
"01/04/2024","6,200.0","6,200.0","6,200.0","6,000.0","1.07M","0.00%"
"29/03/2024","6,200.0","6,100.0","6,300.0","6,000.0","1.76M","1.64%"
"28/03/2024","6,100.0","6,100.0","6,200.0","6,000.0","1.12M","0.00%"
"27/03/2024","6,100.0","6,100.0","6,200.0","6,100.0","909.23K","0.00%"
"26/03/2024","6,100.0","6,100.0","6,200.0","6,000.0","783.31K","0.00%"
"25/03/2024","6,100.0","6,100.0","6,200.0","6,000.0","1.93M","0.00%"
"22/03/2024","6,100.0","6,200.0","6,300.0","6,000.0","1.79M","-1.61%"
