"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","31,744.9","31,828.6","31,828.6","30,991.0","45.04K","-0.26%"
"27/06/2024","31,828.6","31,912.4","31,912.4","31,577.3","55.55K","-0.26%"
"26/06/2024","31,912.4","32,498.7","32,498.7","31,744.9","34.05K","-0.26%"
"25/06/2024","31,996.2","32,163.7","32,498.7","31,744.9","36.89K","0.53%"
"24/06/2024","31,828.6","33,503.8","33,503.8","31,828.6","79.67K","-3.31%"
"21/06/2024","32,917.5","33,922.6","34,173.9","32,750.0","50.58K","-2.24%"
"20/06/2024","33,671.3","33,336.3","33,755.1","33,001.3","31.90K","0.50%"
"19/06/2024","33,503.8","34,257.6","34,257.6","33,503.8","21.14K","-0.74%"
"18/06/2024","33,755.1","33,838.9","34,844.0","33,420.1","24.61K","1.26%"
"17/06/2024","33,336.3","33,838.9","33,838.9","33,168.8","51.21K","-1.49%"
"14/06/2024","33,838.9","34,341.4","34,341.4","33,838.9","44.15K","-0.98%"
"13/06/2024","34,173.9","34,425.2","34,676.4","34,090.1","38.75K","-1.21%"
"12/06/2024","34,592.7","34,508.9","35,095.3","34,341.4","56.53K","0.24%"
"11/06/2024","34,508.9","34,676.4","35,179.0","34,341.4","83.73K","0.24%"
"10/06/2024","34,425.2","34,592.7","35,597.8","34,257.6","57.43K","0.24%"
"07/06/2024","34,341.4","34,844.0","34,844.0","34,006.4","29.92K","-0.73%"
"06/06/2024","34,592.7","33,001.3","35,597.8","33,001.3","258.90K","3.77%"
"05/06/2024","33,336.3","32,666.2","33,838.9","32,498.7","131.00K","2.05%"
"04/06/2024","32,666.2","32,750.0","32,833.7","32,247.4","62.21K","0.26%"
"03/06/2024","32,582.5","33,001.3","33,168.8","32,331.2","67.79K","1.30%"
"31/05/2024","32,163.7","31,577.3","32,331.2","31,577.3","75.18K","-1.03%"
"30/05/2024","32,498.7","32,666.2","32,833.7","31,661.1","55.69K","-1.77%"
"29/05/2024","33,085.0","33,252.5","33,503.8","33,085.0","49.65K","0.00%"
"28/05/2024","33,085.0","33,001.3","33,252.5","32,498.7","51.48K","0.25%"
"27/05/2024","33,001.3","33,252.5","33,755.1","32,666.2","57.86K","-0.76%"
