"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","13,835.3","14,215.6","14,263.2","13,550.0","2.08M","-2.68%"
"27/06/2024","14,215.6","14,358.2","14,358.2","14,120.5","869.20K","-0.99%"
"26/06/2024","14,358.2","13,977.9","14,500.9","13,835.3","3.19M","2.72%"
"25/06/2024","13,977.9","13,930.3","14,073.0","13,787.7","1.64M","1.38%"
"24/06/2024","13,787.7","14,453.3","14,453.3","13,787.7","5.47M","-4.61%"
"21/06/2024","14,453.3","14,358.2","14,643.5","14,310.7","2.14M","0.00%"
"20/06/2024","14,453.3","14,310.7","14,643.5","14,168.1","2.95M","1.33%"
"19/06/2024","14,263.2","14,310.7","14,405.8","14,168.1","2.52M","-0.33%"
"18/06/2024","14,310.7","14,263.2","14,453.3","14,215.6","2.23M","0.67%"
"17/06/2024","14,215.6","14,263.2","14,500.9","14,168.1","4.78M","-0.33%"
"14/06/2024","14,263.2","15,071.4","15,071.4","14,263.2","6.20M","-5.06%"
"13/06/2024","15,023.9","15,118.9","15,261.6","14,928.8","4.56M","-0.94%"
"12/06/2024","15,166.5","14,881.2","15,214.0","14,596.0","6.42M","2.90%"
"11/06/2024","14,738.6","15,261.6","15,404.2","14,738.6","15.20M","-4.32%"
"10/06/2024","15,404.2","15,594.4","15,784.6","15,118.9","5.38M","-0.61%"
"07/06/2024","15,499.3","15,784.6","15,784.6","15,261.6","3.24M","0.00%"
"06/06/2024","15,499.3","15,309.1","15,737.0","15,071.4","11.08M","2.52%"
"05/06/2024","15,118.9","14,786.1","15,546.8","14,786.1","10.57M","2.25%"
"04/06/2024","14,786.1","15,118.9","15,118.9","14,738.6","3.99M","-1.27%"
"03/06/2024","14,976.3","14,263.2","14,976.3","14,215.6","14.42M","6.78%"
"31/05/2024","14,025.4","13,930.3","14,215.6","13,882.8","2.53M","0.00%"
"30/05/2024","14,025.4","13,882.8","14,263.2","13,740.2","3.87M","-0.34%"
"29/05/2024","14,073.0","14,263.2","14,358.2","13,930.3","3.47M","-1.00%"
"28/05/2024","14,215.6","13,977.9","14,358.2","13,882.8","4.89M","2.05%"
"27/05/2024","13,930.3","13,787.7","13,977.9","13,645.1","2.86M","0.34%"
"24/05/2024","13,882.8","14,263.2","14,643.5","13,597.5","7.65M","-2.67%"
"23/05/2024","14,263.2","14,073.0","14,358.2","14,025.4","3.96M","0.00%"
"22/05/2024","14,263.2","14,453.3","14,691.0","14,120.5","6.60M","-0.66%"
"21/05/2024","14,358.2","14,405.8","14,405.8","14,025.4","4.78M","0.00%"
"20/05/2024","14,358.2","14,025.4","14,738.6","13,977.9","10.65M","4.14%"
"17/05/2024","13,787.7","13,502.5","13,835.3","13,502.5","4.94M","2.11%"
"16/05/2024","13,502.5","13,454.9","13,740.2","13,312.3","4.14M","1.79%"
