"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","11,450.0","11,700.0","12,000.0","11,300.0","854.30K","-1.72%"
"27/06/2024","11,650.0","11,950.0","12,000.0","11,500.0","1.13M","-2.92%"
"26/06/2024","12,000.0","11,950.0","12,300.0","11,750.0","1.01M","1.27%"
"25/06/2024","11,850.0","12,150.0","12,600.0","11,600.0","621.40K","-2.47%"
"24/06/2024","12,150.0","11,450.0","12,150.0","11,450.0","4.64M","6.58%"
"21/06/2024","11,400.0","11,400.0","11,750.0","11,400.0","1.16M","0.44%"
"20/06/2024","11,350.0","10,950.0","11,400.0","10,850.0","850.20K","4.13%"
"19/06/2024","10,900.0","10,950.0","10,950.0","10,750.0","380.60K","0.46%"
"18/06/2024","10,850.0","10,800.0","11,100.0","10,800.0","309.20K","0.93%"
"17/06/2024","10,750.0","11,100.0","11,200.0","10,750.0","530.40K","-3.15%"
"14/06/2024","11,100.0","11,600.0","11,600.0","11,100.0","781.30K","-3.90%"
"13/06/2024","11,550.0","11,400.0","11,750.0","11,350.0","1.03M","2.21%"
"12/06/2024","11,300.0","11,250.0","11,450.0","11,150.0","512.70K","1.35%"
"11/06/2024","11,150.0","11,350.0","11,450.0","11,050.0","607.30K","-0.45%"
"10/06/2024","11,200.0","11,300.0","11,400.0","11,100.0","755.10K","-0.44%"
"07/06/2024","11,250.0","11,400.0","11,450.0","11,150.0","763.70K","-1.32%"
"06/06/2024","11,400.0","11,350.0","11,600.0","11,050.0","824.30K","0.44%"
"05/06/2024","11,350.0","11,600.0","11,700.0","11,300.0","889.20K","0.44%"
"04/06/2024","11,300.0","10,600.0","11,300.0","10,600.0","1.37M","6.60%"
"03/06/2024","10,600.0","10,450.0","10,700.0","10,400.0","535.20K","2.42%"
"31/05/2024","10,350.0","10,350.0","10,450.0","10,250.0","195.00K","0.00%"
"30/05/2024","10,350.0","10,400.0","10,500.0","10,100.0","505.20K","-1.43%"
"29/05/2024","10,500.0","10,600.0","10,700.0","10,400.0","362.00K","-0.47%"
"28/05/2024","10,550.0","10,450.0","10,600.0","10,400.0","401.50K","1.93%"
"27/05/2024","10,350.0","10,550.0","10,550.0","10,300.0","276.70K","-0.48%"
