"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","29,000.0","29,350.0","29,550.0","28,300.0","3.95M","-0.85%"
"27/06/2024","29,250.0","29,500.0","29,900.0","29,150.0","2.79M","-0.85%"
"26/06/2024","29,500.0","29,850.0","29,950.0","29,300.0","2.93M","-1.01%"
"25/06/2024","29,800.0","29,750.0","29,950.0","29,600.0","1.86M","0.17%"
"24/06/2024","29,750.0","29,450.0","30,300.0","29,400.0","8.98M","1.36%"
"21/06/2024","29,350.0","29,650.0","30,100.0","29,300.0","3.52M","-1.51%"
"20/06/2024","29,800.0","30,050.0","30,250.0","29,550.0","3.52M","-0.33%"
"19/06/2024","29,900.0","30,400.0","30,400.0","29,800.0","7.06M","-1.64%"
"18/06/2024","30,400.0","30,350.0","30,800.0","30,350.0","2.74M","0.66%"
"17/06/2024","30,200.0","30,500.0","30,500.0","30,200.0","4.32M","-0.33%"
"14/06/2024","30,300.0","31,400.0","31,700.0","30,300.0","7.26M","-3.35%"
"13/06/2024","31,350.0","31,750.0","31,750.0","31,250.0","5.61M","-0.79%"
"12/06/2024","31,600.0","31,450.0","31,600.0","30,950.0","6.93M","0.64%"
"11/06/2024","31,400.0","31,850.0","31,900.0","31,200.0","5.83M","-0.95%"
"10/06/2024","31,700.0","31,750.0","32,200.0","31,600.0","4.84M","0.32%"
"07/06/2024","31,600.0","31,700.0","31,800.0","31,350.0","2.99M","0.00%"
"06/06/2024","31,600.0","31,900.0","31,900.0","31,200.0","4.46M","0.00%"
"05/06/2024","31,600.0","31,900.0","32,500.0","31,600.0","7.65M","-0.94%"
"04/06/2024","31,900.0","32,500.0","32,500.0","31,850.0","4.70M","-1.24%"
"03/06/2024","32,300.0","31,750.0","32,300.0","31,550.0","7.86M","2.87%"
"31/05/2024","31,400.0","31,550.0","31,600.0","31,150.0","3.56M","-0.32%"
"30/05/2024","31,500.0","31,350.0","31,650.0","30,700.0","7.60M","-1.10%"
"29/05/2024","31,850.0","32,200.0","32,200.0","31,500.0","6.17M","-0.78%"
"28/05/2024","32,100.0","31,450.0","32,150.0","31,250.0","9.22M","2.88%"
"27/05/2024","31,200.0","31,000.0","31,250.0","30,800.0","3.78M","1.13%"
"24/05/2024","30,850.0","31,300.0","32,150.0","30,450.0","10.98M","-2.37%"
"23/05/2024","31,600.0","30,950.0","31,600.0","30,800.0","6.41M","1.94%"
"22/05/2024","31,000.0","31,700.0","31,700.0","30,900.0","6.26M","-1.27%"
"21/05/2024","31,400.0","31,200.0","31,850.0","30,800.0","13.52M","1.29%"
"20/05/2024","31,000.0","31,050.0","31,450.0","31,000.0","5.80M","0.65%"
"17/05/2024","30,800.0","30,450.0","30,950.0","30,400.0","5.51M","0.98%"
"16/05/2024","30,500.0","30,600.0","30,750.0","30,350.0","5.99M","0.83%"
"15/05/2024","30,250.0","30,400.0","30,500.0","30,100.0","4.40M","0.33%"
"14/05/2024","30,150.0","29,950.0","30,800.0","29,950.0","6.26M","0.50%"
"13/05/2024","30,000.0","29,900.0","30,250.0","29,650.0","4.15M","0.33%"
"10/05/2024","29,900.0","30,000.0","30,200.0","29,550.0","3.77M","-0.33%"
"09/05/2024","30,000.0","30,050.0","30,400.0","29,900.0","3.93M","-0.17%"
"08/05/2024","30,050.0","30,000.0","30,200.0","29,600.0","4.42M","-0.50%"
"07/05/2024","30,200.0","30,300.0","30,600.0","30,100.0","3.89M","-0.17%"
"06/05/2024","30,250.0","29,950.0","30,300.0","29,600.0","4.16M","2.54%"
"03/05/2024","29,500.0","29,250.0","29,900.0","29,050.0","5.09M","1.72%"
"02/05/2024","29,000.0","28,650.0","29,200.0","28,300.0","4.82M","0.00%"
"26/04/2024","29,000.0","29,050.0","29,450.0","28,900.0","4.11M","-1.69%"
"25/04/2024","29,500.0","29,450.0","29,500.0","28,950.0","3.03M","0.00%"
"24/04/2024","29,500.0","28,600.0","29,850.0","28,600.0","5.03M","4.42%"
