"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","30,495.9","30,702.5","30,743.8","30,124.0","2.78M","-1.60%"
"27/06/2024","30,991.7","30,454.6","30,991.7","30,000.0","2.76M","1.35%"
"26/06/2024","30,578.5","30,537.2","30,578.5","29,917.4","2.40M","-0.27%"
"25/06/2024","30,661.2","30,165.3","30,661.2","29,917.4","2.23M","1.23%"
"24/06/2024","30,289.3","30,991.7","30,991.7","29,338.8","3.97M","-2.27%"
"21/06/2024","30,991.7","31,115.7","31,157.0","30,495.9","3.00M","-0.13%"
"20/06/2024","31,033.1","30,950.4","31,115.7","30,578.5","2.60M","-0.40%"
"19/06/2024","31,157.0","31,322.3","31,322.3","30,702.5","2.51M","-0.26%"
"18/06/2024","31,239.7","31,198.4","31,694.2","30,826.5","1.91M","0.67%"
"17/06/2024","31,033.1","30,785.1","31,198.4","30,743.8","3.77M","0.13%"
"14/06/2024","30,991.7","31,983.5","32,066.1","30,991.7","4.80M","-2.85%"
"13/06/2024","31,900.8","31,487.6","32,520.7","31,405.0","8.75M","1.71%"
"12/06/2024","31,363.6","30,743.8","31,528.9","30,661.2","5.60M","2.02%"
"11/06/2024","30,743.8","30,826.5","30,909.1","30,289.3","3.09M","-0.27%"
"10/06/2024","30,826.5","30,867.8","31,239.7","30,578.5","3.04M","0.00%"
"07/06/2024","30,826.5","30,330.6","30,991.7","30,124.0","3.74M","2.19%"
"06/06/2024","30,165.3","30,826.5","30,826.5","30,041.3","5.50M","-1.48%"
"05/06/2024","30,619.8","31,281.0","31,281.0","30,619.8","5.59M","-1.20%"
"04/06/2024","30,991.7","31,363.6","31,363.6","30,950.4","3.26M","-1.32%"
"03/06/2024","31,405.0","30,041.3","31,818.2","29,958.7","9.93M","4.97%"
"31/05/2024","29,917.4","29,752.1","29,917.4","29,545.5","3.29M","0.42%"
"30/05/2024","29,793.4","29,256.2","29,793.4","28,966.9","4.08M","0.98%"
"29/05/2024","29,504.1","29,876.0","29,917.4","29,504.1","3.67M","-1.52%"
"28/05/2024","29,958.7","29,710.8","29,958.7","29,504.1","3.34M","1.26%"
"27/05/2024","29,586.8","29,545.5","29,586.8","28,925.6","2.80M","0.56%"
"24/05/2024","29,421.5","30,413.2","30,661.2","28,925.6","7.28M","-3.65%"
"23/05/2024","30,537.2","30,165.3","30,537.2","30,041.3","3.29M","0.96%"
"22/05/2024","30,247.9","30,206.6","30,661.2","30,082.7","5.25M","0.27%"
"21/05/2024","30,165.3","30,330.6","30,454.6","29,958.7","3.63M","-1.08%"
"20/05/2024","30,495.9","30,743.8","30,785.1","30,289.3","3.64M","0.00%"
"17/05/2024","30,495.9","30,413.2","30,495.9","30,206.6","3.81M","0.27%"
"16/05/2024","30,413.2","30,330.6","30,578.5","30,082.7","4.41M","1.10%"
"15/05/2024","30,082.7","29,752.1","30,371.9","29,628.1","5.41M","1.39%"
"14/05/2024","29,669.4","30,082.7","30,082.7","29,628.1","1.17M","-1.10%"
"13/05/2024","30,000.0","29,876.0","30,371.9","29,834.7","5.23M","0.83%"
"10/05/2024","29,752.1","29,710.8","29,876.0","29,338.8","2.60M","0.00%"
"09/05/2024","29,752.1","29,752.1","30,041.3","29,380.2","3.71M","0.00%"
"08/05/2024","29,752.1","29,462.8","29,793.4","29,214.9","2.77M","-0.28%"
"07/05/2024","29,834.7","29,628.1","29,917.4","29,462.8","3.62M","1.12%"
"06/05/2024","29,504.1","29,669.4","29,752.1","29,338.8","3.01M","-0.56%"
"03/05/2024","29,669.4","29,256.2","29,669.4","28,636.4","4.40M","2.57%"
"02/05/2024","28,925.6","28,925.6","28,925.6","28,099.2","1.82M","0.00%"
"26/04/2024","28,925.6","28,099.2","29,297.5","28,057.9","4.50M","1.16%"
"25/04/2024","28,595.0","28,347.1","28,595.0","27,892.6","2.48M","0.14%"
"24/04/2024","28,553.7","27,933.9","28,843.0","27,809.9","3.68M","3.29%"
"23/04/2024","27,644.6","27,686.0","27,851.2","27,272.7","3.38M","0.00%"
"22/04/2024","27,644.6","27,603.3","27,644.6","26,859.5","4.12M","1.36%"
"19/04/2024","27,272.7","28,016.5","28,016.5","26,446.3","5.15M","-2.94%"
"17/04/2024","28,099.2","28,429.8","28,429.8","28,099.2","2.27M","-0.73%"
"16/04/2024","28,305.8","28,016.5","28,347.1","27,272.7","5.91M","1.03%"
"15/04/2024","28,016.5","30,000.0","30,247.9","28,016.5","4.92M","-7.00%"
"12/04/2024","30,124.0","30,041.3","30,206.6","29,876.0","2.72M","0.55%"
"11/04/2024","29,958.7","29,256.2","30,165.3","29,256.2","3.32M","0.69%"
"10/04/2024","29,752.1","29,876.0","30,413.2","29,752.1","3.71M","0.00%"
"09/04/2024","29,752.1","29,628.1","29,834.7","29,214.9","4.15M","0.42%"
"08/04/2024","29,628.1","30,082.7","30,165.3","29,421.5","3.79M","-1.78%"
"05/04/2024","30,165.3","30,578.5","30,909.1","30,124.0","4.94M","-2.28%"
"04/04/2024","30,867.8","30,785.1","31,322.3","30,619.8","3.80M","-1.06%"
"03/04/2024","31,198.4","31,446.3","31,983.5","31,157.0","7.33M","-0.79%"
"02/04/2024","31,446.3","31,322.3","31,446.3","30,909.1","5.12M","0.13%"
"01/04/2024","31,405.0","31,239.7","31,570.3","31,033.1","5.73M","0.53%"
"29/03/2024","31,239.7","31,322.3","31,528.9","30,991.7","3.54M","-0.26%"
"28/03/2024","31,322.3","31,776.9","31,900.8","31,322.3","2.53M","-1.30%"
"27/03/2024","31,735.5","31,900.8","32,024.8","31,446.3","2.70M","-0.52%"
"26/03/2024","31,900.8","30,495.9","32,190.1","30,165.3","6.60M","4.61%"
"25/03/2024","30,495.9","30,661.2","31,487.6","30,330.6","4.25M","-0.54%"
"22/03/2024","30,661.2","30,991.7","31,074.4","30,454.6","4.13M","-0.27%"
"21/03/2024","30,743.8","30,413.2","30,909.1","30,206.6","5.27M","1.78%"
"20/03/2024","30,206.6","30,165.3","30,495.9","29,917.4","4.19M","-0.14%"
"19/03/2024","30,247.9","30,950.4","30,991.7","30,124.0","3.19M","-1.61%"
"18/03/2024","30,743.8","30,826.5","31,363.6","28,595.0","11.03M","0.00%"
"15/03/2024","30,743.8","30,909.1","31,694.2","30,619.8","5.02M","-0.80%"
"14/03/2024","30,991.7","31,074.4","31,363.6","30,826.5","5.54M","-0.27%"
"13/03/2024","31,074.4","30,330.6","31,239.7","30,289.3","8.27M","2.73%"
"12/03/2024","30,247.9","30,082.7","30,578.5","30,041.3","4.64M","0.41%"
"11/03/2024","30,124.0","30,124.0","30,578.5","29,958.7","6.24M","0.00%"
"08/03/2024","30,124.0","30,165.3","30,247.9","29,504.1","7.23M","-0.14%"
"07/03/2024","30,165.3","29,669.4","30,371.9","29,504.1","5.74M","1.53%"
"06/03/2024","29,710.8","29,710.8","29,958.7","29,090.9","5.61M","-0.14%"
"05/03/2024","29,752.1","29,710.8","29,958.7","29,421.5","5.59M","0.14%"
"04/03/2024","29,710.8","29,090.9","30,330.6","29,008.3","10.62M","2.86%"
"01/03/2024","28,884.3","28,843.0","29,090.9","28,512.4","5.64M","0.87%"
"29/02/2024","28,636.4","26,900.8","28,636.4","26,735.5","16.85M","6.94%"
"28/02/2024","26,776.9","27,148.8","27,148.8","26,611.6","2.16M","-0.61%"
"27/02/2024","26,942.2","26,405.0","27,107.4","26,198.4","4.55M","2.68%"
"26/02/2024","26,239.7","26,239.7","26,363.6","25,909.1","2.74M","0.00%"
"23/02/2024","26,239.7","26,942.2","26,942.2","26,157.0","4.66M","-2.01%"
"22/02/2024","26,776.9","26,859.5","27,107.4","26,776.9","2.01M","-1.22%"
"21/02/2024","27,107.4","26,281.0","27,686.0","26,198.4","8.43M","3.47%"
"20/02/2024","26,198.4","25,950.4","26,281.0","25,826.5","2.85M","1.28%"
"19/02/2024","25,867.8","25,950.4","26,033.1","25,578.5","1.92M","-0.32%"
"16/02/2024","25,950.4","25,991.7","26,239.7","25,909.1","1.45M","-0.16%"
"15/02/2024","25,991.7","25,867.8","26,074.4","25,785.1","1.86M","0.80%"
"07/02/2024","25,785.1","25,867.8","25,867.8","25,619.8","1.29M","0.32%"
"06/02/2024","25,702.5","25,495.9","25,785.1","25,454.6","1.11M","0.81%"
"05/02/2024","25,495.9","25,330.6","25,619.8","25,206.6","1.26M","1.15%"
"02/02/2024","25,206.6","25,206.6","25,991.7","25,206.6","2.54M","0.00%"
"01/02/2024","25,206.6","25,371.9","25,537.2","25,124.0","2.15M","-1.29%"
"31/01/2024","25,537.2","25,702.5","25,785.1","25,454.6","1.42M","-0.32%"
"30/01/2024","25,619.8","25,661.2","25,743.8","25,454.6","1.29M","-0.48%"
"29/01/2024","25,743.8","25,826.5","25,826.5","25,619.8","1.18M","0.00%"
"26/01/2024","25,743.8","25,909.1","25,909.1","25,661.2","1.49M","-0.16%"
"25/01/2024","25,785.1","25,537.2","25,785.1","25,371.9","1.79M","0.97%"
