"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","5,550.00","5,620.00","5,650.00","5,310.00","2.58M","-1.77%"
"27/06/2024","5,650.00","5,650.00","5,660.00","5,570.00","2.08M","-0.18%"
"26/06/2024","5,660.00","5,610.00","5,690.00","5,610.00","2.59M","-0.18%"
"25/06/2024","5,670.00","5,670.00","5,720.00","5,580.00","2.46M","0.53%"
"24/06/2024","5,640.00","5,600.00","5,740.00","5,580.00","4.25M","0.00%"
"21/06/2024","5,640.00","5,670.00","5,670.00","5,580.00","2.61M","-0.35%"
"20/06/2024","5,660.00","5,680.00","5,700.00","5,590.00","2.10M","-0.53%"
"19/06/2024","5,690.00","5,720.00","5,720.00","5,640.00","2.00M","-0.18%"
"18/06/2024","5,700.00","5,690.00","5,750.00","5,630.00","2.85M","0.00%"
"17/06/2024","5,700.00","5,750.00","5,750.00","5,610.00","3.38M","-0.87%"
"14/06/2024","5,750.00","5,890.00","5,920.00","5,750.00","2.57M","-2.21%"
"13/06/2024","5,880.00","5,820.00","5,940.00","5,810.00","2.88M","0.34%"
"12/06/2024","5,860.00","5,830.00","5,880.00","5,680.00","3.82M","0.34%"
"11/06/2024","5,840.00","5,890.00","5,890.00","5,730.00","3.84M","-0.85%"
"10/06/2024","5,890.00","5,900.00","5,960.00","5,830.00","3.14M","-0.17%"
"07/06/2024","5,900.00","5,900.00","5,940.00","5,840.00","2.41M","0.00%"
"06/06/2024","5,900.00","5,920.00","5,980.00","5,830.00","3.67M","0.00%"
"05/06/2024","5,900.00","5,920.00","5,950.00","5,840.00","3.20M","-0.34%"
"04/06/2024","5,920.00","5,990.00","5,990.00","5,880.00","2.97M","-1.00%"
"03/06/2024","5,980.00","5,990.00","6,020.00","5,880.00","3.75M","2.05%"
"31/05/2024","5,860.00","6,020.00","6,100.00","5,860.00","4.91M","-2.82%"
"30/05/2024","6,030.00","5,950.00","6,030.00","5,800.00","3.32M","0.00%"
"29/05/2024","6,030.00","5,660.00","6,070.00","5,650.00","10.27M","5.42%"
"28/05/2024","5,720.00","5,680.00","5,750.00","5,630.00","3.15M","0.53%"
"27/05/2024","5,690.00","5,700.00","5,700.00","5,590.00","2.45M","-0.18%"
"24/05/2024","5,700.00","5,690.00","5,790.00","5,500.00","4.15M","-0.87%"
"23/05/2024","5,750.00","5,700.00","5,750.00","5,620.00","3.54M","-0.35%"
"22/05/2024","5,770.00","5,780.00","5,810.00","5,670.00","3.97M","0.35%"
"21/05/2024","5,750.00","5,750.00","5,770.00","5,610.00","3.47M","0.35%"
"20/05/2024","5,730.00","5,660.00","5,800.00","5,620.00","4.02M","1.42%"
"17/05/2024","5,650.00","5,630.00","5,650.00","5,550.00","2.83M","0.18%"
"16/05/2024","5,640.00","5,700.00","5,700.00","5,560.00","3.04M","-0.18%"
"15/05/2024","5,650.00","5,630.00","5,750.00","5,590.00","3.06M","0.53%"
"14/05/2024","5,620.00","5,660.00","5,660.00","5,530.00","2.67M","0.18%"
"13/05/2024","5,610.00","5,520.00","5,690.00","5,500.00","3.81M","2.00%"
"10/05/2024","5,500.00","5,480.00","5,500.00","5,390.00","2.84M","0.36%"
"09/05/2024","5,480.00","5,470.00","5,530.00","5,410.00","2.61M","0.00%"
"08/05/2024","5,480.00","5,470.00","5,480.00","5,390.00","3.13M","-0.54%"
"07/05/2024","5,510.00","5,550.00","5,600.00","5,450.00","2.25M","-0.72%"
"06/05/2024","5,550.00","5,400.00","5,550.00","5,350.00","3.40M","3.16%"
"03/05/2024","5,380.00","5,370.00","5,400.00","5,330.00","2.09M","0.00%"
"02/05/2024","5,380.00","5,400.00","5,460.00","5,280.00","3.17M","-0.19%"
"26/04/2024","5,390.00","5,410.00","5,480.00","5,390.00","3.17M","-2.00%"
"25/04/2024","5,500.00","5,410.00","5,500.00","5,390.00","2.49M","1.66%"
"24/04/2024","5,410.00","5,370.00","5,600.00","5,370.00","4.39M","0.00%"
"23/04/2024","5,410.00","5,430.00","5,430.00","5,290.00","2.51M","-0.73%"
"22/04/2024","5,450.00","5,480.00","5,480.00","5,300.00","3.32M","1.30%"
"19/04/2024","5,380.00","5,470.00","5,470.00","5,100.00","5.13M","-1.65%"
"17/04/2024","5,470.00","5,690.00","5,690.00","5,410.00","2.65M","-2.50%"
"16/04/2024","5,610.00","5,600.00","5,700.00","5,360.00","5.81M","-1.92%"
"15/04/2024","5,720.00","6,120.00","6,180.00","5,720.00","5.63M","-6.99%"
"12/04/2024","6,150.00","6,180.00","6,180.00","6,080.00","3.17M","0.00%"
"11/04/2024","6,150.00","6,100.00","6,150.00","6,030.00","2.22M","0.33%"
"10/04/2024","6,130.00","6,210.00","6,240.00","6,120.00","2.22M","-1.29%"
"09/04/2024","6,210.00","6,140.00","6,210.00","6,070.00","3.48M","1.80%"
"08/04/2024","6,100.00","6,200.00","6,220.00","6,080.00","3.33M","-0.97%"
"05/04/2024","6,160.00","6,210.00","6,240.00","6,130.00","4.55M","-2.22%"
"04/04/2024","6,300.00","6,330.00","6,370.00","6,210.00","5.95M","-1.10%"
"03/04/2024","6,370.00","6,500.00","6,500.00","6,340.00","4.88M","-2.45%"
"02/04/2024","6,530.00","6,510.00","6,530.00","6,430.00","4.27M","-0.15%"
"01/04/2024","6,540.00","6,350.00","6,550.00","6,290.00","7.26M","2.67%"
"29/03/2024","6,370.00","6,450.00","6,450.00","6,310.00","4.38M","-1.70%"
"28/03/2024","6,480.00","6,490.00","6,540.00","6,410.00","3.67M","-0.31%"
"27/03/2024","6,500.00","6,540.00","6,540.00","6,410.00","4.31M","-0.46%"
"26/03/2024","6,530.00","6,540.00","6,540.00","6,400.00","6.33M","0.00%"
"25/03/2024","6,530.00","6,370.00","6,590.00","6,350.00","9.34M","2.35%"
"22/03/2024","6,380.00","6,400.00","6,480.00","6,270.00","5.69M","-0.16%"
"21/03/2024","6,390.00","6,110.00","6,400.00","6,070.00","11.70M","4.75%"
"20/03/2024","6,100.00","6,140.00","6,140.00","6,050.00","3.24M","-0.49%"
"19/03/2024","6,130.00","6,200.00","6,200.00","6,080.00","2.43M","-0.33%"
"18/03/2024","6,150.00","6,150.00","6,290.00","6,000.00","7.27M","0.33%"
"15/03/2024","6,130.00","6,080.00","6,170.00","6,020.00","3.85M","0.82%"
"14/03/2024","6,080.00","6,100.00","6,140.00","6,020.00","2.94M","0.00%"
"13/03/2024","6,080.00","6,030.00","6,080.00","5,990.00","3.85M","0.83%"
"12/03/2024","6,030.00","6,040.00","6,050.00","5,980.00","3.20M","-0.17%"
"11/03/2024","6,040.00","6,100.00","6,130.00","5,990.00","3.79M","-1.31%"
"08/03/2024","6,120.00","6,160.00","6,170.00","6,080.00","3.09M","-0.65%"
"07/03/2024","6,160.00","6,150.00","6,180.00","6,110.00","3.57M","-0.48%"
"06/03/2024","6,190.00","6,190.00","6,220.00","6,110.00","2.92M","-0.32%"
"05/03/2024","6,210.00","6,210.00","6,210.00","6,140.00","2.94M","-0.32%"
"04/03/2024","6,230.00","6,150.00","6,280.00","6,150.00","4.69M","1.47%"
"01/03/2024","6,140.00","6,120.00","6,140.00","6,060.00","3.30M","0.33%"
"29/02/2024","6,120.00","6,130.00","6,150.00","6,060.00","3.30M","0.00%"
"28/02/2024","6,120.00","6,150.00","6,160.00","6,070.00","3.12M","-0.49%"
"27/02/2024","6,150.00","6,100.00","6,150.00","6,050.00","3.73M","0.00%"
"26/02/2024","6,150.00","6,110.00","6,150.00","6,030.00","3.71M","0.65%"
"23/02/2024","6,110.00","6,300.00","6,300.00","6,100.00","4.88M","-3.02%"
"22/02/2024","6,300.00","6,250.00","6,350.00","6,180.00","4.28M","0.80%"
"21/02/2024","6,250.00","6,290.00","6,330.00","6,190.00","4.82M","-1.11%"
"20/02/2024","6,320.00","6,400.00","6,400.00","6,250.00","3.23M","-0.78%"
"19/02/2024","6,370.00","6,300.00","6,380.00","6,210.00","4.95M","1.27%"
"16/02/2024","6,290.00","6,270.00","6,320.00","6,210.00","3.96M","0.48%"
"15/02/2024","6,260.00","6,060.00","6,260.00","6,050.00","5.58M","3.64%"
"07/02/2024","6,040.00","6,000.00","6,040.00","5,960.00","2.84M","0.50%"
"06/02/2024","6,010.00","6,000.00","6,030.00","5,980.00","2.83M","-0.50%"
"05/02/2024","6,040.00","6,040.00","6,080.00","5,990.00","2.92M","-0.17%"
"02/02/2024","6,050.00","5,930.00","6,090.00","5,930.00","3.00M","0.83%"
"01/02/2024","6,000.00","6,050.00","6,050.00","5,970.00","2.94M","0.00%"
"31/01/2024","6,000.00","6,100.00","6,140.00","6,000.00","3.83M","-1.80%"
"30/01/2024","6,110.00","6,140.00","6,160.00","6,000.00","5.13M","-0.49%"
"29/01/2024","6,140.00","6,140.00","6,140.00","6,090.00","2.19M","0.66%"
"26/01/2024","6,100.00","6,150.00","6,170.00","6,100.00","1.90M","-0.81%"
"25/01/2024","6,150.00","6,180.00","6,180.00","6,110.00","1.83M","-0.16%"
"24/01/2024","6,160.00","6,130.00","6,190.00","6,110.00","2.88M","-0.16%"
"23/01/2024","6,170.00","6,240.00","6,240.00","6,110.00","2.43M","-0.48%"
"22/01/2024","6,200.00","6,190.00","6,200.00","6,090.00","3.07M","0.32%"
"19/01/2024","6,180.00","6,190.00","6,190.00","6,110.00","3.73M","0.32%"
"18/01/2024","6,160.00","6,130.00","6,200.00","6,100.00","2.43M","0.00%"
"17/01/2024","6,160.00","6,190.00","6,200.00","6,120.00","2.09M","-0.65%"
"16/01/2024","6,200.00","6,000.00","6,200.00","5,990.00","2.85M","1.97%"
"15/01/2024","6,080.00","6,100.00","6,160.00","6,080.00","2.74M","-0.33%"
"12/01/2024","6,100.00","6,220.00","6,230.00","6,050.00","5.74M","-3.17%"
"11/01/2024","6,300.00","6,300.00","6,320.00","6,250.00","2.59M","0.00%"
"10/01/2024","6,300.00","6,350.00","6,380.00","6,250.00","4.47M","-0.79%"
"09/01/2024","6,350.00","6,410.00","6,430.00","6,340.00","4.27M","-1.09%"
"08/01/2024","6,420.00","6,370.00","6,430.00","6,350.00","4.44M","1.26%"
