"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","40,300.00","40,200.00","40,300.00","40,100.00","21.20K","0.00%"
"27/06/2024","40,300.00","40,300.00","40,300.00","40,100.00","18.60K","-0.25%"
"26/06/2024","40,400.00","40,300.00","40,400.00","40,300.00","21.00K","0.25%"
"25/06/2024","40,300.00","40,200.00","40,300.00","40,200.00","19.81K","0.25%"
"24/06/2024","40,200.00","40,200.00","40,200.00","40,100.00","16.20K","0.00%"
"21/06/2024","40,200.00","40,200.00","40,300.00","40,200.00","16.90K","-0.25%"
"20/06/2024","40,300.00","40,100.00","40,300.00","40,100.00","19.60K","0.00%"
"19/06/2024","40,300.00","40,200.00","40,300.00","40,200.00","19.30K","0.00%"
"18/06/2024","40,300.00","40,200.00","40,300.00","40,100.00","21.30K","0.00%"
"17/06/2024","40,300.00","40,200.00","40,300.00","40,100.00","16.00K","0.00%"
"14/06/2024","40,300.00","40,300.00","40,300.00","40,200.00","15.30K","-0.25%"
"13/06/2024","40,400.00","40,300.00","40,400.00","40,300.00","17.20K","0.25%"
"12/06/2024","40,300.00","40,200.00","40,300.00","40,200.00","17.20K","0.00%"
"11/06/2024","40,300.00","40,200.00","40,500.00","40,200.00","16.80K","0.00%"
"10/06/2024","40,300.00","40,300.00","40,300.00","40,200.00","15.30K","-0.25%"
"07/06/2024","40,400.00","40,400.00","40,400.00","40,300.00","21.80K","0.00%"
"06/06/2024","40,400.00","40,400.00","40,400.00","40,200.00","22.40K","-0.25%"
"05/06/2024","40,500.00","40,400.00","40,600.00","40,400.00","19.50K","0.25%"
"04/06/2024","40,400.00","40,400.00","40,500.00","40,000.00","21.20K","0.25%"
"03/06/2024","40,300.00","40,200.00","40,300.00","40,200.00","17.60K","-0.25%"
"31/05/2024","40,400.00","40,400.00","40,400.00","40,300.00","21.80K","0.25%"
"30/05/2024","40,300.00","40,200.00","40,300.00","40,100.00","24.60K","0.00%"
"29/05/2024","40,300.00","40,400.00","40,400.00","40,200.00","22.60K","0.00%"
"28/05/2024","40,300.00","40,300.00","40,300.00","40,200.00","19.60K","-0.25%"
"27/05/2024","40,400.00","40,400.00","40,400.00","40,200.00","22.70K","0.00%"
"24/05/2024","40,400.00","40,500.00","40,600.00","40,400.00","22.70K","-0.49%"
"23/05/2024","40,600.00","40,400.00","40,600.00","40,300.00","25.70K","0.74%"
"22/05/2024","40,300.00","40,400.00","40,400.00","40,300.00","20.80K","-0.25%"
"21/05/2024","40,400.00","40,200.00","40,400.00","40,200.00","21.20K","0.75%"
"20/05/2024","40,100.00","40,200.00","40,300.00","39,400.00","20.20K","-0.74%"
"17/05/2024","40,400.00","40,400.00","40,400.00","40,300.00","24.20K","0.00%"
"16/05/2024","40,400.00","40,400.00","40,400.00","40,300.00","20.50K","0.00%"
"15/05/2024","40,400.00","40,300.00","40,400.00","40,300.00","20.40K","1.00%"
"14/05/2024","40,000.00","40,200.00","40,500.00","40,000.00","24.10K","-0.50%"
"13/05/2024","40,200.00","40,300.00","40,400.00","40,200.00","20.70K","0.25%"
"10/05/2024","40,100.00","40,200.00","40,400.00","40,100.00","20.60K","-0.50%"
"09/05/2024","40,300.00","40,300.00","40,300.00","40,200.00","19.20K","-0.25%"
