"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","2,740.0","2,820.0","2,850.0","2,740.0","1.34M","-2.84%"
"27/06/2024","2,820.0","2,870.0","2,870.0","2,800.0","817.00K","0.00%"
"26/06/2024","2,820.0","2,810.0","2,940.0","2,800.0","1.16M","0.71%"
"25/06/2024","2,800.0","2,800.0","2,830.0","2,770.0","1.25M","1.45%"
"24/06/2024","2,760.0","2,800.0","2,870.0","2,750.0","2.15M","-0.36%"
"21/06/2024","2,770.0","2,810.0","2,850.0","2,750.0","2.80M","-1.42%"
"20/06/2024","2,810.0","2,890.0","2,920.0","2,810.0","1.39M","-2.43%"
"19/06/2024","2,880.0","2,900.0","2,930.0","2,850.0","1.22M","-0.35%"
"18/06/2024","2,890.0","2,920.0","2,950.0","2,880.0","1.34M","0.00%"
"17/06/2024","2,890.0","2,910.0","2,920.0","2,870.0","1.36M","-0.69%"
"14/06/2024","2,910.0","2,920.0","2,980.0","2,910.0","2.21M","-0.68%"
"13/06/2024","2,930.0","2,980.0","2,990.0","2,930.0","1.29M","-1.68%"
"12/06/2024","2,980.0","2,900.0","2,980.0","2,900.0","1.88M","2.05%"
"11/06/2024","2,920.0","3,020.0","3,020.0","2,900.0","2.16M","-3.31%"
"10/06/2024","3,020.0","3,080.0","3,100.0","2,970.0","4.43M","0.00%"
"07/06/2024","3,020.0","2,830.0","3,020.0","2,830.0","4.57M","6.71%"
"06/06/2024","2,830.0","2,840.0","2,860.0","2,800.0","1.43M","-0.35%"
"05/06/2024","2,840.0","2,820.0","2,870.0","2,820.0","1.20M","1.07%"
"04/06/2024","2,810.0","2,900.0","2,900.0","2,770.0","2.83M","-2.43%"
"03/06/2024","2,880.0","2,910.0","2,920.0","2,860.0","3.18M","-0.69%"
"31/05/2024","2,900.0","2,960.0","2,960.0","2,870.0","2.08M","-2.36%"
"30/05/2024","2,970.0","2,900.0","3,050.0","2,820.0","5.28M","1.02%"
"29/05/2024","2,940.0","2,770.0","2,950.0","2,730.0","6.63M","6.52%"
"28/05/2024","2,760.0","2,790.0","2,790.0","2,720.0","1.30M","0.36%"
"27/05/2024","2,750.0","2,750.0","2,780.0","2,700.0","1.56M","-0.72%"
