"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","3,100.0","3,100.0","3,160.0","3,080.0","38.30K","0.00%"
"27/06/2024","3,100.0","3,100.0","3,130.0","3,050.0","78.80K","-0.96%"
"26/06/2024","3,130.0","3,160.0","3,160.0","3,050.0","26.00K","0.00%"
"25/06/2024","3,130.0","3,100.0","3,200.0","3,090.0","57.70K","0.97%"
"24/06/2024","3,100.0","3,120.0","3,190.0","3,030.0","61.40K","0.00%"
"21/06/2024","3,100.0","3,180.0","3,180.0","3,100.0","50.60K","-2.52%"
"20/06/2024","3,180.0","3,170.0","3,180.0","3,110.0","57.50K","0.32%"
"19/06/2024","3,170.0","3,180.0","3,180.0","3,040.0","48.50K","0.00%"
"18/06/2024","3,170.0","3,240.0","3,240.0","3,160.0","34.90K","0.00%"
"17/06/2024","3,170.0","3,100.0","3,230.0","3,100.0","113.80K","-2.46%"
"14/06/2024","3,250.0","3,240.0","3,290.0","3,230.0","64.60K","0.31%"
"13/06/2024","3,240.0","3,310.0","3,310.0","3,240.0","138.10K","-1.82%"
"12/06/2024","3,300.0","3,230.0","3,310.0","3,230.0","69.00K","0.61%"
"11/06/2024","3,280.0","3,260.0","3,310.0","3,230.0","42.10K","-0.30%"
"10/06/2024","3,290.0","3,250.0","3,330.0","3,250.0","81.50K","1.23%"
"07/06/2024","3,250.0","3,280.0","3,280.0","3,210.0","268.20K","-0.91%"
"06/06/2024","3,280.0","3,400.0","3,400.0","3,250.0","227.50K","-2.67%"
"05/06/2024","3,370.0","3,350.0","3,370.0","3,300.0","112.00K","0.60%"
"04/06/2024","3,350.0","3,380.0","3,380.0","3,270.0","114.10K","-0.89%"
"03/06/2024","3,380.0","3,310.0","3,380.0","3,310.0","100.20K","0.30%"
"31/05/2024","3,370.0","3,390.0","3,390.0","3,300.0","85.60K","-0.30%"
"30/05/2024","3,380.0","3,460.0","3,460.0","3,300.0","116.60K","-2.31%"
"29/05/2024","3,460.0","3,390.0","3,500.0","3,360.0","97.00K","1.76%"
"28/05/2024","3,400.0","3,380.0","3,400.0","3,140.0","202.50K","0.89%"
"27/05/2024","3,370.0","3,340.0","3,390.0","3,200.0","106.70K","0.90%"
"24/05/2024","3,340.0","3,370.0","3,370.0","3,250.0","75.90K","-1.18%"
"23/05/2024","3,380.0","3,350.0","3,380.0","3,330.0","36.40K","0.60%"
"22/05/2024","3,360.0","3,320.0","3,480.0","3,290.0","168.00K","2.13%"
"21/05/2024","3,290.0","3,340.0","3,340.0","3,250.0","62.70K","-0.30%"
"20/05/2024","3,300.0","3,240.0","3,360.0","3,240.0","107.50K","1.85%"
"17/05/2024","3,240.0","3,200.0","3,310.0","3,190.0","56.90K","0.00%"
"16/05/2024","3,240.0","3,250.0","3,280.0","3,220.0","44.00K","0.00%"
"15/05/2024","3,240.0","3,380.0","3,380.0","3,240.0","160.70K","-3.86%"
"14/05/2024","3,370.0","3,420.0","3,420.0","3,320.0","76.70K","-0.30%"
"13/05/2024","3,380.0","3,350.0","3,400.0","3,330.0","184.30K","0.90%"
"10/05/2024","3,350.0","3,360.0","3,390.0","3,300.0","117.10K","-0.59%"
"09/05/2024","3,370.0","3,270.0","3,480.0","3,270.0","171.30K","0.30%"
"08/05/2024","3,360.0","3,590.0","3,600.0","3,160.0","332.10K","-0.88%"
