"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","35,728.0","36,731.0","36,779.0","35,346.0","262.90K","-2.09%"
"27/06/2024","36,492.0","35,824.0","36,683.0","35,824.0","439.00K","1.86%"
"26/06/2024","35,824.0","34,486.0","35,824.0","34,486.0","289.20K","3.02%"
"25/06/2024","34,773.0","34,200.0","34,820.0","34,200.0","150.50K","1.68%"
"24/06/2024","34,200.0","34,582.0","35,346.0","34,008.0","439.80K","-1.38%"
"21/06/2024","34,677.0","34,868.0","34,868.0","34,438.0","149.70K","0.27%"
"20/06/2024","34,582.0","34,964.0","35,107.0","34,391.0","230.50K","-0.82%"
"19/06/2024","34,868.0","34,725.0","35,346.0","34,582.0","207.20K","0.55%"
"18/06/2024","34,677.0","34,582.0","35,155.0","34,391.0","243.00K","1.11%"
"17/06/2024","34,295.0","34,964.0","35,012.0","34,295.0","501.00K","-1.91%"
"14/06/2024","34,964.0","36,301.0","36,301.0","34,964.0","614.80K","-3.68%"
"13/06/2024","36,301.0","37,256.0","37,256.0","35,967.0","444.20K","-1.43%"
"12/06/2024","36,827.0","37,304.0","37,448.0","36,588.0","370.10K","0.65%"
"11/06/2024","36,588.0","34,391.0","36,588.0","34,295.0","1.35M","6.98%"
"10/06/2024","34,200.0","33,961.0","34,391.0","33,961.0","131.50K","0.70%"
"07/06/2024","33,961.0","34,391.0","34,391.0","33,913.0","121.80K","0.14%"
"06/06/2024","33,913.0","33,961.0","34,677.0","33,770.0","160.20K","0.28%"
"05/06/2024","33,817.0","34,008.0","34,868.0","33,817.0","334.70K","-0.56%"
"04/06/2024","34,008.0","34,200.0","34,343.0","34,008.0","158.60K","-0.56%"
"03/06/2024","34,200.0","33,579.0","34,582.0","33,579.0","361.80K","1.85%"
"31/05/2024","33,579.0","33,435.0","33,770.0","33,244.0","71.90K","0.14%"
"30/05/2024","33,531.0","33,005.0","33,626.0","33,005.0","281.20K","0.86%"
"29/05/2024","33,244.0","34,008.0","34,008.0","33,053.0","244.60K","-1.14%"
"28/05/2024","33,626.0","32,910.0","33,626.0","32,767.0","176.60K","3.53%"
"27/05/2024","32,480.0","32,767.0","33,005.0","32,289.0","319.90K","-1.45%"
"24/05/2024","32,958.0","34,295.0","34,582.0","32,384.0","472.40K","-3.90%"
"23/05/2024","34,295.0","33,435.0","34,582.0","33,435.0","278.60K","1.99%"
"22/05/2024","33,626.0","33,388.0","34,056.0","33,388.0","171.10K","0.86%"
"21/05/2024","33,340.0","33,244.0","33,483.0","33,005.0","168.00K","-0.28%"
