"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","24,100.0","24,800.0","24,800.0","24,100.0","100.10K","-1.03%"
"27/06/2024","24,350.0","24,000.0","24,900.0","23,950.0","43.60K","0.83%"
"26/06/2024","24,150.0","24,000.0","24,400.0","23,850.0","37.50K","-1.23%"
"25/06/2024","24,450.0","23,500.0","24,450.0","23,450.0","79.80K","4.04%"
"24/06/2024","23,500.0","23,950.0","24,700.0","23,500.0","39.40K","-1.88%"
"21/06/2024","23,950.0","24,100.0","24,350.0","23,750.0","44.30K","0.00%"
"20/06/2024","23,950.0","23,950.0","24,000.0","23,600.0","35.50K","0.00%"
"19/06/2024","23,950.0","24,150.0","24,150.0","23,550.0","28.20K","0.63%"
"18/06/2024","23,800.0","23,600.0","23,900.0","23,600.0","34.10K","0.85%"
"17/06/2024","23,600.0","23,700.0","24,200.0","23,500.0","66.50K","-0.42%"
"14/06/2024","23,700.0","24,050.0","24,250.0","23,700.0","65.20K","-2.47%"
"13/06/2024","24,300.0","24,100.0","24,500.0","24,000.0","60.90K","0.83%"
"12/06/2024","24,100.0","24,100.0","24,450.0","24,000.0","32.70K","-2.03%"
"11/06/2024","24,600.0","23,900.0","24,600.0","23,900.0","30.40K","0.00%"
"10/06/2024","24,600.0","24,800.0","24,800.0","24,600.0","10.80K","-0.81%"
"07/06/2024","24,800.0","24,500.0","24,850.0","24,500.0","56.30K","0.00%"
"06/06/2024","24,800.0","24,700.0","25,000.0","24,700.0","41.80K","0.40%"
"05/06/2024","24,700.0","24,600.0","24,850.0","24,500.0","38.90K","-0.80%"
"04/06/2024","24,900.0","24,750.0","24,900.0","24,750.0","27.40K","-0.20%"
"03/06/2024","24,950.0","25,350.0","25,350.0","24,600.0","20.70K","1.63%"
"31/05/2024","24,550.0","24,500.0","24,600.0","24,150.0","12.80K","0.00%"
"30/05/2024","24,550.0","24,400.0","24,800.0","23,700.0","67.30K","-1.01%"
"29/05/2024","24,800.0","25,200.0","25,200.0","24,650.0","56.20K","-1.00%"
"28/05/2024","25,050.0","25,050.0","25,600.0","24,100.0","37.10K","0.00%"
"27/05/2024","25,050.0","25,650.0","25,650.0","25,000.0","52.00K","-2.53%"
"24/05/2024","25,700.0","25,800.0","25,800.0","25,150.0","146.70K","-0.77%"
"23/05/2024","25,900.0","25,900.0","26,000.0","25,500.0","63.20K","-0.38%"
"22/05/2024","26,000.0","25,800.0","26,000.0","25,000.0","178.30K","0.58%"
"21/05/2024","25,850.0","25,800.0","25,850.0","25,350.0","76.30K","0.19%"
"20/05/2024","25,800.0","25,050.0","25,800.0","25,000.0","151.70K","2.99%"
"17/05/2024","25,050.0","24,950.0","25,050.0","24,400.0","125.00K","2.24%"
"16/05/2024","24,500.0","24,400.0","24,500.0","24,050.0","110.30K","0.20%"
"15/05/2024","24,450.0","24,450.0","24,450.0","24,100.0","33.80K","-0.61%"
"14/05/2024","24,600.0","23,900.0","24,600.0","23,900.0","37.80K","0.20%"
