"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","11,500.0","12,100.0","12,300.0","11,500.0","713.39K","-4.96%"
"27/06/2024","12,100.0","12,200.0","12,500.0","11,800.0","323.20K","-1.63%"
"26/06/2024","12,300.0","12,000.0","12,800.0","11,900.0","740.68K","2.50%"
"25/06/2024","12,000.0","11,600.0","12,100.0","11,500.0","310.11K","1.69%"
"24/06/2024","11,800.0","12,300.0","12,600.0","11,800.0","1.16M","-4.84%"
"21/06/2024","12,400.0","12,500.0","12,800.0","12,300.0","734.86K","-0.80%"
"20/06/2024","12,500.0","11,400.0","12,500.0","11,400.0","2.68M","9.65%"
"19/06/2024","11,400.0","11,200.0","11,600.0","11,100.0","388.75K","1.79%"
"18/06/2024","11,200.0","11,000.0","11,300.0","11,000.0","172.20K","0.90%"
"17/06/2024","11,100.0","11,100.0","11,200.0","11,000.0","247.84K","0.00%"
"14/06/2024","11,100.0","11,300.0","11,400.0","11,100.0","215.11K","-1.77%"
"13/06/2024","11,300.0","11,300.0","11,500.0","11,200.0","277.91K","0.00%"
"12/06/2024","11,300.0","11,200.0","11,300.0","11,100.0","125.75K","0.00%"
"11/06/2024","11,300.0","11,300.0","11,500.0","11,100.0","206.74K","0.00%"
"10/06/2024","11,300.0","11,300.0","11,600.0","11,300.0","360.02K","0.00%"
"07/06/2024","11,300.0","11,100.0","11,400.0","11,100.0","225.26K","1.80%"
"06/06/2024","11,100.0","11,100.0","11,300.0","11,000.0","333.04K","0.00%"
"05/06/2024","11,100.0","11,200.0","11,200.0","11,000.0","240.95K","0.00%"
"04/06/2024","11,100.0","11,300.0","11,300.0","11,100.0","203.43K","-1.77%"
"03/06/2024","11,300.0","10,800.0","11,400.0","10,700.0","839.11K","4.63%"
"31/05/2024","10,800.0","10,700.0","10,800.0","10,600.0","296.76K","0.93%"
"30/05/2024","10,700.0","10,800.0","10,800.0","10,400.0","220.40K","-0.93%"
"29/05/2024","10,800.0","10,700.0","10,800.0","10,600.0","335.67K","0.93%"
"28/05/2024","10,700.0","10,600.0","10,700.0","10,500.0","245.42K","1.90%"
"27/05/2024","10,500.0","10,400.0","10,600.0","10,300.0","161.20K","0.96%"
"24/05/2024","10,400.0","10,700.0","10,700.0","10,200.0","427.70K","-2.80%"
"23/05/2024","10,700.0","10,800.0","10,900.0","10,600.0","255.99K","0.00%"
"22/05/2024","10,700.0","10,500.0","10,900.0","10,500.0","344.02K","0.00%"
"21/05/2024","10,700.0","10,800.0","10,800.0","10,400.0","314.17K","0.00%"
"20/05/2024","10,700.0","10,800.0","11,100.0","10,700.0","176.06K","-1.83%"
"17/05/2024","10,900.0","10,400.0","10,900.0","10,300.0","474.28K","4.81%"
"16/05/2024","10,400.0","10,300.0","10,400.0","10,200.0","167.03K","1.96%"
"15/05/2024","10,200.0","10,200.0","10,300.0","10,100.0","189.17K","0.00%"
"14/05/2024","10,200.0","10,000.0","10,200.0","10,000.0","136.05K","2.00%"
"13/05/2024","10,000.0","10,100.0","10,100.0","10,000.0","86.58K","-0.99%"
"10/05/2024","10,100.0","10,200.0","10,200.0","9,900.0","216.80K","-0.98%"
"09/05/2024","10,200.0","9,600.0","10,300.0","9,600.0","102.95K","0.00%"
"08/05/2024","10,200.0","10,200.0","10,200.0","10,000.0","180.36K","0.99%"
"07/05/2024","10,100.0","10,300.0","10,300.0","10,100.0","80.65K","-0.98%"
"06/05/2024","10,200.0","10,100.0","10,200.0","9,900.0","268.34K","0.99%"
"03/05/2024","10,100.0","10,100.0","10,200.0","10,000.0","91.31K","0.00%"
"02/05/2024","10,100.0","10,100.0","10,200.0","9,900.0","84.71K","0.00%"
"26/04/2024","10,100.0","9,900.0","10,100.0","9,900.0","57.51K","0.00%"
"25/04/2024","10,100.0","10,200.0","10,200.0","10,000.0","46.95K","-0.98%"
"24/04/2024","10,200.0","9,800.0","10,200.0","9,800.0","189.23K","6.25%"
"23/04/2024","9,600.0","10,000.0","10,100.0","9,100.0","106.48K","-4.95%"
"22/04/2024","10,100.0","10,100.0","10,200.0","9,800.0","138.17K","1.00%"
"19/04/2024","10,000.0","10,200.0","10,200.0","9,800.0","221.44K","-0.99%"
"17/04/2024","10,100.0","10,200.0","10,400.0","10,100.0","123.46K","0.00%"
"16/04/2024","10,100.0","10,000.0","10,400.0","9,800.0","393.10K","-0.98%"
"15/04/2024","10,200.0","11,300.0","11,300.0","10,200.0","418.01K","-9.73%"
"12/04/2024","11,300.0","11,200.0","11,400.0","11,200.0","202.62K","0.89%"
"11/04/2024","11,200.0","11,100.0","11,200.0","10,800.0","263.05K","1.82%"
"10/04/2024","11,000.0","11,400.0","11,400.0","11,000.0","249.01K","-2.65%"
"09/04/2024","11,300.0","11,100.0","11,400.0","11,100.0","267.47K","1.80%"
"08/04/2024","11,100.0","11,600.0","11,700.0","11,100.0","327.74K","-4.31%"
"05/04/2024","11,600.0","11,600.0","11,700.0","11,400.0","385.72K","-0.85%"
"04/04/2024","11,700.0","12,000.0","12,000.0","11,500.0","736.31K","-1.68%"
"03/04/2024","11,900.0","12,100.0","12,200.0","11,900.0","656.81K","-3.25%"
"02/04/2024","12,300.0","12,500.0","12,500.0","12,100.0","1.10M","-3.15%"
"01/04/2024","12,700.0","11,900.0","12,700.0","11,800.0","918.75K","6.72%"
"29/03/2024","11,900.0","11,800.0","12,000.0","11,700.0","292.90K","0.85%"
"28/03/2024","11,800.0","11,900.0","11,900.0","11,800.0","149.11K","0.00%"
"27/03/2024","11,800.0","11,800.0","11,900.0","11,700.0","186.49K","0.00%"
"26/03/2024","11,800.0","11,600.0","11,800.0","11,600.0","260.51K","1.72%"
"25/03/2024","11,600.0","11,900.0","12,000.0","11,500.0","364.16K","-2.52%"
"22/03/2024","11,900.0","12,000.0","12,100.0","11,800.0","341.21K","-0.83%"
"21/03/2024","12,000.0","11,900.0","12,100.0","11,700.0","463.88K","1.69%"
"20/03/2024","11,800.0","11,900.0","11,900.0","11,600.0","187.26K","0.85%"
"19/03/2024","11,700.0","11,700.0","11,700.0","11,500.0","236.56K","0.86%"
"18/03/2024","11,600.0","12,100.0","12,300.0","11,400.0","967.75K","-4.13%"
"15/03/2024","12,100.0","12,200.0","12,400.0","12,100.0","447.73K","-0.82%"
"14/03/2024","12,200.0","11,900.0","12,200.0","11,900.0","1.05M","2.52%"
"13/03/2024","11,900.0","11,500.0","11,900.0","11,500.0","656.03K","3.48%"
"12/03/2024","11,500.0","11,600.0","11,600.0","11,400.0","333.29K","0.00%"
"11/03/2024","11,500.0","11,700.0","11,900.0","11,400.0","432.28K","-1.71%"
"08/03/2024","11,700.0","11,900.0","12,000.0","11,600.0","494.12K","-0.85%"
"07/03/2024","11,800.0","11,600.0","11,900.0","11,500.0","487.08K","1.72%"
"06/03/2024","11,600.0","11,700.0","11,800.0","11,500.0","517.97K","-0.85%"
"05/03/2024","11,700.0","12,000.0","12,000.0","11,700.0","294.11K","-1.68%"
"04/03/2024","11,900.0","11,800.0","12,000.0","11,700.0","389.70K","1.71%"
"01/03/2024","11,700.0","11,700.0","11,800.0","11,600.0","287.67K","0.86%"
"29/02/2024","11,600.0","11,700.0","11,800.0","11,500.0","529.43K","-0.85%"
"28/02/2024","11,700.0","11,600.0","12,000.0","11,500.0","790.20K","1.74%"
"27/02/2024","11,500.0","11,300.0","11,500.0","11,200.0","454.29K","2.68%"
"26/02/2024","11,200.0","11,100.0","11,300.0","11,000.0","446.15K","0.90%"
"23/02/2024","11,100.0","11,500.0","11,500.0","11,100.0","582.81K","-3.48%"
"22/02/2024","11,500.0","11,500.0","11,600.0","11,300.0","424.32K","0.00%"
"21/02/2024","11,500.0","11,400.0","11,600.0","11,300.0","512.02K","0.88%"
"20/02/2024","11,400.0","10,900.0","11,500.0","10,800.0","939.18K","4.59%"
"19/02/2024","10,900.0","10,800.0","11,000.0","10,700.0","381.00K","0.93%"
"16/02/2024","10,800.0","10,700.0","10,900.0","10,700.0","242.50K","0.93%"
"15/02/2024","10,700.0","10,500.0","10,800.0","10,500.0","245.15K","0.94%"
"07/02/2024","10,600.0","10,400.0","10,600.0","10,400.0","129.83K","0.95%"
"06/02/2024","10,500.0","10,600.0","10,600.0","10,200.0","340.37K","-0.94%"
"05/02/2024","10,600.0","10,700.0","10,800.0","10,500.0","209.73K","0.00%"
"02/02/2024","10,600.0","10,500.0","10,900.0","10,500.0","476.86K","0.95%"
"01/02/2024","10,500.0","10,400.0","10,600.0","10,300.0","101.64K","0.96%"
"31/01/2024","10,400.0","10,600.0","10,600.0","10,400.0","234.53K","-1.89%"
"30/01/2024","10,600.0","10,600.0","10,700.0","10,500.0","150.57K","-0.93%"
"29/01/2024","10,700.0","11,000.0","11,200.0","10,700.0","264.86K","0.00%"
"26/01/2024","10,700.0","10,600.0","10,700.0","10,500.0","142.04K","0.94%"
"25/01/2024","10,600.0","10,400.0","10,700.0","10,400.0","126.15K","-0.93%"
"24/01/2024","10,700.0","10,800.0","10,800.0","10,400.0","278.88K","-0.93%"
"23/01/2024","10,800.0","11,100.0","11,100.0","10,600.0","321.80K","-0.92%"
"22/01/2024","10,900.0","10,400.0","11,000.0","10,400.0","664.06K","4.81%"
"19/01/2024","10,400.0","10,000.0","10,600.0","10,000.0","854.86K","4.00%"
"18/01/2024","10,000.0","9,900.0","10,000.0","9,800.0","117.43K","0.00%"
