"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","27,200.0","28,650.0","28,850.0","27,000.0","1.60M","-5.06%"
"27/06/2024","28,650.0","28,550.0","29,500.0","28,200.0","643.50K","-0.17%"
"26/06/2024","28,700.0","30,050.0","30,050.0","27,700.0","1.85M","-3.37%"
"25/06/2024","29,700.0","29,850.0","30,500.0","29,100.0","853.10K","-2.14%"
"24/06/2024","30,350.0","33,350.0","33,400.0","30,350.0","2.32M","-6.90%"
"21/06/2024","32,600.0","31,150.0","32,600.0","31,150.0","1.67M","6.89%"
"20/06/2024","30,500.0","29,600.0","30,500.0","29,050.0","1.49M","3.04%"
"19/06/2024","29,600.0","29,500.0","30,350.0","29,500.0","630.60K","-0.17%"
"18/06/2024","29,650.0","29,350.0","30,700.0","29,200.0","1.17M","2.07%"
"17/06/2024","29,050.0","29,400.0","29,400.0","28,850.0","679.90K","0.17%"
"14/06/2024","29,000.0","30,200.0","30,950.0","29,000.0","1.81M","-1.53%"
"13/06/2024","29,450.0","29,250.0","29,850.0","29,050.0","810.10K","2.08%"
"12/06/2024","28,850.0","28,750.0","29,300.0","28,750.0","679.90K","-1.20%"
"11/06/2024","29,200.0","29,650.0","29,650.0","28,600.0","744.70K","-0.68%"
"10/06/2024","29,400.0","29,000.0","30,100.0","28,100.0","1.50M","1.38%"
"07/06/2024","29,000.0","30,700.0","30,900.0","28,600.0","2.78M","-5.54%"
"06/06/2024","30,700.0","32,300.0","32,300.0","30,500.0","953.90K","-1.60%"
"05/06/2024","31,200.0","29,400.0","31,200.0","28,900.0","1.53M","6.85%"
"04/06/2024","29,200.0","29,550.0","29,950.0","28,900.0","923.60K","0.17%"
"03/06/2024","29,150.0","29,700.0","30,000.0","29,100.0","965.40K","-0.85%"
"31/05/2024","29,400.0","28,950.0","29,400.0","28,300.0","694.20K","1.55%"
"30/05/2024","28,950.0","28,550.0","29,150.0","27,700.0","1.23M","0.52%"
"29/05/2024","28,800.0","28,800.0","30,500.0","28,700.0","1.63M","0.00%"
"28/05/2024","28,800.0","29,600.0","29,750.0","28,450.0","923.70K","-0.35%"
"27/05/2024","28,900.0","28,700.0","29,600.0","28,300.0","910.00K","0.70%"
"24/05/2024","28,700.0","28,200.0","29,600.0","27,600.0","1.87M","0.88%"
"23/05/2024","28,450.0","29,000.0","29,400.0","27,800.0","1.85M","-3.89%"
"22/05/2024","29,600.0","30,100.0","30,100.0","28,500.0","1.21M","3.14%"
"21/05/2024","28,700.0","27,800.0","28,700.0","27,000.0","2.03M","6.89%"
"20/05/2024","26,850.0","26,100.0","26,850.0","25,500.0","2.00M","6.97%"
"17/05/2024","25,100.0","23,900.0","25,100.0","23,300.0","1.55M","6.81%"
"16/05/2024","23,500.0","24,000.0","24,000.0","23,400.0","616.20K","0.00%"
"15/05/2024","23,500.0","22,050.0","23,500.0","21,900.0","1.34M","6.82%"
"14/05/2024","22,000.0","22,200.0","22,300.0","21,700.0","399.60K","0.00%"
"13/05/2024","22,000.0","22,400.0","22,500.0","21,700.0","713.10K","-0.90%"
"10/05/2024","22,200.0","22,200.0","22,200.0","21,350.0","878.40K","0.91%"
"09/05/2024","22,000.0","22,450.0","22,450.0","21,850.0","621.10K","0.92%"
"08/05/2024","21,800.0","20,300.0","21,800.0","19,800.0","1.55M","6.86%"
"07/05/2024","20,400.0","20,250.0","20,750.0","20,150.0","521.70K","1.24%"
"06/05/2024","20,150.0","19,200.0","20,150.0","18,850.0","687.70K","6.90%"
"03/05/2024","18,850.0","18,950.0","19,250.0","18,650.0","617.80K","1.34%"
"02/05/2024","18,600.0","18,950.0","19,000.0","18,350.0","267.00K","-0.80%"
"26/04/2024","18,750.0","19,150.0","19,300.0","18,500.0","442.20K","-2.09%"
"25/04/2024","19,150.0","19,100.0","19,550.0","19,000.0","337.40K","-2.79%"
"24/04/2024","19,700.0","18,550.0","19,750.0","18,550.0","647.80K","6.49%"
"23/04/2024","18,500.0","19,000.0","19,050.0","18,000.0","402.50K","-3.14%"
"22/04/2024","19,100.0","19,600.0","19,600.0","18,450.0","517.80K","3.24%"
"19/04/2024","18,500.0","19,800.0","19,800.0","18,450.0","975.90K","-6.57%"
"17/04/2024","19,800.0","20,350.0","20,950.0","19,800.0","822.60K","-1.98%"
"16/04/2024","20,200.0","20,850.0","21,200.0","20,000.0","1.34M","-6.05%"
"15/04/2024","21,500.0","22,700.0","23,100.0","21,500.0","1.12M","-6.93%"
"12/04/2024","23,100.0","23,450.0","23,500.0","22,900.0","439.00K","0.43%"
"11/04/2024","23,000.0","22,500.0","23,350.0","22,300.0","536.10K","0.00%"
