"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","41,400.0","41,950.0","41,950.0","40,500.0","1.90M","-1.43%"
"27/06/2024","42,000.0","41,000.0","42,000.0","40,850.0","1.63M","0.96%"
"26/06/2024","41,600.0","41,350.0","41,600.0","40,650.0","2.36M","0.00%"
"25/06/2024","41,600.0","40,700.0","41,600.0","40,650.0","2.06M","2.09%"
"24/06/2024","40,750.0","40,850.0","41,550.0","39,800.0","5.57M","-0.37%"
"21/06/2024","40,900.0","41,200.0","41,450.0","40,900.0","2.39M","-0.73%"
"20/06/2024","41,200.0","41,300.0","41,900.0","41,000.0","2.17M","-1.44%"
"19/06/2024","41,800.0","42,300.0","42,300.0","41,150.0","1.81M","0.12%"
"18/06/2024","41,750.0","41,600.0","41,850.0","41,200.0","1.60M","1.83%"
"17/06/2024","41,000.0","42,100.0","42,300.0","41,000.0","3.71M","-2.61%"
"14/06/2024","42,100.0","43,950.0","44,050.0","42,100.0","2.05M","-4.54%"
"13/06/2024","44,100.0","43,500.0","44,350.0","43,500.0","2.43M","1.38%"
"12/06/2024","43,500.0","44,500.0","44,500.0","42,850.0","2.11M","1.16%"
"11/06/2024","43,000.0","43,000.0","43,200.0","42,500.0","1.52M","0.47%"
"10/06/2024","42,800.0","42,800.0","43,200.0","42,300.0","2.28M","0.35%"
"07/06/2024","42,650.0","42,950.0","43,100.0","42,050.0","2.84M","0.35%"
"06/06/2024","42,500.0","44,000.0","44,000.0","42,500.0","3.26M","-3.08%"
"05/06/2024","43,850.0","44,950.0","45,000.0","43,800.0","3.60M","-2.45%"
"04/06/2024","44,950.0","45,200.0","45,200.0","44,500.0","1.91M","-0.11%"
"03/06/2024","45,000.0","44,150.0","45,050.0","44,000.0","4.51M","2.27%"
"31/05/2024","44,000.0","43,200.0","44,400.0","43,200.0","2.65M","0.69%"
"30/05/2024","43,700.0","43,350.0","44,050.0","42,950.0","1.73M","-1.58%"
"29/05/2024","44,400.0","43,900.0","44,600.0","43,500.0","2.84M","1.60%"
