"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","4,600.0","4,800.0","4,800.0","4,600.0","453.15K","-2.13%"
"27/06/2024","4,700.0","4,700.0","4,800.0","4,600.0","266.42K","0.00%"
"26/06/2024","4,700.0","4,700.0","4,800.0","4,600.0","309.07K","0.00%"
"25/06/2024","4,700.0","4,700.0","4,800.0","4,600.0","174.30K","0.00%"
"24/06/2024","4,700.0","4,700.0","4,800.0","4,600.0","560.58K","0.00%"
"21/06/2024","4,700.0","4,700.0","4,800.0","4,700.0","259.50K","0.00%"
"20/06/2024","4,700.0","4,800.0","4,800.0","4,600.0","593.14K","-2.08%"
"19/06/2024","4,800.0","4,900.0","5,000.0","4,800.0","405.40K","-2.04%"
"18/06/2024","4,900.0","4,800.0","5,000.0","4,800.0","765.61K","4.26%"
"17/06/2024","4,700.0","4,800.0","4,900.0","4,700.0","377.05K","0.00%"
"14/06/2024","4,700.0","4,900.0","5,000.0","4,700.0","458.17K","-4.08%"
"13/06/2024","4,900.0","4,700.0","5,000.0","4,700.0","1.10M","4.26%"
"12/06/2024","4,700.0","4,800.0","4,800.0","4,700.0","205.60K","0.00%"
"11/06/2024","4,700.0","4,800.0","4,800.0","4,600.0","455.21K","0.00%"
"10/06/2024","4,700.0","4,700.0","4,800.0","4,700.0","334.12K","0.00%"
"07/06/2024","4,700.0","4,800.0","4,800.0","4,700.0","147.31K","0.00%"
"06/06/2024","4,700.0","4,700.0","4,900.0","4,700.0","315.00K","0.00%"
"05/06/2024","4,700.0","4,800.0","4,900.0","4,700.0","501.50K","-2.08%"
"04/06/2024","4,800.0","4,800.0","4,900.0","4,700.0","432.88K","0.00%"
"03/06/2024","4,800.0","4,800.0","4,900.0","4,700.0","431.47K","0.00%"
"31/05/2024","4,800.0","4,800.0","5,000.0","4,800.0","329.24K","-2.04%"
"30/05/2024","4,900.0","4,800.0","4,900.0","4,700.0","723.44K","2.08%"
"29/05/2024","4,800.0","4,900.0","5,000.0","4,700.0","953.75K","-2.04%"
"28/05/2024","4,900.0","5,000.0","5,000.0","4,800.0","529.71K","0.00%"
"27/05/2024","4,900.0","4,600.0","5,000.0","4,600.0","1.30M","6.52%"
"24/05/2024","4,600.0","4,700.0","4,800.0","4,600.0","584.22K","-2.13%"
"23/05/2024","4,700.0","4,800.0","4,800.0","4,600.0","527.83K","-2.08%"
"22/05/2024","4,800.0","4,600.0","4,800.0","4,500.0","1.06M","4.35%"
"21/05/2024","4,600.0","4,600.0","4,700.0","4,500.0","488.96K","-2.13%"
"20/05/2024","4,700.0","4,500.0","4,700.0","4,500.0","303.30K","2.17%"
"17/05/2024","4,600.0","4,600.0","4,700.0","4,500.0","575.08K","2.22%"
"16/05/2024","4,500.0","4,600.0","4,700.0","4,500.0","448.54K","-2.17%"
"15/05/2024","4,600.0","4,500.0","4,700.0","4,500.0","433.69K","0.00%"
"14/05/2024","4,600.0","4,600.0","4,800.0","4,600.0","119.31K","-2.13%"
"13/05/2024","4,700.0","4,600.0","4,800.0","4,600.0","669.79K","2.17%"
"10/05/2024","4,600.0","4,500.0","4,600.0","4,400.0","201.87K","2.22%"
"09/05/2024","4,500.0","4,500.0","4,700.0","4,500.0","316.45K","-2.17%"
"08/05/2024","4,600.0","4,500.0","4,700.0","4,400.0","503.97K","2.22%"
"07/05/2024","4,500.0","4,600.0","4,600.0","4,500.0","158.52K","0.00%"
"06/05/2024","4,500.0","4,400.0","4,600.0","4,400.0","404.70K","0.00%"
"03/05/2024","4,500.0","4,500.0","4,500.0","4,400.0","169.15K","0.00%"
"02/05/2024","4,500.0","4,400.0","4,500.0","4,400.0","122.48K","2.27%"
"26/04/2024","4,400.0","4,400.0","4,400.0","4,300.0","377.77K","0.00%"
"25/04/2024","4,400.0","4,500.0","4,500.0","4,300.0","147.30K","-2.22%"
"24/04/2024","4,500.0","4,400.0","4,500.0","4,400.0","268.93K","0.00%"
"23/04/2024","4,500.0","4,500.0","4,500.0","4,300.0","237.40K","0.00%"
"22/04/2024","4,500.0","4,300.0","4,500.0","4,300.0","228.22K","2.27%"
"19/04/2024","4,400.0","4,400.0","4,400.0","4,100.0","841.34K","0.00%"
"17/04/2024","4,400.0","4,400.0","4,500.0","4,300.0","379.64K","0.00%"
"16/04/2024","4,400.0","4,600.0","4,600.0","4,200.0","1.62M","-4.35%"
"15/04/2024","4,600.0","5,000.0","5,000.0","4,600.0","624.65K","-8.00%"
"12/04/2024","5,000.0","5,100.0","5,100.0","4,900.0","280.85K","-1.96%"
"11/04/2024","5,100.0","5,000.0","5,100.0","4,900.0","463.99K","0.00%"
"10/04/2024","5,100.0","5,000.0","5,100.0","5,000.0","459.40K","4.08%"
"09/04/2024","4,900.0","4,900.0","5,000.0","4,900.0","327.67K","-2.00%"
"08/04/2024","5,000.0","4,900.0","5,100.0","4,900.0","384.58K","0.00%"
"05/04/2024","5,000.0","5,100.0","5,100.0","5,000.0","361.31K","-3.85%"
"04/04/2024","5,200.0","5,200.0","5,200.0","5,000.0","524.00K","1.96%"
"03/04/2024","5,100.0","5,200.0","5,300.0","5,100.0","394.05K","-3.77%"
"02/04/2024","5,300.0","5,300.0","5,300.0","5,100.0","843.82K","0.00%"
"01/04/2024","5,300.0","5,100.0","5,300.0","5,100.0","570.75K","3.92%"
"29/03/2024","5,100.0","5,300.0","5,300.0","5,100.0","417.24K","-3.77%"
"28/03/2024","5,300.0","5,300.0","5,400.0","5,200.0","724.25K","0.00%"
"27/03/2024","5,300.0","5,200.0","5,300.0","5,100.0","437.44K","1.92%"
"26/03/2024","5,200.0","5,200.0","5,300.0","5,200.0","886.60K","0.00%"
"25/03/2024","5,200.0","5,200.0","5,300.0","5,100.0","391.40K","0.00%"
"22/03/2024","5,200.0","5,200.0","5,300.0","5,100.0","2.65M","0.00%"
"21/03/2024","5,200.0","5,100.0","5,300.0","5,000.0","1.50M","4.00%"
"20/03/2024","5,000.0","5,000.0","5,100.0","5,000.0","132.34K","-1.96%"
"19/03/2024","5,100.0","5,100.0","5,100.0","5,000.0","117.11K","0.00%"
"18/03/2024","5,100.0","5,000.0","5,300.0","5,000.0","1.41M","2.00%"
"15/03/2024","5,000.0","5,000.0","5,200.0","4,900.0","870.83K","0.00%"
"14/03/2024","5,000.0","5,000.0","5,100.0","4,900.0","421.48K","0.00%"
"13/03/2024","5,000.0","4,900.0","5,100.0","4,900.0","927.37K","2.04%"
"12/03/2024","4,900.0","5,000.0","5,100.0","4,900.0","450.52K","-2.00%"
"11/03/2024","5,000.0","5,100.0","5,200.0","5,000.0","586.75K","-1.96%"
"08/03/2024","5,100.0","5,200.0","5,200.0","5,000.0","2.02M","-1.92%"
"07/03/2024","5,200.0","5,100.0","5,200.0","5,100.0","275.50K","0.00%"
"06/03/2024","5,200.0","5,200.0","5,300.0","5,100.0","562.78K","0.00%"
"05/03/2024","5,200.0","5,200.0","5,300.0","5,100.0","401.54K","0.00%"
"04/03/2024","5,200.0","5,300.0","5,400.0","5,200.0","759.18K","-1.89%"
"01/03/2024","5,300.0","5,300.0","5,300.0","5,100.0","500.31K","0.00%"
"29/02/2024","5,300.0","5,300.0","5,300.0","5,100.0","917.18K","1.92%"
"28/02/2024","5,200.0","5,100.0","5,400.0","5,100.0","2.46M","1.96%"
"27/02/2024","5,100.0","4,900.0","5,200.0","4,900.0","620.45K","2.00%"
"26/02/2024","5,000.0","5,100.0","5,100.0","4,900.0","920.87K","-1.96%"
"23/02/2024","5,100.0","5,300.0","5,400.0","5,000.0","1.05M","-3.77%"
"22/02/2024","5,300.0","5,100.0","5,500.0","5,100.0","1.91M","6.00%"
