"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","200,568.19","201,970.77","202,905.81","199,539.63","18.36K","-0.05%"
"27/06/2024","200,661.69","201,035.72","202,905.81","200,568.19","4.01K","-0.42%"
"26/06/2024","201,503.23","201,316.22","201,503.23","200,100.66","6.63K","-0.23%"
"25/06/2024","201,970.77","200,100.66","203,373.33","200,100.66","16.37K","0.70%"
"24/06/2024","200,568.19","205,710.95","205,710.95","200,287.67","23.42K","-2.50%"
"21/06/2024","205,710.95","208,516.11","208,516.11","201,035.72","28.22K","-1.30%"
"20/06/2024","208,422.61","211,321.27","211,321.27","205,804.47","11.58K","-1.15%"
"19/06/2024","210,853.73","210,386.20","210,853.73","206,552.50","11.44K","-0.22%"
"18/06/2024","211,321.27","208,609.61","213,191.36","208,609.61","3.70K","0.89%"
"17/06/2024","209,451.16","210,386.20","213,191.36","208,422.61","21.75K","-0.93%"
"14/06/2024","211,414.77","215,996.52","217,586.09","211,134.25","21.41K","-2.12%"
"13/06/2024","215,996.52","215,061.45","222,541.86","215,061.45","25.61K","0.43%"
"12/06/2024","215,061.45","212,162.80","215,061.45","212,162.80","4.52K","1.72%"
"11/06/2024","211,414.77","217,866.61","217,866.61","211,321.27","6.60K","-2.96%"
"10/06/2024","217,866.61","219,736.70","219,830.22","215,996.52","5.80K","-1.69%"
"07/06/2024","221,606.81","224,411.95","224,411.95","218,801.66","14.61K","-0.34%"
"06/06/2024","222,354.84","218,988.67","224,411.95","218,147.13","22.26K","0.98%"
"05/06/2024","220,204.23","208,516.11","226,282.06","208,516.11","55.33K","5.61%"
"04/06/2024","208,516.11","203,092.83","208,516.11","203,092.83","40.90K","2.29%"
"03/06/2024","203,840.86","201,596.73","204,962.92","201,503.23","13.21K","2.68%"
"31/05/2024","198,511.08","199,913.66","199,913.66","197,763.03","9.10K","0.14%"
"30/05/2024","198,230.56","199,165.61","200,007.16","197,108.50","10.80K","0.00%"
"29/05/2024","198,230.56","200,381.17","200,568.19","198,230.56","7.30K","-0.70%"
"28/05/2024","199,633.14","196,266.95","200,568.19","196,266.95","3.71K","1.57%"
