"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","21,500.0","22,115.6","22,352.4","21,405.3","1.66M","-2.78%"
"27/06/2024","22,115.6","22,068.3","22,281.4","21,736.8","809.20K","-0.21%"
"26/06/2024","22,163.0","22,257.7","22,399.8","21,689.4","1.26M","0.11%"
"25/06/2024","22,139.3","21,831.5","22,234.0","21,500.0","1.68M","2.63%"
"24/06/2024","21,571.0","22,944.4","22,944.4","21,571.0","5.06M","-5.99%"
"21/06/2024","22,944.4","23,725.8","23,725.8","22,920.7","2.60M","-2.02%"
"20/06/2024","23,418.0","23,157.5","23,441.6","22,778.6","2.04M","1.75%"
"19/06/2024","23,015.4","23,299.6","23,631.1","22,707.6","1.74M","-1.02%"
"18/06/2024","23,252.2","22,020.9","23,252.2","22,020.9","6.17M","6.97%"
"17/06/2024","21,736.8","21,760.5","21,760.5","21,286.9","1.57M","0.11%"
"14/06/2024","21,713.1","22,020.9","22,163.0","21,713.1","1.39M","-1.40%"
"13/06/2024","22,020.9","21,902.5","22,399.8","21,902.5","1.02M","0.76%"
"12/06/2024","21,855.2","21,926.2","22,068.3","21,736.8","885.60K","-0.11%"
"11/06/2024","21,878.9","22,163.0","22,257.7","21,784.2","1.04M","-1.28%"
"10/06/2024","22,163.0","21,547.4","22,494.5","21,405.3","2.43M","3.65%"
"07/06/2024","21,381.6","21,665.8","21,665.8","21,263.2","1.52M","0.33%"
"06/06/2024","21,310.6","21,571.0","21,760.5","20,931.7","1.57M","-1.75%"
"05/06/2024","21,689.4","21,547.4","21,878.9","21,405.3","1.71M","0.88%"
"04/06/2024","21,500.0","21,689.4","21,689.4","21,405.3","1.16M","0.22%"
"03/06/2024","21,452.7","21,807.8","22,163.0","21,452.7","1.92M","-0.98%"
"31/05/2024","21,665.8","20,837.0","21,831.5","20,647.6","3.08M","3.98%"
"30/05/2024","20,837.0","20,552.9","20,837.0","20,150.3","2.27M","0.00%"
"29/05/2024","20,837.0","20,837.0","21,239.5","20,623.9","2.27M","0.46%"
"28/05/2024","20,742.3","20,174.0","20,789.7","20,174.0","2.49M","2.82%"
"27/05/2024","20,174.0","19,416.3","20,174.0","19,369.0","1.63M","3.90%"
"24/05/2024","19,416.3","20,316.1","20,600.2","19,226.9","4.16M","-5.86%"
"23/05/2024","20,623.9","20,647.6","20,647.6","20,268.7","1.48M","-0.23%"
"22/05/2024","20,671.3","20,718.6","20,884.4","20,339.8","2.40M","-0.23%"
"21/05/2024","20,718.6","20,647.6","20,955.4","20,363.4","1.65M","-0.46%"
"20/05/2024","20,813.3","20,789.7","21,357.9","20,600.2","2.08M","0.11%"
"17/05/2024","20,789.7","20,363.4","20,789.7","20,292.4","2.52M","2.09%"
"16/05/2024","20,363.4","20,387.1","20,576.6","20,150.3","1.67M","0.00%"
"15/05/2024","20,363.4","20,126.7","20,458.2","19,984.6","2.00M","1.18%"
"14/05/2024","20,126.7","20,837.0","20,908.0","20,126.7","1.74M","-2.30%"
"13/05/2024","20,600.2","20,062.8","20,824.1","20,062.8","2.68M","2.79%"
