"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","21,944.4","22,500.0","22,638.9","21,898.2","3.22M","-2.47%"
"27/06/2024","22,500.0","22,222.2","22,870.4","21,990.7","5.20M","1.25%"
"26/06/2024","22,222.2","22,453.7","22,546.3","22,175.9","2.82M","-0.83%"
"25/06/2024","22,407.4","22,592.6","22,777.8","22,268.5","3.67M","0.00%"
"24/06/2024","22,407.4","22,407.4","23,055.6","22,222.2","8.69M","0.41%"
"21/06/2024","22,314.8","22,638.9","22,638.9","22,222.2","7.52M","-1.43%"
"20/06/2024","22,638.9","22,824.1","22,916.7","22,129.6","8.07M","-0.41%"
"19/06/2024","22,731.5","23,055.6","23,240.7","22,685.2","6.24M","-1.41%"
"18/06/2024","23,055.6","23,333.3","23,425.9","23,055.6","5.59M","-0.40%"
"17/06/2024","23,148.2","23,703.7","23,703.7","23,148.2","7.94M","-2.34%"
"14/06/2024","23,703.7","24,351.9","24,398.2","23,703.7","8.28M","-2.66%"
"13/06/2024","24,351.9","23,981.5","24,768.5","23,935.2","16.99M","1.94%"
"12/06/2024","23,888.9","23,425.9","23,935.2","23,425.9","4.73M","1.78%"
"11/06/2024","23,472.2","23,888.9","23,888.9","23,333.3","5.87M","-0.59%"
"10/06/2024","23,611.1","23,750.0","23,981.5","23,518.5","6.56M","-0.39%"
"07/06/2024","23,703.7","23,888.9","24,027.8","23,657.4","3.92M","-0.58%"
"06/06/2024","23,842.6","24,213.0","24,213.0","23,611.1","6.04M","-0.19%"
"05/06/2024","23,888.9","24,074.1","24,444.4","23,796.3","9.40M","0.00%"
"04/06/2024","23,888.9","24,305.6","24,305.6","23,888.9","4.35M","-0.77%"
"03/06/2024","24,074.1","23,611.1","24,537.0","23,472.2","12.42M","3.17%"
"31/05/2024","23,333.3","23,379.6","23,611.1","23,148.2","4.82M","0.80%"
"30/05/2024","23,148.2","23,240.7","23,379.6","22,824.1","10.47M","-1.57%"
"29/05/2024","23,518.5","23,750.0","23,935.2","23,472.2","7.48M","-0.78%"
"28/05/2024","23,703.7","23,796.3","23,981.5","23,564.8","5.45M","0.59%"
"27/05/2024","23,564.8","24,027.8","24,027.8","23,472.2","7.46M","-1.93%"
"24/05/2024","24,027.8","24,213.0","24,583.3","23,379.6","16.13M","-2.26%"
"23/05/2024","24,583.3","24,398.2","24,675.9","24,027.8","6.05M","0.19%"
"22/05/2024","24,537.0","23,796.3","24,861.1","23,657.4","18.67M","3.92%"
"21/05/2024","23,611.1","23,842.6","23,888.9","23,425.9","8.61M","-1.16%"
"20/05/2024","23,888.9","24,444.4","24,444.4","23,888.9","8.23M","-0.96%"
"17/05/2024","24,120.4","23,981.5","24,259.3","23,703.7","7.84M","0.97%"
"16/05/2024","23,888.9","23,842.6","24,120.4","23,703.7","8.55M","1.18%"
"15/05/2024","23,611.1","23,240.7","23,703.7","23,240.7","6.51M","0.79%"
"14/05/2024","23,425.9","23,611.1","23,703.7","23,194.4","4.62M","-0.78%"
"13/05/2024","23,611.1","23,935.2","23,935.2","23,379.6","5.70M","1.19%"
"10/05/2024","23,333.3","23,148.2","23,703.7","23,009.3","8.96M","3.88%"
"09/05/2024","22,460.8","23,004.6","23,088.2","22,419.0","13.80M","-1.10%"
"08/05/2024","22,711.8","22,586.3","23,088.2","22,293.5","13.50M","-1.63%"
"07/05/2024","23,088.2","23,506.5","23,506.5","22,920.9","9.63M","-1.08%"
"06/05/2024","23,339.2","22,837.3","23,381.0","22,586.3","10.32M","3.53%"
"03/05/2024","22,544.5","22,168.0","22,962.7","22,084.4","14.46M","2.67%"
"02/05/2024","21,958.9","22,335.3","22,419.0","21,666.1","5.60M","-0.76%"
"26/04/2024","22,126.2","22,000.7","22,586.3","21,833.4","8.56M","-0.94%"
"25/04/2024","22,335.3","22,377.2","22,544.5","22,168.0","6.09M","-1.29%"
"24/04/2024","22,628.1","21,707.9","22,628.1","21,498.8","14.20M","6.92%"
"23/04/2024","21,164.2","22,335.3","22,419.0","21,164.2","12.13M","-5.07%"
"22/04/2024","22,293.5","22,377.2","22,544.5","21,917.1","9.04M","1.72%"
"19/04/2024","21,917.1","22,586.3","23,046.4","21,833.4","19.31M","-6.43%"
"17/04/2024","23,422.8","24,426.7","24,468.5","23,422.8","13.50M","-3.95%"
"16/04/2024","24,384.8","24,677.6","24,803.1","23,339.2","21.01M","-2.02%"
"15/04/2024","24,886.8","26,685.3","27,354.5","24,886.8","22.54M","-6.89%"
"12/04/2024","26,727.1","26,643.5","26,978.1","26,518.0","10.91M","1.11%"
"11/04/2024","26,434.3","26,057.9","26,727.1","26,016.1","10.45M","0.00%"
"10/04/2024","26,434.3","26,936.3","27,103.6","26,392.5","9.17M","-1.86%"
"09/04/2024","26,936.3","26,727.1","26,936.3","26,225.2","9.75M","1.10%"
"08/04/2024","26,643.5","26,769.0","27,019.9","26,518.0","8.60M","-1.09%"
"05/04/2024","26,936.3","26,518.0","27,521.8","26,350.7","14.04M","-0.92%"
"04/04/2024","27,187.2","26,852.6","27,814.6","26,183.4","20.48M","0.78%"
"03/04/2024","26,978.1","27,438.2","27,605.5","26,769.0","13.89M","-2.12%"
"02/04/2024","27,563.7","27,438.2","28,023.7","27,103.6","14.30M","0.30%"
"01/04/2024","27,480.0","26,559.8","27,772.8","26,350.7","18.60M","3.14%"
"29/03/2024","26,643.5","26,852.6","26,936.3","26,434.3","10.66M","-0.78%"
"28/03/2024","26,852.6","27,187.2","27,270.9","26,769.0","10.33M","0.00%"
"27/03/2024","26,852.6","26,810.8","27,270.9","26,434.3","14.48M","0.31%"
"26/03/2024","26,769.0","26,350.7","27,019.9","26,016.1","15.51M","1.75%"
"25/03/2024","26,308.9","26,434.3","27,019.9","26,099.7","21.88M","-0.16%"
"22/03/2024","26,350.7","26,183.4","26,350.7","25,806.9","22.46M","2.44%"
"21/03/2024","25,723.3","24,384.8","25,723.3","24,050.2","48.05M","6.96%"
"20/03/2024","24,050.2","24,008.4","24,259.4","23,715.6","11.12M","0.17%"
"19/03/2024","24,008.4","24,677.6","25,012.2","24,008.4","16.87M","-1.37%"
"18/03/2024","24,343.0","23,590.1","24,635.8","22,628.1","32.73M","3.56%"
"15/03/2024","23,506.5","23,506.5","24,175.7","23,422.8","18.90M","0.00%"
"14/03/2024","23,506.5","23,673.8","23,841.1","23,297.4","14.73M","-0.18%"
"13/03/2024","23,548.3","23,046.4","23,548.3","23,004.6","9.91M","2.55%"
"12/03/2024","22,962.7","22,753.6","23,171.9","22,753.6","10.02M","0.18%"
"11/03/2024","22,920.9","23,422.8","23,506.5","22,837.3","13.34M","-2.14%"
"08/03/2024","23,422.8","24,008.4","24,092.1","23,422.8","16.10M","-2.27%"
"07/03/2024","23,966.6","23,632.0","24,008.4","23,548.3","12.07M","1.06%"
"06/03/2024","23,715.6","24,175.7","24,175.7","23,590.1","13.24M","-2.24%"
"05/03/2024","24,259.4","24,552.1","24,594.0","24,050.2","14.48M","-1.19%"
"04/03/2024","24,552.1","24,677.6","25,221.4","24,510.3","20.20M","1.21%"
"01/03/2024","24,259.4","24,468.5","24,468.5","24,133.9","8.70M","0.00%"
"29/02/2024","24,259.4","24,008.4","24,677.6","23,841.1","19.57M","1.05%"
"28/02/2024","24,008.4","24,175.7","24,259.4","23,715.6","10.52M","-0.52%"
"27/02/2024","24,133.9","23,715.6","24,259.4","23,632.0","14.70M","2.12%"
"26/02/2024","23,632.0","23,422.8","23,757.4","23,171.9","9.35M","0.89%"
"23/02/2024","23,422.8","24,343.0","24,426.7","23,339.2","29.59M","-3.78%"
"22/02/2024","24,343.0","24,677.6","24,803.1","24,301.2","10.51M","-1.36%"
"21/02/2024","24,677.6","24,719.5","25,012.2","24,510.3","7.72M","0.00%"
"20/02/2024","24,677.6","24,635.8","25,054.1","24,384.8","9.94M","0.51%"
"19/02/2024","24,552.1","24,928.6","24,928.6","24,343.0","15.13M","-1.18%"
"16/02/2024","24,844.9","24,970.4","25,346.8","24,719.5","11.47M","0.00%"
"15/02/2024","24,844.9","25,221.4","25,263.2","24,677.6","13.77M","-1.16%"
"07/02/2024","25,137.7","25,054.1","25,263.2","24,886.8","9.16M","0.33%"
"06/02/2024","25,054.1","25,012.2","25,388.7","24,844.9","9.80M","0.84%"
"05/02/2024","24,844.9","24,928.6","25,054.1","24,719.5","6.15M","0.68%"
"02/02/2024","24,677.6","23,757.4","25,263.2","23,757.4","39.00M","4.42%"
"01/02/2024","23,632.0","23,422.8","23,757.4","23,381.0","7.21M","0.89%"
"31/01/2024","23,422.8","23,882.9","23,966.6","23,422.8","14.85M","-1.58%"
"30/01/2024","23,799.3","23,590.1","23,799.3","23,171.9","11.76M","0.89%"
"29/01/2024","23,590.1","24,008.4","24,008.4","23,590.1","6.48M","-1.05%"
"26/01/2024","23,841.1","23,213.7","24,008.4","23,213.7","29.26M","2.89%"
