"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","3,880.0","3,950.0","3,950.0","3,800.0","33.90K","0.00%"
"27/06/2024","3,880.0","3,890.0","3,940.0","3,850.0","63.40K","-0.26%"
"26/06/2024","3,890.0","3,990.0","3,990.0","3,850.0","22.80K","0.52%"
"25/06/2024","3,870.0","3,880.0","3,930.0","3,800.0","46.60K","0.00%"
"24/06/2024","3,870.0","3,910.0","3,990.0","3,830.0","89.90K","-1.02%"
"21/06/2024","3,910.0","3,910.0","4,000.0","3,900.0","52.00K","0.00%"
"20/06/2024","3,910.0","3,820.0","3,980.0","3,820.0","62.30K","-0.76%"
"19/06/2024","3,940.0","3,920.0","4,000.0","3,920.0","51.40K","-1.50%"
"18/06/2024","4,000.0","3,900.0","4,050.0","3,900.0","121.70K","2.56%"
"17/06/2024","3,900.0","4,000.0","4,000.0","3,900.0","73.70K","-0.76%"
"14/06/2024","3,930.0","3,930.0","4,130.0","3,880.0","175.20K","0.00%"
"13/06/2024","3,930.0","4,000.0","4,000.0","3,900.0","88.70K","-0.51%"
"12/06/2024","3,950.0","3,820.0","4,040.0","3,820.0","99.90K","1.80%"
"11/06/2024","3,880.0","4,000.0","4,100.0","3,800.0","228.60K","-3.00%"
"10/06/2024","4,000.0","4,200.0","4,220.0","4,000.0","412.80K","-1.96%"
"07/06/2024","4,080.0","3,800.0","4,080.0","3,800.0","556.00K","6.81%"
"06/06/2024","3,820.0","3,820.0","3,820.0","3,790.0","115.60K","0.00%"
"05/06/2024","3,820.0","3,850.0","3,850.0","3,800.0","60.50K","-0.52%"
"04/06/2024","3,840.0","3,800.0","3,860.0","3,770.0","110.20K","0.00%"
"03/06/2024","3,840.0","3,830.0","3,870.0","3,810.0","107.20K","0.52%"
"31/05/2024","3,820.0","3,810.0","3,850.0","3,750.0","56.70K","0.26%"
"30/05/2024","3,810.0","3,790.0","3,840.0","3,730.0","59.00K","0.53%"
"29/05/2024","3,790.0","3,840.0","3,860.0","3,580.0","84.00K","-1.30%"
"28/05/2024","3,840.0","3,840.0","3,850.0","3,770.0","175.20K","0.79%"
"27/05/2024","3,810.0","3,790.0","3,870.0","3,790.0","72.50K","0.00%"
"24/05/2024","3,810.0","3,860.0","3,880.0","3,700.0","212.60K","-1.55%"
"23/05/2024","3,870.0","3,840.0","3,890.0","3,800.0","92.60K","0.78%"
"22/05/2024","3,840.0","3,860.0","3,900.0","3,840.0","74.30K","-0.78%"
"21/05/2024","3,870.0","3,840.0","3,990.0","3,840.0","126.00K","0.52%"
"20/05/2024","3,850.0","3,890.0","3,890.0","3,800.0","169.60K","1.05%"
"17/05/2024","3,810.0","3,850.0","3,880.0","3,700.0","195.30K","-1.04%"
"16/05/2024","3,850.0","3,940.0","3,940.0","3,820.0","120.40K","-1.03%"
"15/05/2024","3,890.0","3,860.0","3,940.0","3,860.0","140.40K","0.00%"
"14/05/2024","3,890.0","3,950.0","3,950.0","3,870.0","83.90K","0.00%"
"13/05/2024","3,890.0","3,980.0","3,980.0","3,870.0","203.10K","0.78%"
"10/05/2024","3,860.0","3,840.0","3,970.0","3,840.0","244.70K","0.52%"
"09/05/2024","3,840.0","3,920.0","3,920.0","3,830.0","92.00K","0.00%"
"08/05/2024","3,840.0","3,830.0","3,880.0","3,800.0","152.10K","0.79%"
"07/05/2024","3,810.0","3,800.0","3,890.0","3,720.0","175.60K","1.87%"
"06/05/2024","3,740.0","3,700.0","3,840.0","3,700.0","142.50K","0.27%"
"03/05/2024","3,730.0","3,630.0","3,870.0","3,630.0","41.00K","0.27%"
"02/05/2024","3,720.0","3,780.0","3,780.0","3,700.0","35.50K","-1.59%"
"26/04/2024","3,780.0","3,790.0","3,800.0","3,740.0","41.70K","0.27%"
"25/04/2024","3,770.0","3,890.0","3,890.0","3,710.0","27.60K","-0.53%"
"24/04/2024","3,790.0","3,700.0","3,800.0","3,680.0","28.80K","2.99%"
"23/04/2024","3,680.0","3,780.0","3,900.0","3,680.0","15.70K","-2.65%"
"22/04/2024","3,780.0","3,700.0","3,810.0","3,700.0","62.50K","4.13%"
"19/04/2024","3,630.0","3,620.0","3,650.0","3,600.0","315.60K","-0.27%"
"17/04/2024","3,640.0","3,700.0","3,800.0","3,600.0","230.90K","1.11%"
"16/04/2024","3,600.0","3,800.0","3,800.0","3,590.0","255.90K","-5.26%"
"15/04/2024","3,800.0","3,970.0","4,010.0","3,800.0","140.70K","-4.52%"
