"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","12,549.0","11,862.7","12,549.0","11,862.7","3.16K","5.79%"
"27/06/2024","11,862.7","11,764.7","11,862.7","11,764.7","5.61K","-6.92%"
"25/06/2024","12,745.1","11,960.8","12,745.1","11,960.8","11.32K","7.44%"
"24/06/2024","11,862.7","12,058.8","12,058.8","11,862.7","3.06K","-9.02%"
"21/06/2024","13,039.2","12,843.1","13,137.3","12,843.1","4.59K","0.76%"
"20/06/2024","12,941.2","12,745.1","12,941.2","12,745.1","2.18K","0.76%"
"19/06/2024","12,843.1","12,451.0","12,843.1","12,451.0","10.20K","0.00%"
"18/06/2024","12,843.1","12,843.1","12,843.1","12,843.1","1.02K","3.97%"
"17/06/2024","12,352.9","13,039.2","13,039.2","12,352.9","1.12K","-5.26%"
"14/06/2024","13,039.2","12,745.1","13,039.2","12,745.1","91.49K","0.76%"
"13/06/2024","12,941.2","12,843.1","12,941.2","12,843.1","2.55K","0.00%"
"12/06/2024","12,941.2","12,745.1","12,941.2","12,745.1","4.40K","0.76%"
"11/06/2024","12,843.1","12,745.1","12,843.1","12,745.1","2.86K","0.00%"
"10/06/2024","12,843.1","11,960.8","12,843.1","11,960.8","10.00K","7.38%"
"07/06/2024","11,960.8","11,862.7","11,960.8","11,862.7","2.75K","0.00%"
"06/06/2024","11,960.8","11,862.7","11,960.8","11,862.7","2.86K","0.83%"
"05/06/2024","11,862.7","11,862.7","11,862.7","11,862.7","17.34K","-1.63%"
"03/06/2024","12,058.8","11,666.7","12,058.8","11,666.7","46.00K","-1.60%"
"29/05/2024","12,254.9","11,568.6","12,254.9","11,372.5","79.25K","-0.79%"
"28/05/2024","12,352.9","12,058.8","12,352.9","12,058.8","5.92K","2.44%"
"24/05/2024","12,058.8","12,058.8","12,058.8","12,058.8","3.16K","-0.81%"
"22/05/2024","12,156.9","12,156.9","12,156.9","12,156.9","0.20K","0.00%"
"21/05/2024","12,156.9","12,156.9","12,156.9","11,960.8","2.45K","0.00%"
"20/05/2024","12,156.9","12,156.9","12,156.9","12,156.9","1.22K","0.00%"
"16/05/2024","12,156.9","12,058.8","12,156.9","12,058.8","2.45K","5.98%"
"15/05/2024","11,470.6","12,254.9","12,254.9","11,470.6","3.68K","-6.40%"
"14/05/2024","12,254.9","12,254.9","12,352.9","12,254.9","2.55K","0.00%"
"13/05/2024","12,254.9","12,254.9","12,254.9","11,764.7","3.26K","4.17%"
"10/05/2024","11,764.7","12,352.9","12,352.9","11,764.7","2.35K","-3.23%"
"09/05/2024","12,156.9","12,156.9","12,156.9","12,156.9","1.84K","-3.13%"
"07/05/2024","12,549.0","12,549.0","12,549.0","12,549.0","1.03K","2.40%"
"06/05/2024","12,254.9","11,862.7","12,745.1","11,862.7","3.57K","-3.10%"
"26/04/2024","12,647.1","12,451.0","12,745.1","11,960.8","12.54K","1.57%"
"24/04/2024","12,451.0","12,254.9","12,451.0","11,764.7","6.73K","1.60%"
"23/04/2024","12,254.9","12,254.9","12,254.9","12,058.8","2.14K","0.00%"
"22/04/2024","12,254.9","12,254.9","12,254.9","12,254.9","1.53K","0.00%"
"19/04/2024","12,254.9","11,764.7","12,254.9","11,764.7","2.14K","0.00%"
"16/04/2024","12,254.9","12,451.0","12,549.0","11,764.7","3.26K","-1.57%"
"15/04/2024","12,451.0","12,451.0","12,451.0","12,451.0","1.53K","0.79%"
"12/04/2024","12,352.9","12,156.9","12,352.9","12,156.9","16.93K","1.61%"
"11/04/2024","12,156.9","11,960.8","12,156.9","11,960.8","8.06K","1.64%"
"10/04/2024","11,960.8","11,764.7","11,960.8","11,764.7","2.15K","0.00%"
"09/04/2024","11,960.8","11,960.8","11,960.8","11,960.8","3.06K","0.00%"
"08/04/2024","11,960.8","11,960.8","12,058.8","11,960.8","5.10K","0.83%"
"05/04/2024","11,862.7","11,960.8","12,058.8","11,862.7","4.18K","0.00%"
"04/04/2024","11,862.7","11,862.7","11,960.8","11,862.7","5.41K","-0.82%"
"03/04/2024","11,960.8","11,764.7","11,960.8","11,764.7","8.06K","1.67%"
"02/04/2024","11,764.7","11,666.7","11,764.7","11,666.7","2.65K","1.69%"
"01/04/2024","11,568.6","11,568.6","11,568.6","11,568.6","0.82K","-0.84%"
"29/03/2024","11,666.7","11,764.7","11,764.7","11,666.7","1.63K","-0.83%"
"28/03/2024","11,764.7","11,764.7","11,764.7","11,764.7","1.53K","0.00%"
"27/03/2024","11,764.7","11,764.7","11,764.7","11,764.7","1.53K","0.00%"
"26/03/2024","11,764.7","11,764.7","11,764.7","11,764.7","1.84K","0.00%"
"25/03/2024","11,764.7","11,862.7","11,862.7","10,882.4","2.68K","-0.83%"
"22/03/2024","11,862.7","11,764.7","11,862.7","11,764.7","2.04K","0.00%"
"21/03/2024","11,862.7","11,666.7","11,862.7","11,666.7","4.18K","1.68%"
"20/03/2024","11,666.7","11,372.5","11,666.7","11,372.5","6.34K","2.59%"
"19/03/2024","11,372.5","11,470.6","11,470.6","11,372.5","2.35K","-0.85%"
"18/03/2024","11,470.6","11,372.5","11,470.6","11,372.5","3.68K","1.74%"
"15/03/2024","11,274.5","11,372.5","11,372.5","11,274.5","9.69K","-0.86%"
"14/03/2024","11,372.5","11,372.5","11,372.5","11,372.5","0.10K","0.00%"
"13/03/2024","11,372.5","11,372.5","11,372.5","11,372.5","1.53K","0.00%"
"12/03/2024","11,372.5","11,078.4","11,372.5","11,078.4","25.30K","2.65%"
"11/03/2024","11,078.4","11,078.4","11,078.4","11,078.4","0.43K","0.00%"
"08/03/2024","11,078.4","11,078.4","11,078.4","10,784.3","3.06K","0.00%"
"07/03/2024","11,078.4","11,176.5","11,274.5","10,784.3","1.54K","-1.74%"
"06/03/2024","11,274.5","11,274.5","11,274.5","11,274.5","0.20K","0.00%"
"05/03/2024","11,274.5","10,980.4","11,274.5","10,588.2","62.12K","2.68%"
"04/03/2024","10,980.4","11,568.6","11,568.6","10,980.4","22.34K","-5.08%"
"01/03/2024","11,568.6","11,470.6","11,666.7","11,470.6","3.16K","1.72%"
"29/02/2024","11,372.5","11,274.5","11,372.5","11,176.5","10.40K","-0.85%"
"28/02/2024","11,470.6","11,274.5","11,470.6","11,274.5","5.51K","-0.85%"
"27/02/2024","11,568.6","11,274.5","11,568.6","11,274.5","10.71K","0.00%"
"26/02/2024","11,568.6","11,568.6","11,666.7","11,470.6","12.75K","0.85%"
"23/02/2024","11,470.6","11,568.6","11,568.6","11,274.5","2.56K","-0.85%"
"22/02/2024","11,568.6","11,568.6","11,666.7","11,274.5","4.60K","0.00%"
"20/02/2024","11,568.6","11,666.7","11,666.7","11,078.4","3.37K","0.00%"
"19/02/2024","11,568.6","11,960.8","12,058.8","11,078.4","8.27K","-3.28%"
"16/02/2024","11,960.8","11,764.7","11,960.8","11,764.7","2.14K","4.27%"
"15/02/2024","11,470.6","12,745.1","12,843.1","11,470.6","41.62K","-10.00%"
"06/02/2024","12,745.1","12,647.1","12,843.1","12,647.1","8.87K","1.56%"
"02/02/2024","12,549.0","12,745.1","12,745.1","12,451.0","3.67K","-2.29%"
"30/01/2024","12,843.1","12,843.1","12,843.1","12,843.1","1.02K","1.55%"
"29/01/2024","12,647.1","12,745.1","12,843.1","12,647.1","3.37K","-0.77%"
"26/01/2024","12,745.1","12,745.1","12,941.2","12,745.1","2.14K","3.17%"
"25/01/2024","12,352.9","13,333.3","13,431.4","12,352.9","2.47K","-8.03%"
"24/01/2024","13,431.4","13,431.4","13,431.4","12,745.1","307.53K","-0.72%"
"23/01/2024","13,529.4","13,137.3","13,627.4","11,960.8","16.01K","2.99%"
"22/01/2024","13,137.3","13,137.3","13,137.3","13,137.3","1.53K","-0.74%"
"19/01/2024","13,235.3","13,137.3","13,529.4","13,137.3","7.14K","0.75%"
"18/01/2024","13,137.3","13,039.2","13,137.3","13,039.2","2.14K","0.75%"
"17/01/2024","13,039.2","13,039.2","13,039.2","13,039.2","2.06K","1.53%"
"16/01/2024","12,843.1","12,451.0","12,843.1","12,451.0","1.61K","-2.24%"
"10/01/2024","13,137.3","13,235.3","13,235.3","13,137.3","2.14K","-1.47%"
"09/01/2024","13,333.3","13,627.4","13,627.4","12,549.0","4.69K","-2.86%"
"05/01/2024","13,725.5","13,529.4","13,725.5","12,451.0","7.34K","0.72%"
"04/01/2024","13,627.4","13,333.3","13,627.4","13,137.3","6.22K","1.46%"
"03/01/2024","13,431.4","13,529.4","13,627.4","12,352.9","8.26K","-1.44%"
"02/01/2024","13,627.4","13,333.3","13,627.4","13,333.3","5.10K","1.46%"
"29/12/2023","13,431.4","13,431.4","13,627.4","12,352.9","151.47K","-0.72%"
"28/12/2023","13,529.4","12,745.1","13,529.4","12,745.1","5.10K","0.73%"
"27/12/2023","13,431.4","13,333.3","13,431.4","13,333.3","4.59K","0.00%"
"26/12/2023","13,431.4","13,235.3","13,431.4","13,137.3","3.06K","0.74%"
"25/12/2023","13,333.3","13,529.4","13,627.4","12,058.8","6.53K","0.74%"
"20/12/2023","13,235.3","13,039.2","13,235.3","13,039.2","2.55K","-2.88%"
"15/12/2023","13,627.4","13,627.4","13,627.4","13,627.4","1.02K","-0.71%"
"14/12/2023","13,725.5","13,725.5","13,725.5","13,725.5","1.56K","0.72%"
"13/12/2023","13,627.4","13,627.4","13,627.4","13,627.4","1.02K","-0.71%"
"12/12/2023","13,725.5","12,451.0","13,725.5","12,254.9","4.08K","1.45%"
"11/12/2023","13,529.4","13,333.3","13,529.4","13,333.3","1.53K","1.47%"
"08/12/2023","13,333.3","13,039.2","13,333.3","13,039.2","3.16K","2.26%"
"07/12/2023","13,039.2","13,039.2","13,039.2","13,039.2","1.53K","-0.75%"
"06/12/2023","13,137.3","13,039.2","13,137.3","13,039.2","3.06K","1.52%"
"05/12/2023","12,941.2","12,941.2","12,941.2","12,941.2","1.53K","-0.75%"
"04/12/2023","13,039.2","12,843.1","13,039.2","12,843.1","5.10K","2.31%"
"01/12/2023","12,745.1","12,745.1","12,745.1","12,745.1","2.04K","1.56%"
"30/11/2023","12,549.0","12,451.0","12,549.0","12,451.0","2.55K","0.79%"
"29/11/2023","12,451.0","11,960.8","12,451.0","11,960.8","3.16K","1.60%"
"28/11/2023","12,254.9","12,254.9","12,254.9","12,254.9","0.51K","-0.79%"
"27/11/2023","12,352.9","12,156.9","12,352.9","12,156.9","1.53K","0.00%"
"23/11/2023","12,352.9","12,254.9","12,352.9","12,254.9","1.02K","0.80%"
"22/11/2023","12,254.9","12,254.9","12,254.9","12,254.9","2.04K","-0.79%"
"21/11/2023","12,352.9","12,352.9","12,352.9","12,352.9","1.12K","-0.79%"
"20/11/2023","12,451.0","12,451.0","12,451.0","12,451.0","1.02K","-0.78%"
"17/11/2023","12,549.0","12,549.0","12,549.0","12,549.0","1.02K","0.00%"
"15/11/2023","12,549.0","12,549.0","12,549.0","12,549.0","1.02K","0.79%"
"14/11/2023","12,451.0","11,960.8","12,451.0","11,960.8","2.04K","0.79%"
"13/11/2023","12,352.9","11,568.6","12,352.9","11,568.6","1.53K","0.00%"
"10/11/2023","12,352.9","12,352.9","12,352.9","12,352.9","1.02K","0.00%"
"09/11/2023","12,352.9","12,352.9","12,352.9","12,352.9","0.51K","0.80%"
"08/11/2023","12,254.9","11,568.6","12,254.9","11,568.6","1.53K","3.31%"
"07/11/2023","11,862.7","11,862.7","11,862.7","11,862.7","1.02K","-1.63%"
"06/11/2023","12,058.8","12,058.8","12,058.8","12,058.8","0.10K","0.00%"
"03/11/2023","12,058.8","12,058.8","12,058.8","12,058.8","1.53K","0.82%"
"02/11/2023","11,960.8","11,568.6","11,960.8","11,568.6","4.59K","1.67%"
"01/11/2023","11,764.7","11,470.6","11,764.7","11,470.6","4.08K","0.84%"
"31/10/2023","11,666.7","11,568.6","11,666.7","11,568.6","2.04K","-0.83%"
"30/10/2023","11,764.7","11,764.7","11,764.7","11,764.7","0.51K","-2.44%"
"27/10/2023","12,058.8","11,568.6","12,058.8","11,568.6","2.04K","0.00%"
"25/10/2023","12,058.8","11,470.6","12,058.8","11,470.6","4.08K","2.50%"
"24/10/2023","11,764.7","11,764.7","11,764.7","11,764.7","1.94K","1.69%"
"23/10/2023","11,568.6","11,568.6","11,568.6","11,568.6","0.51K","-4.84%"
"20/10/2023","12,156.9","11,470.6","12,156.9","11,470.6","2.04K","5.08%"
"19/10/2023","11,568.6","11,568.6","11,568.6","11,568.6","1.94K","2.61%"
"18/10/2023","11,274.5","11,274.5","11,274.5","11,274.5","","0.00%"
"17/10/2023","11,274.5","11,274.5","11,274.5","11,274.5","","0.00%"
