"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","6,880.0","6,970.0","6,990.0","6,780.0","1.16M","-1.29%"
"27/06/2024","6,970.0","6,920.0","6,970.0","6,900.0","886.20K","-0.14%"
"26/06/2024","6,980.0","7,000.0","7,000.0","6,880.0","820.90K","-0.29%"
"25/06/2024","7,000.0","6,980.0","7,000.0","6,910.0","783.80K","0.29%"
"24/06/2024","6,980.0","6,980.0","7,160.0","6,890.0","2.57M","-0.29%"
"21/06/2024","7,000.0","7,030.0","7,030.0","6,930.0","937.50K","0.00%"
"20/06/2024","7,000.0","7,000.0","7,000.0","6,920.0","1.03M","-0.14%"
"19/06/2024","7,010.0","6,950.0","7,050.0","6,900.0","1.45M","0.00%"
"18/06/2024","7,010.0","7,050.0","7,050.0","6,930.0","1.18M","0.14%"
"17/06/2024","7,000.0","7,000.0","7,090.0","6,900.0","1.88M","0.00%"
"14/06/2024","7,000.0","7,190.0","7,200.0","7,000.0","1.63M","-2.64%"
"13/06/2024","7,190.0","7,200.0","7,240.0","7,140.0","1.20M","-0.14%"
"12/06/2024","7,200.0","7,080.0","7,200.0","7,030.0","1.28M","1.55%"
"11/06/2024","7,090.0","7,200.0","7,210.0","7,060.0","1.72M","-0.98%"
"10/06/2024","7,160.0","7,200.0","7,220.0","7,150.0","1.79M","0.28%"
"07/06/2024","7,140.0","7,270.0","7,270.0","7,140.0","2.08M","-0.83%"
"06/06/2024","7,200.0","7,300.0","7,300.0","7,180.0","1.81M","-1.23%"
"05/06/2024","7,290.0","7,310.0","7,370.0","7,230.0","1.95M","0.14%"
"04/06/2024","7,280.0","7,260.0","7,310.0","7,210.0","1.78M","0.00%"
"03/06/2024","7,280.0","7,300.0","7,300.0","7,240.0","2.48M","1.11%"
"31/05/2024","7,200.0","7,350.0","7,400.0","7,200.0","2.27M","-1.37%"
"30/05/2024","7,300.0","7,250.0","7,400.0","7,140.0","2.22M","-0.95%"
"29/05/2024","7,370.0","7,090.0","7,440.0","7,010.0","7.33M","4.84%"
"28/05/2024","7,030.0","7,000.0","7,070.0","6,990.0","1.48M","1.01%"
"27/05/2024","6,960.0","6,960.0","6,960.0","6,900.0","842.70K","0.72%"
"24/05/2024","6,910.0","6,970.0","7,080.0","6,830.0","2.39M","-2.12%"
"23/05/2024","7,060.0","7,050.0","7,090.0","6,910.0","1.81M","-0.42%"
"22/05/2024","7,090.0","7,200.0","7,210.0","7,070.0","2.26M","0.00%"
"21/05/2024","7,090.0","7,000.0","7,090.0","6,950.0","2.55M","1.72%"
"20/05/2024","6,970.0","6,920.0","7,060.0","6,920.0","2.32M","1.01%"
"17/05/2024","6,900.0","6,950.0","6,950.0","6,860.0","1.26M","0.29%"
