"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","18,000.0","18,000.0","18,000.0","18,000.0","2.20K","9.76%"
"27/06/2024","16,400.0","16,200.0","16,400.0","16,200.0","3.50K","-8.89%"
"26/06/2024","18,000.0","18,000.0","18,000.0","18,000.0","10.00K","-9.55%"
"25/06/2024","19,900.0","17,700.0","19,900.0","17,700.0","6.60K","1.53%"
"16/05/2024","19,600.0","19,800.0","19,800.0","17,100.0","1.20K","3.70%"
"15/05/2024","18,900.0","17,900.0","18,900.0","17,900.0","4.30K","-4.55%"
"07/05/2024","19,800.0","19,800.0","19,800.0","19,800.0","0.10K","5.32%"
"16/04/2024","18,800.0","17,100.0","18,800.0","17,100.0","0.30K","9.30%"
"15/04/2024","17,200.0","14,900.0","17,200.0","14,900.0","0.40K","4.24%"
"10/04/2024","16,500.0","15,300.0","16,500.0","15,300.0","0.30K","-2.94%"
"09/04/2024","17,000.0","16,100.0","17,000.0","16,100.0","2.10K","2.41%"
"05/04/2024","16,600.0","16,500.0","16,600.0","16,500.0","6.50K","-9.29%"
"28/02/2024","18,300.0","16,400.0","18,300.0","16,400.0","0.20K","0.55%"
"26/02/2024","18,200.0","16,500.0","18,200.0","16,500.0","0.70K","-0.55%"
"23/02/2024","18,300.0","16,600.0","18,300.0","16,600.0","0.70K","-0.54%"
"22/02/2024","18,400.0","16,500.0","18,400.0","16,500.0","0.20K","0.55%"
"19/02/2024","18,300.0","16,600.0","18,300.0","16,600.0","0.20K","-0.54%"
"23/01/2024","18,400.0","16,100.0","18,400.0","16,100.0","0.40K","6.98%"
"16/01/2024","17,200.0","16,200.0","17,200.0","16,200.0","0.41K","6.17%"
"15/01/2024","16,200.0","16,200.0","16,200.0","16,200.0","0.10K","-9.50%"
"04/01/2024","17,900.0","16,500.0","17,900.0","16,500.0","0.20K","0.56%"
"03/01/2024","17,800.0","16,800.0","17,800.0","16,800.0","0.30K","-2.20%"
"02/01/2024","18,200.0","16,700.0","18,200.0","16,700.0","0.30K","2.25%"
"29/12/2023","17,800.0","17,800.0","17,800.0","17,800.0","0.10K","-0.56%"
"26/12/2023","17,900.0","17,200.0","17,900.0","17,100.0","2.80K","-5.29%"
"22/12/2023","18,900.0","19,900.0","19,900.0","16,700.0","2.30K","2.16%"
"21/12/2023","18,500.0","17,600.0","18,900.0","16,000.0","8.00K","5.11%"
"20/12/2023","17,600.0","19,300.0","19,300.0","17,600.0","2.20K","-9.74%"
"19/12/2023","19,500.0","19,800.0","19,900.0","19,500.0","2.90K","2.09%"
"18/12/2023","19,100.0","19,200.0","19,200.0","19,100.0","0.40K","9.14%"
"15/12/2023","17,500.0","17,400.0","17,500.0","17,400.0","12.00K","-9.33%"
"14/12/2023","19,300.0","19,400.0","19,400.0","19,300.0","1.00K","-9.81%"
"13/12/2023","21,400.0","21,400.0","21,400.0","21,400.0","0.10K","-9.70%"
"12/12/2023","23,700.0","23,700.0","23,700.0","23,700.0","0.10K","-9.89%"
"06/12/2023","26,300.0","26,300.0","26,300.0","26,300.0","0.11K","-9.93%"
"05/12/2023","29,200.0","29,200.0","29,200.0","29,200.0","0.20K","-9.88%"
"12/10/2023","32,400.0","32,400.0","32,400.0","32,400.0","0.11K","-10.00%"
"25/09/2023","36,000.0","36,000.0","36,000.0","36,000.0","0.20K","-10.00%"
"25/08/2023","40,000.0","40,000.0","40,000.0","40,000.0","0.10K","-4.53%"
"18/08/2023","41,900.0","38,500.0","41,900.0","38,500.0","12.41K","8.83%"
"26/07/2023","38,500.0","35,000.0","38,500.0","35,000.0","27.00K","10.00%"
"25/07/2023","35,000.0","32,400.0","35,000.0","32,400.0","0.50K","-2.51%"
"24/07/2023","35,900.0","33,100.0","35,900.0","33,100.0","0.20K","8.46%"
"21/07/2023","33,100.0","33,200.0","33,200.0","33,100.0","0.60K","8.52%"
"20/07/2023","30,500.0","30,000.0","30,500.0","30,000.0","0.30K","9.32%"
"19/07/2023","27,900.0","23,600.0","27,900.0","23,600.0","0.90K","6.49%"
"18/07/2023","26,200.0","21,600.0","26,200.0","21,600.0","0.90K","9.17%"
"17/07/2023","24,000.0","24,000.0","24,000.0","24,000.0","0.10K","9.09%"
"14/07/2023","22,000.0","19,500.0","22,700.0","19,200.0","5.60K","6.28%"
"13/07/2023","20,700.0","20,700.0","20,700.0","20,700.0","0.10K","-10.00%"
"12/07/2023","23,000.0","23,000.0","23,100.0","23,000.0","1.70K","-9.80%"
"11/07/2023","25,500.0","25,500.0","25,500.0","25,500.0","0.20K","-9.89%"
"10/07/2023","28,300.0","23,300.0","28,300.0","23,300.0","0.70K","9.69%"
"07/07/2023","25,800.0","21,200.0","25,800.0","21,200.0","23.50K","9.79%"
"06/07/2023","23,500.0","23,500.0","23,500.0","23,500.0","0.50K","-9.96%"
"05/07/2023","26,100.0","26,100.0","26,100.0","26,100.0","0.20K","-10.00%"
"04/07/2023","29,000.0","29,000.0","29,000.0","29,000.0","0.10K","-9.94%"
"03/07/2023","32,200.0","32,200.0","32,200.0","32,200.0","0.10K","-9.80%"
"19/06/2023","35,700.0","35,700.0","35,700.0","35,700.0","0.10K","-9.85%"
"16/06/2023","39,600.0","39,600.0","39,600.0","39,600.0","0.40K","-10.00%"
"15/06/2023","44,000.0","48,800.0","48,800.0","44,000.0","7.30K","-9.84%"
"14/06/2023","48,800.0","44,200.0","48,800.0","44,200.0","6.40K","9.91%"
"13/06/2023","44,400.0","38,500.0","44,500.0","36,500.0","29.62K","9.63%"
"12/06/2023","40,500.0","36,900.0","40,500.0","36,900.0","6.00K","9.76%"
"09/06/2023","36,900.0","33,800.0","37,100.0","33,800.0","14.10K","9.17%"
"08/06/2023","33,800.0","30,800.0","33,800.0","30,800.0","8.30K","9.74%"
"07/06/2023","30,800.0","25,200.0","30,800.0","25,200.0","5.94K","10.00%"
"14/04/2023","28,000.0","28,000.0","28,000.0","28,000.0","0.10K","0.00%"
"03/03/2023","28,000.0","34,200.0","34,200.0","28,000.0","0.30K","-9.97%"
"01/03/2023","31,100.0","31,100.0","31,100.0","31,100.0","0.10K","9.89%"
"16/01/2023","28,300.0","28,300.0","28,300.0","28,300.0","0.10K","9.69%"
"09/12/2022","25,800.0","25,800.0","25,800.0","25,800.0","0.10K","9.79%"
"07/12/2022","23,500.0","25,800.0","25,800.0","21,500.0","5.50K","-1.26%"
"06/12/2022","23,800.0","24,000.0","24,000.0","19,900.0","0.40K","8.68%"
"05/12/2022","21,900.0","18,800.0","21,900.0","18,800.0","3.30K","5.29%"
"02/12/2022","20,800.0","25,400.0","25,400.0","20,800.0","0.30K","-9.96%"
"01/12/2022","23,100.0","23,100.0","23,100.0","23,100.0","0.10K","-9.77%"
"30/11/2022","25,600.0","25,600.0","25,600.0","25,600.0","0.10K","-9.86%"
"28/11/2022","28,400.0","28,400.0","28,400.0","28,400.0","0.10K","-9.84%"
"01/11/2022","31,500.0","31,500.0","31,500.0","31,500.0","0.10K","9.00%"
"21/10/2022","28,900.0","23,700.0","28,900.0","23,700.0","5.70K","9.89%"
"20/10/2022","26,300.0","23,800.0","26,400.0","23,800.0","7.10K","-0.38%"
"19/10/2022","26,400.0","26,400.0","26,400.0","26,400.0","0.20K","-0.38%"
"13/10/2022","26,500.0","26,500.0","26,500.0","26,500.0","0.10K","-9.86%"
"12/10/2022","29,400.0","29,400.0","29,400.0","29,400.0","0.10K","9.70%"
"11/10/2022","26,800.0","24,300.0","26,800.0","24,300.0","0.20K","-0.74%"
"10/10/2022","27,000.0","27,000.0","27,000.0","27,000.0","0.10K","-10.00%"
"06/10/2022","30,000.0","30,000.0","30,000.0","30,000.0","0.10K","-9.91%"
"05/10/2022","33,300.0","33,300.0","33,300.0","33,300.0","0.10K","-9.76%"
"26/09/2022","36,900.0","36,900.0","36,900.0","36,900.0","0.10K","6.03%"
"23/09/2022","34,800.0","34,800.0","34,800.0","34,800.0","0.10K","9.78%"
"22/09/2022","31,700.0","31,700.0","31,700.0","31,700.0","0.10K","9.69%"
"21/09/2022","28,900.0","28,900.0","28,900.0","28,900.0","0.10K","9.06%"
"20/09/2022","26,500.0","26,500.0","26,500.0","26,500.0","0.10K","-9.86%"
"14/09/2022","29,400.0","29,400.0","29,400.0","29,400.0","0.10K","6.91%"
"13/09/2022","27,500.0","27,500.0","27,500.0","27,500.0","0.10K","8.70%"
"12/09/2022","25,300.0","25,300.0","25,300.0","25,300.0","0.10K","7.20%"
"09/09/2022","23,600.0","23,600.0","23,600.0","23,600.0","1.60K","9.77%"
"08/09/2022","21,500.0","21,500.0","21,500.0","21,500.0","0.10K","9.69%"
"07/09/2022","19,600.0","23,600.0","23,600.0","19,600.0","1.90K","-8.84%"
"06/09/2022","21,500.0","21,500.0","21,500.0","21,500.0","0.30K","9.69%"
"05/09/2022","19,600.0","19,600.0","21,500.0","19,600.0","0.30K","-9.26%"
"31/08/2022","21,600.0","21,600.0","21,600.0","21,600.0","0.40K","-10.00%"
"30/08/2022","24,000.0","24,100.0","24,100.0","24,000.0","0.30K","9.09%"
"29/08/2022","22,000.0","22,000.0","22,000.0","22,000.0","0.10K","9.45%"
"26/08/2022","20,100.0","19,100.0","20,100.0","17,800.0","1.20K","2.03%"
"25/08/2022","19,700.0","19,700.0","19,700.0","19,700.0","0.20K","-8.80%"
"24/08/2022","21,600.0","21,600.0","21,600.0","21,600.0","0.10K","-9.62%"
"16/08/2022","23,900.0","23,900.0","23,900.0","23,900.0","0.10K","7.66%"
