"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","29,150.0","30,000.0","30,300.0","29,100.0","190.00K","-1.19%"
"27/06/2024","29,500.0","30,100.0","30,400.0","29,300.0","165.70K","-2.80%"
"26/06/2024","30,350.0","29,700.0","31,000.0","29,700.0","208.80K","-0.65%"
"25/06/2024","30,550.0","30,550.0","31,000.0","30,550.0","134.00K","-1.29%"
"24/06/2024","30,950.0","31,450.0","32,150.0","30,450.0","474.90K","0.00%"
"21/06/2024","30,950.0","30,600.0","30,950.0","29,700.0","209.50K","3.51%"
"20/06/2024","29,900.0","30,500.0","32,000.0","29,800.0","186.80K","-1.97%"
"19/06/2024","30,500.0","31,500.0","32,000.0","30,100.0","121.20K","-1.45%"
"18/06/2024","30,950.0","30,800.0","31,900.0","30,350.0","211.20K","0.49%"
"17/06/2024","30,800.0","31,000.0","31,000.0","30,100.0","441.80K","6.21%"
"14/06/2024","29,000.0","31,850.0","33,250.0","29,000.0","617.30K","-6.75%"
"13/06/2024","31,100.0","29,950.0","31,100.0","29,900.0","525.10K","6.87%"
"12/06/2024","29,100.0","28,550.0","29,500.0","28,150.0","493.20K","3.19%"
"11/06/2024","28,200.0","29,000.0","29,000.0","27,600.0","81.60K","0.00%"
"10/06/2024","28,200.0","26,400.0","28,200.0","26,400.0","343.60K","6.82%"
"07/06/2024","26,400.0","28,450.0","28,450.0","26,250.0","357.30K","-6.38%"
"06/06/2024","28,200.0","29,000.0","29,050.0","27,200.0","200.40K","3.87%"
"05/06/2024","27,150.0","25,800.0","27,150.0","25,400.0","577.30K","6.89%"
"04/06/2024","25,400.0","26,500.0","26,500.0","25,250.0","195.00K","-2.68%"
"03/06/2024","26,100.0","25,200.0","26,800.0","25,200.0","201.60K","3.57%"
"31/05/2024","25,200.0","24,750.0","26,200.0","24,700.0","503.70K","2.86%"
"30/05/2024","24,500.0","23,750.0","24,750.0","23,750.0","272.10K","3.16%"
"29/05/2024","23,750.0","22,350.0","23,750.0","22,200.0","233.50K","6.98%"
"28/05/2024","22,200.0","21,550.0","22,200.0","21,550.0","22.20K","-0.45%"
"27/05/2024","22,300.0","21,600.0","22,500.0","21,300.0","38.60K","3.72%"
"24/05/2024","21,500.0","22,950.0","22,950.0","21,250.0","61.80K","-4.44%"
"23/05/2024","22,500.0","22,200.0","22,900.0","22,200.0","65.70K","2.27%"
"22/05/2024","22,000.0","21,700.0","22,500.0","20,900.0","88.40K","3.29%"
"21/05/2024","21,300.0","21,200.0","21,400.0","20,800.0","41.20K","0.47%"
"20/05/2024","21,200.0","21,500.0","21,500.0","21,200.0","42.90K","-1.40%"
"17/05/2024","21,500.0","21,500.0","21,600.0","20,800.0","39.30K","0.23%"
"16/05/2024","21,450.0","21,150.0","21,800.0","21,100.0","30.00K","1.66%"
"15/05/2024","21,100.0","21,200.0","21,350.0","21,000.0","13.00K","-0.47%"
"14/05/2024","21,200.0","20,950.0","21,500.0","20,950.0","45.80K","1.19%"
"13/05/2024","20,950.0","20,900.0","20,950.0","20,400.0","13.50K","0.00%"
"10/05/2024","20,950.0","21,100.0","21,100.0","20,600.0","29.90K","-0.24%"
"09/05/2024","21,000.0","21,000.0","21,500.0","20,600.0","26.30K","0.48%"
"08/05/2024","20,900.0","20,550.0","21,850.0","20,000.0","28.50K","1.70%"
"07/05/2024","20,550.0","20,200.0","20,550.0","20,200.0","9.90K","0.00%"
"06/05/2024","20,550.0","20,050.0","20,800.0","20,050.0","16.70K","2.75%"
"03/05/2024","20,000.0","19,850.0","20,200.0","19,850.0","19.90K","1.52%"
"02/05/2024","19,700.0","20,200.0","20,400.0","19,700.0","40.40K","-2.23%"
"26/04/2024","20,150.0","19,600.0","20,350.0","19,600.0","34.80K","0.75%"
"25/04/2024","20,000.0","20,450.0","20,450.0","19,900.0","11.00K","-0.99%"
"24/04/2024","20,200.0","20,050.0","20,400.0","20,000.0","50.80K","0.50%"
"23/04/2024","20,100.0","20,150.0","20,150.0","19,900.0","17.30K","-0.25%"
"22/04/2024","20,150.0","20,150.0","20,650.0","19,600.0","56.70K","0.00%"
"19/04/2024","20,150.0","19,900.0","20,350.0","19,550.0","73.60K","1.26%"
"17/04/2024","19,900.0","19,600.0","20,000.0","19,600.0","10.10K","-0.50%"
"16/04/2024","20,000.0","20,000.0","20,000.0","19,600.0","37.10K","0.00%"
"15/04/2024","20,000.0","20,400.0","21,100.0","20,000.0","68.80K","-4.31%"
"12/04/2024","20,900.0","21,150.0","21,250.0","20,500.0","30.30K","0.00%"
"11/04/2024","20,900.0","20,500.0","20,950.0","20,200.0","36.40K","0.72%"
"10/04/2024","20,750.0","20,000.0","21,450.0","20,000.0","27.40K","3.49%"
"09/04/2024","20,050.0","20,100.0","20,500.0","19,850.0","142.90K","-2.20%"
"08/04/2024","20,500.0","21,300.0","21,350.0","20,500.0","110.30K","-6.61%"
