"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","65,827.77","66,715.34","66,715.34","65,014.17","579.92K","-1.22%"
"27/06/2024","66,641.38","67,233.08","68,638.39","66,567.41","1.24M","-0.88%"
"26/06/2024","67,233.08","66,197.59","67,233.08","64,866.24","392.52K","0.00%"
"25/06/2024","67,233.08","65,901.73","67,233.08","65,901.73","315.68K","1.79%"
"24/06/2024","66,049.66","69,673.88","69,895.78","66,049.66","795.62K","-6.00%"
"21/06/2024","70,265.59","70,117.67","70,635.41","69,525.96","561.93K","0.64%"
"20/06/2024","69,821.81","67,676.87","70,561.45","67,676.87","912.00K","3.74%"
"19/06/2024","67,307.05","67,676.87","67,676.87","66,715.34","182.90K","-0.55%"
"18/06/2024","67,676.87","66,197.59","67,676.87","66,197.59","438.41K","2.35%"
"17/06/2024","66,123.63","67,824.79","67,898.76","65,827.77","729.36K","-2.83%"
"14/06/2024","68,046.68","69,895.78","70,783.34","68,046.68","769.17K","-2.54%"
"13/06/2024","69,821.81","70,635.41","70,635.41","69,156.14","268.07K","-0.74%"
"12/06/2024","70,339.56","69,525.96","70,931.27","69,156.14","369.11K","-0.73%"
"11/06/2024","70,857.30","72,484.51","72,706.40","67,454.98","1.31M","-2.24%"
"10/06/2024","72,484.51","72,632.44","72,632.44","70,339.56","730.28K","1.03%"
"07/06/2024","71,744.88","71,079.20","73,150.19","70,635.41","624.48K","1.46%"
"06/06/2024","70,709.38","72,484.51","72,484.51","70,117.67","413.81K","-0.52%"
"05/06/2024","71,079.20","66,789.30","71,079.20","66,567.41","2.97M","6.90%"
"04/06/2024","66,493.45","66,197.59","67,676.87","66,197.59","332.61K","0.45%"
"03/06/2024","66,197.59","66,049.66","66,567.41","65,679.84","329.70K","-0.22%"
"31/05/2024","66,345.52","66,567.41","66,567.41","65,457.95","142.43K","-0.11%"
"30/05/2024","66,419.48","65,901.73","66,789.30","64,348.49","377.31K","-0.33%"
"29/05/2024","66,641.38","68,268.58","68,268.58","66,641.38","706.35K","-0.99%"
"28/05/2024","67,307.05","66,197.59","67,307.05","65,236.06","561.80K","2.25%"
"27/05/2024","65,827.77","66,419.48","66,419.48","64,422.46","176.16K","-0.22%"
"24/05/2024","65,975.70","67,676.87","68,860.28","65,088.13","565.24K","-2.51%"
"23/05/2024","67,676.87","66,567.41","67,676.87","66,493.45","267.28K","1.10%"
"22/05/2024","66,937.23","66,419.48","67,307.05","66,345.52","463.27K","1.00%"
"21/05/2024","66,271.55","67,676.87","67,676.87","65,975.70","331.42K","-2.50%"
"20/05/2024","67,972.72","66,789.30","69,156.14","66,715.34","436.82K","1.88%"
"17/05/2024","66,715.34","67,233.08","67,454.98","66,271.55","286.19K","-1.10%"
"16/05/2024","67,454.98","64,792.28","67,898.76","64,792.28","833.44K","4.47%"
"15/05/2024","64,570.39","63,978.68","64,792.28","63,978.68","182.64K","1.04%"
"14/05/2024","63,904.68","63,243.60","64,418.86","63,243.60","184.75K","1.05%"
"13/05/2024","63,243.60","63,904.68","65,006.49","63,243.60","145.87K","-1.03%"
"10/05/2024","63,904.68","63,390.51","63,978.14","62,655.97","217.15K","1.40%"
"09/05/2024","63,023.24","63,170.14","64,051.59","63,023.24","186.87K","0.00%"
"08/05/2024","63,023.24","63,904.68","64,051.59","59,864.73","214.91K","-2.05%"
"07/05/2024","64,345.41","64,418.86","64,492.31","63,537.41","242.81K","-0.11%"
