"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","24,324.3","24,362.9","24,556.0","23,552.1","216.78K","-0.32%"
"27/06/2024","24,401.5","24,440.2","24,440.2","24,015.4","34.97K","1.77%"
"26/06/2024","23,976.8","24,131.3","24,980.7","23,976.8","364.93K","-0.48%"
"25/06/2024","24,092.7","23,899.6","24,092.7","23,629.3","59.31K","2.63%"
"24/06/2024","23,474.9","24,208.5","24,247.1","23,359.1","127.95K","-3.18%"
"21/06/2024","24,247.1","24,131.3","24,247.1","23,938.2","36.52K","0.80%"
"20/06/2024","24,054.1","23,745.2","24,054.1","23,745.2","42.99K","0.48%"
"19/06/2024","23,938.2","23,938.2","23,938.2","23,436.3","33.67K","0.98%"
"18/06/2024","23,706.6","23,281.9","23,706.6","23,166.0","124.58K","0.82%"
"17/06/2024","23,513.5","23,474.9","23,706.6","23,320.5","84.95K","-0.81%"
"14/06/2024","23,706.6","23,745.2","23,783.8","23,552.1","98.42K","-0.49%"
"13/06/2024","23,822.4","23,899.6","23,899.6","23,590.7","58.02K","-0.32%"
"12/06/2024","23,899.6","23,552.1","23,938.2","23,552.1","96.35K","0.65%"
"11/06/2024","23,745.2","24,092.7","24,208.5","23,745.2","117.07K","-2.07%"
"10/06/2024","24,247.1","24,169.9","24,401.5","23,899.6","225.59K","0.00%"
"07/06/2024","24,247.1","24,324.3","24,440.2","24,015.4","92.20K","0.64%"
"06/06/2024","24,092.7","24,633.2","24,633.2","24,092.7","192.44K","-0.64%"
"05/06/2024","24,247.1","24,749.0","24,826.3","24,247.1","177.67K","-2.33%"
"04/06/2024","24,826.3","24,749.0","25,019.3","24,324.3","43.25K","-0.31%"
"03/06/2024","24,903.5","24,749.0","24,903.5","24,362.9","491.06K","2.87%"
"31/05/2024","24,208.5","24,980.7","25,019.3","24,208.5","570.32K","-3.39%"
"30/05/2024","25,057.9","25,057.9","25,096.5","23,938.2","445.22K","-0.15%"
"29/05/2024","25,096.5","25,173.7","25,173.7","24,633.2","495.73K","-0.31%"
"28/05/2024","25,173.7","25,289.6","25,444.0","24,633.2","565.66K","-0.46%"
"27/05/2024","25,289.6","25,521.2","25,559.8","24,710.4","343.43K","0.00%"
"24/05/2024","25,289.6","25,405.4","25,752.9","24,710.4","460.76K","-0.46%"
"23/05/2024","25,405.4","25,714.3","25,714.3","24,980.7","360.01K","-1.20%"
"22/05/2024","25,714.3","25,714.3","26,023.2","25,328.2","525.51K","0.00%"
"21/05/2024","25,714.3","25,405.4","25,868.7","25,289.6","724.16K","1.22%"
"20/05/2024","25,405.4","25,251.0","25,405.4","24,903.5","552.71K","0.46%"
"17/05/2024","25,289.6","25,289.6","25,482.6","24,710.4","770.78K","-0.15%"
"16/05/2024","25,328.2","25,096.5","25,366.8","24,903.5","970.47K","-0.15%"
"15/05/2024","25,366.8","25,598.5","25,791.5","24,826.3","286.20K","-0.30%"
"14/05/2024","25,444.0","24,478.8","25,598.5","24,478.8","537.94K","2.97%"
"13/05/2024","24,710.4","25,791.5","25,868.7","24,710.4","397.05K","-4.19%"
"10/05/2024","25,791.5","25,791.5","25,984.6","25,366.8","128.72K","0.60%"
