"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","41,042.00","41,135.00","41,135.00","40,857.00","38.40K","-0.67%"
"27/06/2024","41,320.00","40,857.00","41,598.00","40,857.00","18.40K","-0.89%"
"26/06/2024","41,691.00","40,301.00","42,525.00","40,301.00","5.66K","-0.44%"
"25/06/2024","41,876.00","42,617.00","43,544.00","41,691.00","41.71K","-1.74%"
"24/06/2024","42,617.00","42,617.00","43,451.00","42,247.00","49.74K","1.10%"
"21/06/2024","42,154.00","41,228.00","42,154.00","41,135.00","29.13K","2.48%"
"20/06/2024","41,135.00","41,598.00","41,598.00","40,301.00","22.73K","-0.23%"
"19/06/2024","41,228.00","40,672.00","41,228.00","39,931.00","6.50K","0.00%"
"18/06/2024","41,228.00","41,228.00","41,598.00","40,579.00","1.50K","0.00%"
"17/06/2024","41,228.00","41,135.00","41,320.00","41,135.00","1.40K","0.23%"
"14/06/2024","41,135.00","40,950.00","42,432.00","40,486.00","4.70K","0.45%"
"13/06/2024","40,950.00","42,617.00","42,617.00","40,950.00","12.00K","-4.74%"
"12/06/2024","42,988.00","43,544.00","43,544.00","42,154.00","10.61K","-0.64%"
"11/06/2024","43,266.00","40,672.00","43,358.00","40,672.00","80.83K","6.38%"
"10/06/2024","40,672.00","40,023.00","40,672.00","39,560.00","19.40K","1.62%"
"07/06/2024","40,023.00","39,653.00","40,023.00","39,467.00","18.80K","0.93%"
"06/06/2024","39,653.00","39,653.00","39,745.00","39,467.00","1.61K","0.00%"
"05/06/2024","39,653.00","39,560.00","39,653.00","39,375.00","10.30K","0.24%"
"04/06/2024","39,560.00","39,653.00","39,653.00","39,282.00","5.53K","-0.47%"
"03/06/2024","39,745.00","39,560.00","39,745.00","39,282.00","6.11K","0.47%"
"31/05/2024","39,560.00","39,097.00","39,560.00","39,097.00","2.80K","-0.23%"
"30/05/2024","39,653.00","39,189.00","39,653.00","39,097.00","13.60K","0.71%"
"29/05/2024","39,375.00","39,004.00","39,375.00","39,004.00","19.50K","0.00%"
"28/05/2024","39,375.00","39,282.00","39,560.00","39,282.00","27.20K","0.00%"
"27/05/2024","39,375.00","39,097.00","39,375.00","39,097.00","6.80K","0.00%"
"24/05/2024","39,375.00","39,189.00","39,653.00","39,189.00","15.40K","-0.47%"
"23/05/2024","39,560.00","38,819.00","39,560.00","38,819.00","23.60K","1.18%"
"22/05/2024","39,097.00","39,097.00","39,653.00","38,911.00","16.20K","0.00%"
"21/05/2024","39,097.00","39,189.00","39,560.00","39,097.00","14.20K","-1.40%"
"20/05/2024","39,653.00","39,653.00","40,116.00","39,097.00","10.10K","0.00%"
"17/05/2024","39,653.00","39,375.00","39,745.00","39,375.00","9.41K","0.00%"
