"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","38,750.0","40,400.0","40,500.0","38,350.0","1.39M","-4.08%"
"27/06/2024","40,400.0","39,800.0","40,700.0","39,650.0","986.30K","1.51%"
"26/06/2024","39,800.0","39,950.0","39,950.0","39,050.0","1.20M","-0.13%"
"25/06/2024","39,850.0","40,150.0","40,600.0","39,050.0","1.56M","-0.38%"
"24/06/2024","40,000.0","42,800.0","43,300.0","40,000.0","2.95M","-6.76%"
"21/06/2024","42,900.0","42,450.0","43,250.0","42,200.0","1.98M","1.54%"
"20/06/2024","42,250.0","41,950.0","42,450.0","41,500.0","1.49M","1.08%"
"19/06/2024","41,800.0","41,950.0","42,100.0","41,800.0","1.40M","-0.12%"
"18/06/2024","41,850.0","42,000.0","42,200.0","41,800.0","834.10K","0.12%"
"17/06/2024","41,800.0","42,150.0","42,400.0","41,800.0","1.73M","-0.48%"
"14/06/2024","42,000.0","43,300.0","43,750.0","42,000.0","2.90M","-2.67%"
"13/06/2024","43,150.0","43,300.0","43,300.0","43,000.0","1.42M","0.35%"
"12/06/2024","43,000.0","42,850.0","43,300.0","42,850.0","1.82M","0.70%"
"11/06/2024","42,700.0","42,450.0","42,850.0","42,400.0","1.83M","0.59%"
"10/06/2024","42,450.0","42,200.0","42,850.0","42,150.0","1.37M","0.71%"
"07/06/2024","42,150.0","42,500.0","42,700.0","41,950.0","1.82M","-0.24%"
"06/06/2024","42,250.0","42,850.0","42,950.0","42,000.0","2.10M","-1.29%"
"05/06/2024","42,800.0","43,300.0","43,800.0","42,800.0","2.81M","0.00%"
"04/06/2024","42,800.0","43,000.0","43,500.0","42,700.0","2.09M","0.00%"
"03/06/2024","42,800.0","42,800.0","43,150.0","42,650.0","2.09M","0.71%"
"31/05/2024","42,500.0","43,500.0","43,600.0","42,500.0","2.86M","-2.30%"
"30/05/2024","43,500.0","43,900.0","44,250.0","42,600.0","5.53M","-2.47%"
