"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","40,728.7","40,395.3","40,728.7","40,109.5","13.10K","0.83%"
"27/06/2024","40,395.3","40,871.6","41,157.5","40,395.3","4.80K","-1.17%"
"26/06/2024","40,871.6","40,442.9","40,871.6","40,300.0","12.10K","1.06%"
"25/06/2024","40,442.9","40,395.3","40,490.6","40,395.3","6.70K","0.35%"
"24/06/2024","40,300.0","40,490.6","41,205.1","40,204.7","17.30K","0.24%"
"21/06/2024","40,204.7","40,014.2","40,395.3","40,014.2","6.60K","0.00%"
"20/06/2024","40,204.7","39,728.4","40,395.3","39,633.1","6.20K","0.96%"
"19/06/2024","39,823.7","40,204.7","40,490.6","39,823.7","7.60K","-0.95%"
"18/06/2024","40,204.7","39,585.5","40,585.8","39,585.5","3.30K","1.56%"
"17/06/2024","39,585.5","39,585.5","39,633.1","39,585.5","5.60K","0.00%"
"14/06/2024","39,585.5","40,014.2","40,014.2","39,585.5","5.90K","-1.77%"
"13/06/2024","40,300.0","39,966.6","40,966.9","39,966.6","4.00K","1.20%"
"12/06/2024","39,823.7","39,252.0","39,823.7","39,252.0","59.50K","1.46%"
"11/06/2024","39,252.0","39,204.4","39,252.0","39,061.5","9.90K","0.00%"
"10/06/2024","39,252.0","39,252.0","39,252.0","39,252.0","4.60K","0.00%"
"07/06/2024","39,252.0","39,442.6","39,633.1","39,252.0","7.60K","-0.72%"
"06/06/2024","39,537.8","39,442.6","39,633.1","39,442.6","7.20K","-0.48%"
"05/06/2024","39,728.4","39,061.5","39,728.4","39,061.5","3.10K","1.71%"
"04/06/2024","39,061.5","39,061.5","39,823.7","38,585.1","9.20K","-0.12%"
"03/06/2024","39,109.1","39,061.5","39,109.1","39,061.5","0.30K","0.12%"
"31/05/2024","39,061.5","39,061.5","39,442.6","39,061.5","7.20K","0.00%"
"30/05/2024","39,061.5","39,061.5","39,537.8","39,061.5","4.60K","-1.20%"
"29/05/2024","39,537.8","39,156.8","39,537.8","39,156.8","6.90K","0.97%"
"28/05/2024","39,156.8","39,061.5","39,156.8","39,061.5","12.30K","0.24%"
"27/05/2024","39,061.5","38,966.2","39,537.8","38,966.2","4.10K","0.00%"
"24/05/2024","39,061.5","39,537.8","39,537.8","38,870.9","11.20K","0.24%"
"23/05/2024","38,966.2","38,966.2","38,966.2","38,775.7","9.90K","0.25%"
"22/05/2024","38,870.9","38,966.2","38,966.2","38,870.9","8.00K","0.00%"
"21/05/2024","38,870.9","39,061.5","39,633.1","38,680.4","8.40K","-2.86%"
"20/05/2024","40,014.2","38,870.9","40,014.2","38,775.7","4.70K","1.69%"
"17/05/2024","39,347.3","39,061.5","39,347.3","39,061.5","3.50K","0.73%"
"16/05/2024","39,061.5","39,061.5","39,061.5","39,061.5","1.70K","0.00%"
"15/05/2024","39,061.5","39,061.5","39,061.5","39,061.5","2.60K","0.00%"
"14/05/2024","39,061.5","39,061.5","39,061.5","39,061.5","4.30K","0.00%"
"13/05/2024","39,061.5","38,585.1","39,061.5","38,394.6","2.50K","1.61%"
"10/05/2024","38,442.2","37,918.2","38,442.2","37,632.4","6.80K","0.37%"
"09/05/2024","38,299.3","38,108.8","38,299.3","38,108.8","4.80K","0.50%"
"08/05/2024","38,108.8","37,727.7","38,108.8","37,727.7","7.80K","0.00%"
"07/05/2024","38,108.8","38,156.4","38,394.6","38,108.8","11.30K","0.00%"
"06/05/2024","38,108.8","37,489.5","38,108.8","37,489.5","4.10K","1.78%"
"03/05/2024","37,441.9","37,727.7","37,727.7","37,441.9","3.40K","-0.76%"
"02/05/2024","37,727.7","37,156.0","37,727.7","36,775.0","5.60K","2.72%"
"26/04/2024","36,727.3","36,775.0","37,156.0","36,679.7","25.40K","-1.15%"
"25/04/2024","37,156.0","36,870.2","37,156.0","36,679.7","22.30K","0.00%"
"24/04/2024","37,156.0","37,156.0","37,156.0","37,156.0","10.00K","1.30%"
"23/04/2024","36,679.7","36,679.7","37,156.0","36,679.7","16.20K","-1.28%"
"22/04/2024","37,156.0","36,965.5","37,156.0","36,679.7","8.40K","0.52%"
"19/04/2024","36,965.5","37,441.9","37,441.9","36,298.6","17.60K","-1.27%"
"17/04/2024","37,441.9","37,537.1","37,537.1","37,156.0","8.40K","0.51%"
"16/04/2024","37,251.3","38,251.7","38,251.7","37,251.3","21.10K","-2.49%"
"15/04/2024","38,204.0","38,775.7","38,775.7","38,204.0","9.70K","-1.60%"
"12/04/2024","38,823.3","38,870.9","38,870.9","38,489.8","19.70K","0.00%"
"11/04/2024","38,823.3","38,680.4","39,061.5","38,394.6","13.60K","-0.61%"
"10/04/2024","39,061.5","38,966.2","39,061.5","38,966.2","58.70K","0.12%"
"09/04/2024","39,013.8","39,061.5","39,061.5","38,870.9","2.10K","-0.97%"
"08/04/2024","39,394.9","39,156.8","39,394.9","39,061.5","19.40K","0.73%"
"05/04/2024","39,109.1","39,347.3","39,347.3","39,109.1","3.50K","-2.96%"
"04/04/2024","40,300.0","39,823.7","40,300.0","39,823.7","0.50K","1.93%"
"03/04/2024","39,537.8","39,823.7","39,823.7","39,537.8","0.60K","-0.72%"
"02/04/2024","39,823.7","39,347.3","39,823.7","39,252.0","0.80K","-0.48%"
"01/04/2024","40,014.2","39,252.0","40,014.2","39,252.0","8.70K","1.94%"
"29/03/2024","39,252.0","39,442.6","39,633.1","39,252.0","3.80K","0.00%"
"28/03/2024","39,252.0","40,204.7","40,204.7","39,252.0","6.10K","0.00%"
"27/03/2024","39,252.0","39,252.0","39,728.4","39,156.8","9.40K","0.24%"
"26/03/2024","39,156.8","39,918.9","39,918.9","39,061.5","8.30K","-1.67%"
"25/03/2024","39,823.7","39,728.4","39,918.9","39,061.5","9.40K","1.95%"
"22/03/2024","39,061.5","39,537.8","39,537.8","39,061.5","4.60K","-2.38%"
"21/03/2024","40,014.2","40,014.2","40,014.2","39,061.5","2.20K","2.69%"
"20/03/2024","38,966.2","38,680.4","38,966.2","38,680.4","20.00K","0.74%"
"19/03/2024","38,680.4","39,442.6","39,442.6","38,680.4","2.30K","-2.17%"
"18/03/2024","39,537.8","39,061.5","39,537.8","38,680.4","27.30K","0.00%"
"15/03/2024","39,537.8","40,014.2","40,014.2","39,061.5","11.40K","0.48%"
"14/03/2024","39,347.3","39,061.5","39,442.6","39,061.5","12.70K","0.73%"
"13/03/2024","39,061.5","38,394.6","40,490.6","38,394.6","7.40K","0.00%"
"12/03/2024","39,061.5","37,537.1","39,537.8","37,537.1","6.10K","2.24%"
"11/03/2024","38,204.0","39,061.5","39,061.5","38,108.8","2.30K","-2.20%"
"08/03/2024","39,061.5","39,347.3","39,347.3","38,108.8","8.60K","-0.85%"
"07/03/2024","39,394.9","39,156.8","39,394.9","38,299.3","9.50K","-0.36%"
"06/03/2024","39,537.8","39,156.8","39,537.8","39,156.8","1.80K","0.73%"
"05/03/2024","39,252.0","38,632.8","39,252.0","37,156.0","5.40K","1.60%"
"04/03/2024","38,632.8","39,252.0","39,252.0","38,108.8","11.40K","-1.58%"
"01/03/2024","39,252.0","39,061.5","39,252.0","39,061.5","1.90K","0.00%"
"29/02/2024","39,252.0","39,537.8","39,633.1","39,252.0","5.90K","-0.72%"
"28/02/2024","39,537.8","39,061.5","39,633.1","38,585.1","2.20K","0.00%"
"27/02/2024","39,537.8","39,061.5","39,537.8","39,061.5","2.00K","1.22%"
"26/02/2024","39,061.5","38,870.9","39,061.5","38,870.9","2.60K","0.24%"
"23/02/2024","38,966.2","39,061.5","39,156.8","38,966.2","4.00K","-0.24%"
"22/02/2024","39,061.5","38,870.9","39,061.5","38,870.9","2.50K","0.24%"
"21/02/2024","38,966.2","38,870.9","38,966.2","38,394.6","4.40K","0.25%"
"20/02/2024","38,870.9","39,537.8","39,537.8","38,585.1","7.50K","-1.69%"
"19/02/2024","39,537.8","38,775.7","39,633.1","38,775.7","2.30K","1.97%"
"16/02/2024","38,775.7","38,775.7","38,775.7","38,775.7","0.10K","0.00%"
"15/02/2024","38,775.7","39,442.6","39,442.6","38,775.7","1.40K","0.00%"
"07/02/2024","38,775.7","38,108.8","38,775.7","38,108.8","3.30K","2.52%"
"06/02/2024","37,822.9","37,822.9","37,822.9","37,822.9","0.20K","0.00%"
"05/02/2024","37,822.9","38,108.8","38,299.3","37,822.9","4.10K","0.00%"
"02/02/2024","37,822.9","38,870.9","38,870.9","37,537.1","7.90K","-1.98%"
"01/02/2024","38,585.1","37,156.0","38,585.1","37,156.0","14.60K","3.85%"
"31/01/2024","37,156.0","37,156.0","37,537.1","36,965.5","6.50K","0.00%"
"30/01/2024","37,156.0","37,156.0","37,156.0","37,060.8","11.00K","0.00%"
"29/01/2024","37,156.0","36,870.2","37,156.0","36,727.3","12.50K","0.00%"
"26/01/2024","37,156.0","37,203.7","37,203.7","37,156.0","4.00K","0.00%"
"25/01/2024","37,156.0","37,156.0","37,156.0","37,060.8","5.80K","0.00%"
"24/01/2024","37,156.0","37,156.0","37,156.0","36,965.5","25.80K","0.00%"
"23/01/2024","37,156.0","37,251.3","37,251.3","37,156.0","6.30K","0.00%"
"22/01/2024","37,156.0","37,251.3","37,251.3","37,156.0","10.60K","0.00%"
"19/01/2024","37,156.0","37,203.7","37,251.3","37,156.0","19.90K","0.00%"
"18/01/2024","37,156.0","37,156.0","37,822.9","37,108.4","12.60K","0.00%"
"17/01/2024","37,156.0","36,679.7","37,632.4","36,679.7","32.50K","2.63%"
"16/01/2024","36,203.3","36,155.7","36,203.3","36,060.4","5.30K","0.26%"
"15/01/2024","36,108.1","36,441.5","36,441.5","36,060.4","6.00K","0.13%"
"12/01/2024","36,060.4","36,251.0","36,393.9","36,060.4","7.00K","-1.17%"
"11/01/2024","36,489.1","36,393.9","36,489.1","36,203.3","7.40K","-0.13%"
