"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","15,586.4","16,078.6","16,078.6","15,258.3","17.05M","-2.31%"
"27/06/2024","15,955.6","15,955.6","16,160.6","15,750.5","8.15M","-0.26%"
"26/06/2024","15,996.6","16,283.7","16,365.7","15,791.5","9.32M","-1.76%"
"25/06/2024","16,283.7","16,119.6","16,324.7","15,668.4","12.34M","1.28%"
"24/06/2024","16,078.6","17,063.0","17,309.1","16,037.6","32.53M","-6.67%"
"21/06/2024","17,227.1","17,391.1","17,760.3","17,063.0","17.41M","-0.94%"
"20/06/2024","17,391.1","16,406.7","17,391.1","16,201.7","40.44M","6.80%"
"19/06/2024","16,283.7","15,750.5","16,570.8","15,750.5","21.15M","3.39%"
"18/06/2024","15,750.5","15,463.4","16,037.6","15,463.4","12.39M","2.67%"
"17/06/2024","15,340.3","15,545.4","15,668.4","15,176.2","15.38M","-1.58%"
"14/06/2024","15,586.4","16,119.6","16,283.7","15,586.4","12.45M","-3.31%"
"13/06/2024","16,119.6","16,242.7","16,652.8","16,119.6","12.19M","0.00%"
"12/06/2024","16,119.6","15,791.5","16,324.7","15,750.5","10.00M","1.29%"
"11/06/2024","15,914.5","16,242.7","16,324.7","15,832.5","12.10M","-2.02%"
"10/06/2024","16,242.7","16,406.7","16,570.8","16,119.6","10.34M","-1.00%"
"07/06/2024","16,406.7","15,996.6","16,406.7","15,791.5","10.02M","3.09%"
"06/06/2024","15,914.5","16,160.6","16,283.7","15,750.5","14.13M","-1.27%"
"05/06/2024","16,119.6","16,406.7","16,488.8","16,078.6","13.65M","-1.75%"
"04/06/2024","16,406.7","16,406.7","16,734.9","16,242.7","10.06M","0.50%"
"03/06/2024","16,324.7","16,529.8","16,529.8","16,119.6","12.59M","1.02%"
"31/05/2024","16,160.6","16,406.7","16,775.9","16,160.6","12.69M","-1.01%"
"30/05/2024","16,324.7","15,996.6","16,365.7","15,709.5","16.72M","0.51%"
"29/05/2024","16,242.7","15,914.5","16,775.9","15,791.5","23.09M","2.06%"
"28/05/2024","15,914.5","15,914.5","15,955.6","15,668.4","11.45M","1.31%"
"27/05/2024","15,709.5","15,094.2","15,791.5","15,053.2","15.74M","4.08%"
"24/05/2024","15,094.2","15,955.6","16,037.6","14,971.2","31.46M","-6.12%"
"23/05/2024","16,078.6","15,750.5","16,119.6","15,709.5","14.31M","1.55%"
"22/05/2024","15,832.5","16,406.7","16,406.7","15,750.5","18.74M","-2.77%"
"21/05/2024","16,283.7","15,586.4","16,406.7","15,340.3","22.26M","4.47%"
"20/05/2024","15,586.4","15,996.6","16,529.8","15,586.4","22.48M","0.00%"
"17/05/2024","15,586.4","15,381.3","15,750.5","15,217.3","11.97M","1.88%"
"16/05/2024","15,299.3","15,668.4","15,668.4","15,217.3","16.31M","-0.27%"
"15/05/2024","15,340.3","15,094.2","15,586.4","15,012.2","14.09M","1.91%"
"14/05/2024","15,053.2","15,012.2","15,340.3","14,889.1","11.24M","0.82%"
"13/05/2024","14,930.1","15,422.3","15,463.4","14,602.0","15.35M","-2.15%"
"10/05/2024","15,258.3","14,930.1","15,832.5","14,889.1","19.38M","2.20%"
"09/05/2024","14,930.1","15,094.2","15,176.2","14,725.1","16.05M","-0.82%"
"08/05/2024","15,053.2","14,684.0","15,381.3","14,561.0","23.56M","1.66%"
"07/05/2024","14,807.1","14,561.0","15,135.2","14,437.9","20.96M","4.03%"
"06/05/2024","14,232.9","13,412.5","14,232.9","13,289.5","18.72M","6.77%"
"03/05/2024","13,330.5","13,453.5","13,494.5","13,166.4","15.60M","-0.31%"
"02/05/2024","13,371.5","13,535.6","13,658.6","13,248.4","16.36M","1.88%"
"26/04/2024","13,125.4","12,797.3","13,371.5","12,797.3","13.62M","1.27%"
"25/04/2024","12,961.3","12,797.3","13,084.4","12,674.2","17.80M","1.61%"
"24/04/2024","12,756.2","12,182.0","12,756.2","12,017.9","20.93M","6.87%"
"23/04/2024","11,935.9","12,551.2","12,551.2","11,853.9","14.81M","-4.28%"
"22/04/2024","12,469.1","12,469.1","12,633.2","12,264.0","13.64M","2.36%"
"19/04/2024","12,182.0","12,510.1","12,756.2","11,976.9","29.93M","-4.81%"
"17/04/2024","12,797.3","13,084.4","13,330.5","12,592.2","21.10M","-1.27%"
"16/04/2024","12,961.3","12,961.3","13,043.4","12,305.1","36.87M","-0.63%"
"15/04/2024","13,043.4","13,945.7","14,068.8","13,043.4","30.83M","-6.74%"
"12/04/2024","13,986.7","14,068.8","14,191.8","13,822.7","11.01M","0.29%"
"11/04/2024","13,945.7","13,002.3","14,068.8","12,920.3","27.28M","5.92%"
"10/04/2024","13,166.4","13,330.5","13,699.6","13,166.4","10.53M","-0.62%"
"09/04/2024","13,248.4","13,289.5","13,371.5","12,797.3","20.79M","-0.31%"
"08/04/2024","13,289.5","13,535.6","13,576.6","13,289.5","10.80M","-1.82%"
"05/04/2024","13,535.6","13,330.5","13,863.7","13,207.4","17.16M","0.30%"
"04/04/2024","13,494.5","12,879.3","13,740.6","12,633.2","26.64M","4.78%"
"03/04/2024","12,879.3","13,248.4","13,289.5","12,838.3","15.63M","-2.48%"
"02/04/2024","13,207.4","13,043.4","13,289.5","12,797.3","12.71M","0.94%"
"01/04/2024","13,084.4","12,756.2","13,207.4","12,756.2","14.42M","1.59%"
"29/03/2024","12,879.3","12,387.1","13,043.4","12,387.1","14.50M","3.29%"
"28/03/2024","12,469.1","12,674.2","12,797.3","12,428.1","10.85M","-1.62%"
"27/03/2024","12,674.2","12,879.3","12,879.3","12,551.2","12.14M","0.32%"
"26/03/2024","12,633.2","11,976.9","12,674.2","11,976.9","16.80M","4.76%"
"25/03/2024","12,059.0","12,346.1","12,592.2","12,017.9","18.41M","-1.34%"
"22/03/2024","12,223.0","12,428.1","12,469.1","12,100.0","20.23M","-0.67%"
"21/03/2024","12,305.1","12,387.1","12,551.2","12,059.0","26.40M","0.33%"
"20/03/2024","12,264.0","11,648.8","12,264.0","11,525.7","26.71M","5.65%"
"19/03/2024","11,607.8","12,059.0","12,059.0","11,607.8","17.09M","-0.35%"
"18/03/2024","11,648.8","11,074.6","11,648.8","10,992.5","55.47M","6.77%"
"15/03/2024","10,910.5","10,746.4","11,197.6","10,705.4","19.84M","1.53%"
"14/03/2024","10,746.4","10,828.5","10,910.5","10,623.4","11.04M","0.00%"
"13/03/2024","10,746.4","10,541.3","10,746.4","10,500.3","6.88M","2.34%"
"12/03/2024","10,500.3","10,500.3","10,582.3","10,377.3","7.95M","0.00%"
"11/03/2024","10,500.3","10,582.3","10,705.4","10,418.3","6.80M","-0.78%"
"08/03/2024","10,582.3","10,869.5","10,869.5","10,541.3","13.01M","-1.53%"
"07/03/2024","10,746.4","10,787.4","10,869.5","10,664.4","10.43M","0.00%"
"06/03/2024","10,746.4","11,074.6","11,074.6","10,705.4","9.82M","-2.60%"
"05/03/2024","11,033.5","10,992.5","11,156.6","10,992.5","6.74M","0.37%"
"04/03/2024","10,992.5","10,951.5","11,320.7","10,910.5","18.32M","1.52%"
"01/03/2024","10,828.5","10,705.4","10,910.5","10,664.4","6.66M","0.76%"
"29/02/2024","10,746.4","10,787.4","10,828.5","10,623.4","8.45M","0.00%"
"28/02/2024","10,746.4","10,828.5","10,951.5","10,664.4","5.62M","-0.76%"
"27/02/2024","10,828.5","10,746.4","10,869.5","10,623.4","5.53M","1.54%"
"26/02/2024","10,664.4","10,541.3","10,746.4","10,500.3","6.94M","1.17%"
"23/02/2024","10,541.3","10,992.5","11,033.5","10,541.3","16.27M","-3.75%"
"22/02/2024","10,951.5","11,074.6","11,156.6","10,910.5","7.35M","-0.37%"
"21/02/2024","10,992.5","11,074.6","11,156.6","10,992.5","7.13M","-0.74%"
"20/02/2024","11,074.6","11,156.6","11,238.6","11,074.6","9.08M","-0.37%"
"19/02/2024","11,115.6","11,238.6","11,320.7","11,074.6","7.52M","-1.09%"
"16/02/2024","11,238.6","11,197.6","11,402.7","11,156.6","10.31M","0.74%"
"15/02/2024","11,156.6","11,033.5","11,320.7","10,992.5","9.25M","1.49%"
"07/02/2024","10,992.5","11,115.6","11,115.6","10,951.5","7.68M","-0.74%"
"06/02/2024","11,074.6","11,279.6","11,320.7","10,992.5","8.29M","-1.46%"
"05/02/2024","11,238.6","11,156.6","11,484.7","11,115.6","12.25M","0.37%"
"02/02/2024","11,197.6","11,238.6","11,402.7","11,115.6","9.98M","0.00%"
"01/02/2024","11,197.6","10,828.5","11,361.7","10,787.4","17.66M","3.41%"
"31/01/2024","10,828.5","11,115.6","11,156.6","10,746.4","11.13M","-2.22%"
"30/01/2024","11,074.6","11,115.6","11,238.6","10,910.5","11.87M","1.12%"
"29/01/2024","10,951.5","10,705.4","11,074.6","10,664.4","17.10M","3.49%"
"26/01/2024","10,582.3","10,500.3","10,664.4","10,500.3","3.61M","1.18%"
"25/01/2024","10,459.3","10,623.4","10,623.4","10,459.3","3.29M","-0.78%"
"24/01/2024","10,541.3","10,664.4","10,664.4","10,541.3","3.33M","-0.77%"
"23/01/2024","10,623.4","10,623.4","10,664.4","10,541.3","5.05M","0.78%"
"22/01/2024","10,541.3","10,664.4","10,746.4","10,500.3","7.46M","-1.15%"
"19/01/2024","10,664.4","10,828.5","10,951.5","10,623.4","6.02M","-1.14%"
"18/01/2024","10,787.4","10,787.4","10,869.5","10,664.4","6.60M","0.77%"
"17/01/2024","10,705.4","10,746.4","10,869.5","10,664.4","6.30M","-0.38%"
"16/01/2024","10,746.4","10,500.3","10,746.4","10,459.3","4.24M","1.55%"
"15/01/2024","10,582.3","10,623.4","10,746.4","10,459.3","5.31M","1.18%"
"12/01/2024","10,459.3","10,664.4","10,705.4","10,336.2","13.75M","-2.30%"
"11/01/2024","10,705.4","10,828.5","10,992.5","10,664.4","10.11M","-1.14%"
"10/01/2024","10,828.5","11,074.6","11,156.6","10,828.5","9.36M","-2.22%"
"09/01/2024","11,074.6","10,910.5","11,361.7","10,910.5","18.04M","1.89%"
"08/01/2024","10,869.5","10,869.5","11,033.5","10,828.5","8.76M","0.76%"
"05/01/2024","10,787.4","10,746.4","10,910.5","10,705.4","9.11M","0.77%"
"04/01/2024","10,705.4","10,705.4","10,951.5","10,705.4","10.72M","0.00%"
"03/01/2024","10,705.4","10,664.4","10,787.4","10,582.3","9.31M","0.38%"
"02/01/2024","10,664.4","10,869.5","10,951.5","10,623.4","8.28M","-1.52%"
"29/12/2023","10,828.5","10,910.5","10,951.5","10,746.4","7.95M","-0.38%"
"28/12/2023","10,869.5","10,910.5","11,033.5","10,828.5","8.34M","0.00%"
