"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","9,530.0","9,620.0","9,790.0","9,510.0","538.40K","-0.10%"
"27/06/2024","9,540.0","8,960.0","9,540.0","8,920.0","1.32M","6.95%"
"26/06/2024","8,920.0","8,890.0","8,940.0","8,860.0","130.10K","0.22%"
"25/06/2024","8,900.0","8,930.0","8,950.0","8,850.0","85.60K","0.23%"
"24/06/2024","8,880.0","8,980.0","9,000.0","8,820.0","204.10K","-0.78%"
"21/06/2024","8,950.0","8,890.0","8,950.0","8,880.0","101.70K","0.79%"
"20/06/2024","8,880.0","8,910.0","9,000.0","8,880.0","114.80K","-0.34%"
"19/06/2024","8,910.0","8,980.0","8,980.0","8,830.0","130.30K","-0.45%"
"18/06/2024","8,950.0","8,900.0","9,010.0","8,820.0","87.60K","1.47%"
"17/06/2024","8,820.0","8,760.0","9,000.0","8,760.0","122.70K","0.92%"
"14/06/2024","8,740.0","9,050.0","9,050.0","8,740.0","233.50K","-2.67%"
"13/06/2024","8,980.0","9,100.0","9,100.0","8,980.0","151.50K","-0.77%"
"12/06/2024","9,050.0","9,060.0","9,060.0","8,950.0","143.40K","0.00%"
"11/06/2024","9,050.0","9,000.0","9,050.0","8,910.0","309.30K","0.56%"
"10/06/2024","9,000.0","8,950.0","9,160.0","8,950.0","179.80K","-0.55%"
"07/06/2024","9,050.0","9,100.0","9,100.0","8,990.0","134.60K","0.44%"
"06/06/2024","9,010.0","9,200.0","9,250.0","8,990.0","243.80K","-1.42%"
"05/06/2024","9,140.0","9,200.0","9,260.0","9,140.0","208.60K","-0.65%"
"04/06/2024","9,200.0","9,150.0","9,250.0","9,150.0","247.40K","0.22%"
"03/06/2024","9,180.0","8,970.0","9,280.0","8,920.0","568.60K","2.46%"
"31/05/2024","8,960.0","9,030.0","9,030.0","8,920.0","158.70K","0.11%"
"30/05/2024","8,950.0","8,910.0","9,140.0","8,900.0","382.90K","-0.44%"
"29/05/2024","8,990.0","9,090.0","9,090.0","8,910.0","333.70K","-0.11%"
"28/05/2024","9,000.0","8,750.0","9,050.0","8,730.0","615.00K","4.17%"
"27/05/2024","8,640.0","8,680.0","8,720.0","8,510.0","123.70K","0.58%"
"24/05/2024","8,590.0","8,600.0","8,740.0","8,550.0","416.10K","0.12%"
"23/05/2024","8,580.0","8,480.0","8,660.0","8,480.0","322.30K","1.18%"
"22/05/2024","8,480.0","8,560.0","8,700.0","8,350.0","248.60K","-0.93%"
"21/05/2024","8,560.0","8,600.0","8,600.0","8,500.0","157.30K","-0.47%"
"20/05/2024","8,600.0","8,340.0","8,810.0","8,310.0","645.20K","2.50%"
"17/05/2024","8,390.0","8,400.0","8,490.0","8,220.0","252.70K","-0.12%"
"16/05/2024","8,400.0","8,420.0","8,500.0","8,400.0","253.50K","-0.59%"
"15/05/2024","8,450.0","8,500.0","8,500.0","8,410.0","107.40K","-0.59%"
"14/05/2024","8,500.0","8,600.0","8,600.0","8,450.0","161.60K","0.35%"
"13/05/2024","8,470.0","8,400.0","8,500.0","8,390.0","132.40K","0.83%"
"10/05/2024","8,400.0","8,400.0","8,420.0","8,330.0","100.20K","-0.24%"
"09/05/2024","8,420.0","8,450.0","8,520.0","8,400.0","79.10K","-0.36%"
"08/05/2024","8,450.0","8,310.0","8,470.0","8,300.0","330.50K","0.60%"
"07/05/2024","8,400.0","8,250.0","8,400.0","8,210.0","146.60K","1.82%"
"06/05/2024","8,250.0","8,170.0","8,300.0","8,170.0","131.80K","1.10%"
"03/05/2024","8,160.0","8,300.0","8,300.0","8,160.0","111.60K","-1.69%"
"02/05/2024","8,300.0","8,340.0","8,370.0","8,300.0","64.50K","-0.48%"
"26/04/2024","8,340.0","8,340.0","8,450.0","8,330.0","181.50K","0.00%"
"25/04/2024","8,340.0","8,450.0","8,450.0","8,310.0","46.40K","-0.48%"
"24/04/2024","8,380.0","8,400.0","8,400.0","8,200.0","144.00K","2.20%"
"23/04/2024","8,200.0","8,120.0","8,600.0","8,100.0","239.40K","0.99%"
"22/04/2024","8,120.0","8,050.0","8,210.0","8,050.0","114.90K","0.37%"
"19/04/2024","8,090.0","8,080.0","8,150.0","8,040.0","211.60K","0.12%"
"17/04/2024","8,080.0","8,050.0","8,380.0","8,030.0","302.50K","1.00%"
"16/04/2024","8,000.0","8,490.0","8,490.0","7,850.0","384.60K","-3.61%"
"15/04/2024","8,300.0","8,800.0","8,890.0","8,300.0","336.50K","-5.68%"
"12/04/2024","8,800.0","8,930.0","8,980.0","8,800.0","305.30K","-1.35%"
"11/04/2024","8,920.0","9,030.0","9,080.0","8,900.0","309.40K","-1.76%"
"10/04/2024","9,080.0","9,100.0","9,100.0","9,000.0","235.50K","0.00%"
"09/04/2024","9,080.0","8,880.0","9,080.0","8,710.0","397.20K","2.25%"
"08/04/2024","8,880.0","9,000.0","9,020.0","8,600.0","666.20K","-1.55%"
"05/04/2024","9,020.0","9,050.0","9,050.0","8,970.0","373.90K","-0.88%"
"04/04/2024","9,100.0","9,150.0","9,170.0","9,000.0","451.70K","-0.55%"
