"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","3,500.0","3,440.0","3,630.0","3,440.0","721.20K","2.94%"
"27/06/2024","3,400.0","3,430.0","3,430.0","3,390.0","59.60K","-0.87%"
"26/06/2024","3,430.0","3,480.0","3,480.0","3,400.0","149.60K","-0.58%"
"25/06/2024","3,450.0","3,400.0","3,450.0","3,360.0","177.20K","2.37%"
"24/06/2024","3,370.0","3,440.0","3,460.0","3,310.0","99.20K","-2.03%"
"21/06/2024","3,440.0","3,420.0","3,470.0","3,400.0","141.20K","0.88%"
"20/06/2024","3,410.0","3,340.0","3,410.0","3,300.0","287.70K","2.10%"
"19/06/2024","3,340.0","3,360.0","3,360.0","3,300.0","214.30K","-0.60%"
"18/06/2024","3,360.0","3,380.0","3,390.0","3,330.0","90.20K","-0.88%"
"17/06/2024","3,390.0","3,410.0","3,410.0","3,330.0","157.80K","-0.59%"
"14/06/2024","3,410.0","3,470.0","3,490.0","3,410.0","206.20K","-1.73%"
"13/06/2024","3,470.0","3,480.0","3,480.0","3,420.0","166.20K","-0.29%"
"12/06/2024","3,480.0","3,470.0","3,490.0","3,400.0","205.40K","1.46%"
"11/06/2024","3,430.0","3,490.0","3,490.0","3,400.0","151.60K","-0.58%"
"10/06/2024","3,450.0","3,450.0","3,500.0","3,430.0","287.40K","1.47%"
"07/06/2024","3,400.0","3,520.0","3,520.0","3,400.0","229.90K","-2.30%"
"06/06/2024","3,480.0","3,440.0","3,540.0","3,420.0","466.80K","2.05%"
"05/06/2024","3,410.0","3,360.0","3,430.0","3,300.0","636.20K","0.59%"
"04/06/2024","3,390.0","3,450.0","3,450.0","3,320.0","112.60K","-0.29%"
"03/06/2024","3,400.0","3,500.0","3,500.0","3,370.0","213.90K","-0.58%"
"31/05/2024","3,420.0","3,460.0","3,460.0","3,390.0","105.30K","-0.29%"
"30/05/2024","3,430.0","3,460.0","3,460.0","3,350.0","263.80K","-0.87%"
"29/05/2024","3,460.0","3,480.0","3,490.0","3,400.0","192.80K","2.37%"
"28/05/2024","3,380.0","3,390.0","3,520.0","3,350.0","375.40K","0.90%"
"27/05/2024","3,350.0","3,600.0","3,600.0","3,350.0","264.40K","-6.94%"
"24/05/2024","3,600.0","3,600.0","3,670.0","3,540.0","336.50K","-0.28%"
"23/05/2024","3,610.0","3,590.0","3,610.0","3,560.0","129.00K","0.56%"
"22/05/2024","3,590.0","3,640.0","3,700.0","3,590.0","168.10K","-1.37%"
"21/05/2024","3,640.0","3,650.0","3,680.0","3,600.0","158.40K","-1.09%"
"20/05/2024","3,680.0","3,650.0","3,770.0","3,620.0","127.60K","0.82%"
"17/05/2024","3,650.0","3,680.0","3,680.0","3,600.0","305.70K","-0.82%"
"16/05/2024","3,680.0","3,780.0","3,780.0","3,670.0","217.70K","-0.54%"
"15/05/2024","3,700.0","3,710.0","3,780.0","3,700.0","174.00K","-0.27%"
"14/05/2024","3,710.0","3,770.0","3,770.0","3,690.0","231.10K","-1.59%"
"13/05/2024","3,770.0","3,800.0","3,820.0","3,750.0","296.00K","-0.26%"
"10/05/2024","3,780.0","3,780.0","3,780.0","3,700.0","120.00K","0.00%"
"09/05/2024","3,780.0","3,760.0","3,800.0","3,710.0","128.80K","-0.79%"
"08/05/2024","3,810.0","3,770.0","3,810.0","3,720.0","106.90K","-0.26%"
"07/05/2024","3,820.0","3,850.0","3,850.0","3,790.0","81.60K","-0.78%"
"06/05/2024","3,850.0","3,880.0","3,940.0","3,750.0","125.40K","-0.77%"
"03/05/2024","3,880.0","3,930.0","3,930.0","3,800.0","95.80K","0.52%"
"02/05/2024","3,860.0","3,940.0","3,940.0","3,800.0","103.30K","-2.28%"
"26/04/2024","3,950.0","3,700.0","4,000.0","3,680.0","183.60K","5.61%"
"25/04/2024","3,740.0","3,660.0","3,770.0","3,650.0","60.30K","1.08%"
"24/04/2024","3,700.0","3,640.0","3,790.0","3,620.0","184.30K","2.21%"
"23/04/2024","3,620.0","3,620.0","3,690.0","3,610.0","128.70K","-1.09%"
"22/04/2024","3,660.0","3,780.0","3,780.0","3,610.0","118.30K","3.10%"
"19/04/2024","3,550.0","3,750.0","3,750.0","3,530.0","98.30K","-5.33%"
"17/04/2024","3,750.0","3,530.0","3,770.0","3,530.0","660.30K","6.23%"
"16/04/2024","3,530.0","3,650.0","3,680.0","3,480.0","250.00K","-4.08%"
"15/04/2024","3,680.0","3,790.0","3,840.0","3,580.0","167.30K","-4.17%"
"12/04/2024","3,840.0","3,850.0","3,850.0","3,770.0","69.80K","0.52%"
"11/04/2024","3,820.0","3,830.0","3,860.0","3,800.0","90.20K","-1.04%"
"10/04/2024","3,860.0","3,840.0","3,880.0","3,820.0","75.30K","0.52%"
"09/04/2024","3,840.0","3,840.0","3,850.0","3,780.0","255.40K","0.52%"
"08/04/2024","3,820.0","3,950.0","3,950.0","3,820.0","151.30K","-1.80%"
"05/04/2024","3,890.0","3,820.0","3,970.0","3,820.0","202.40K","-2.26%"
"04/04/2024","3,980.0","3,960.0","4,000.0","3,900.0","178.20K","-0.25%"
"03/04/2024","3,990.0","4,050.0","4,050.0","3,890.0","211.90K","-1.48%"
"02/04/2024","4,050.0","4,070.0","4,070.0","3,980.0","193.90K","0.00%"
"01/04/2024","4,050.0","4,090.0","4,090.0","3,990.0","237.90K","-0.25%"
"29/03/2024","4,060.0","4,100.0","4,100.0","4,060.0","114.00K","-0.98%"
