"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","23,999.0","24,329.0","24,329.0","23,575.0","366.50K","-1.55%"
"27/06/2024","24,376.0","23,103.0","24,470.0","23,103.0","1.83M","5.08%"
"26/06/2024","23,197.0","23,197.0","23,197.0","22,584.0","159.80K","0.61%"
"25/06/2024","23,056.0","22,443.0","23,386.0","22,396.0","373.00K","2.95%"
"24/06/2024","22,396.0","23,245.0","23,292.0","22,396.0","394.50K","-3.45%"
"21/06/2024","23,197.0","22,254.0","23,386.0","22,254.0","766.40K","4.24%"
"20/06/2024","22,254.0","22,443.0","22,632.0","22,254.0","292.10K","-0.84%"
"19/06/2024","22,443.0","22,726.0","23,103.0","22,396.0","383.60K","-2.06%"
"18/06/2024","22,914.0","22,537.0","23,056.0","22,537.0","253.70K","1.67%"
"17/06/2024","22,537.0","22,773.0","22,962.0","22,537.0","305.40K","-0.83%"
"14/06/2024","22,726.0","23,009.0","23,575.0","22,726.0","690.60K","-1.23%"
"13/06/2024","23,009.0","23,339.0","23,386.0","23,009.0","252.00K","-0.81%"
"12/06/2024","23,197.0","23,056.0","23,197.0","22,773.0","203.00K","1.02%"
"11/06/2024","22,962.0","23,480.0","23,480.0","22,773.0","501.90K","-1.42%"
"10/06/2024","23,292.0","23,245.0","23,480.0","23,197.0","405.90K","0.61%"
"07/06/2024","23,150.0","23,103.0","23,339.0","22,914.0","242.90K","0.41%"
"06/06/2024","23,056.0","23,433.0","23,575.0","22,962.0","268.20K","-1.61%"
"05/06/2024","23,433.0","22,820.0","23,763.0","22,820.0","859.40K","2.26%"
"04/06/2024","22,914.0","22,773.0","23,103.0","22,773.0","264.40K","0.62%"
"03/06/2024","22,773.0","23,009.0","23,009.0","22,726.0","220.70K","1.26%"
"31/05/2024","22,490.0","22,726.0","22,773.0","22,443.0","185.10K","-0.83%"
"30/05/2024","22,679.0","22,679.0","22,820.0","22,207.0","402.50K","-1.03%"
"29/05/2024","22,914.0","23,197.0","23,292.0","22,867.0","288.90K","-1.22%"
"28/05/2024","23,197.0","22,867.0","23,197.0","22,773.0","333.90K","2.93%"
"27/05/2024","22,537.0","22,632.0","23,056.0","22,537.0","176.10K","0.00%"
"24/05/2024","22,537.0","23,103.0","23,386.0","22,207.0","672.20K","-4.02%"
"23/05/2024","23,480.0","23,575.0","23,575.0","23,150.0","278.40K","-0.60%"
"22/05/2024","23,622.0","23,386.0","23,952.0","23,386.0","941.00K","2.45%"
"21/05/2024","23,056.0","23,103.0","23,292.0","22,632.0","319.80K","0.00%"
"20/05/2024","23,056.0","22,963.0","23,429.0","22,916.0","592.00K","0.61%"
"17/05/2024","22,916.0","22,683.0","23,009.0","22,497.0","328.80K","1.23%"
"16/05/2024","22,637.0","22,590.0","22,823.0","22,450.0","271.40K","1.25%"
"15/05/2024","22,357.0","22,171.0","22,544.0","22,078.0","326.10K","0.84%"
"14/05/2024","22,171.0","22,078.0","22,544.0","22,078.0","160.60K","0.85%"
"13/05/2024","21,985.0","22,264.0","22,264.0","21,938.0","150.50K","-0.84%"
"10/05/2024","22,171.0","22,171.0","22,264.0","21,705.0","145.60K","0.00%"
"09/05/2024","22,171.0","22,264.0","22,544.0","22,078.0","205.90K","-0.21%"
"08/05/2024","22,218.0","22,171.0","22,916.0","21,985.0","197.10K","-0.21%"
"07/05/2024","22,264.0","22,264.0","22,264.0","22,031.0","147.30K","0.00%"
"06/05/2024","22,264.0","21,659.0","22,357.0","21,612.0","405.50K","3.24%"
"03/05/2024","21,565.0","21,798.0","21,891.0","21,519.0","245.60K","-0.65%"
"02/05/2024","21,705.0","22,078.0","22,078.0","21,472.0","181.10K","0.00%"
"26/04/2024","21,705.0","21,659.0","21,891.0","21,426.0","160.10K","-0.43%"
"25/04/2024","21,798.0","21,519.0","22,311.0","21,472.0","426.30K","0.86%"
"24/04/2024","21,612.0","21,239.0","21,612.0","21,053.0","283.20K","4.98%"
"23/04/2024","20,587.0","21,053.0","21,100.0","20,541.0","275.10K","-2.00%"
"22/04/2024","21,007.0","20,913.0","21,053.0","20,680.0","150.30K","2.27%"
"19/04/2024","20,541.0","20,494.0","21,053.0","20,401.0","652.70K","0.00%"
"17/04/2024","20,541.0","21,100.0","21,286.0","20,541.0","413.80K","-1.56%"
"16/04/2024","20,867.0","21,519.0","21,519.0","20,587.0","809.70K","-3.03%"
"15/04/2024","21,519.0","22,963.0","23,009.0","21,519.0","762.10K","-6.85%"
"12/04/2024","23,102.0","23,289.0","23,335.0","22,963.0","316.60K","-0.20%"
"11/04/2024","23,149.0","23,009.0","23,149.0","22,637.0","374.10K","0.20%"
"10/04/2024","23,102.0","23,382.0","23,382.0","23,056.0","216.40K","-0.80%"
"09/04/2024","23,289.0","22,637.0","23,289.0","22,637.0","464.50K","2.88%"
"08/04/2024","22,637.0","23,615.0","23,615.0","22,637.0","370.80K","-2.99%"
"05/04/2024","23,335.0","23,568.0","23,708.0","23,242.0","746.20K","-1.96%"
"04/04/2024","23,801.0","24,360.0","24,360.0","23,755.0","928.70K","-2.29%"
"03/04/2024","24,360.0","24,826.0","25,059.0","24,220.0","527.20K","-1.88%"
"02/04/2024","24,826.0","24,360.0","24,872.0","24,174.0","611.20K","1.72%"
"01/04/2024","24,407.0","24,500.0","24,686.0","24,127.0","792.50K","-0.76%"
"29/03/2024","24,593.0","24,779.0","25,152.0","24,546.0","513.60K","-0.75%"
"28/03/2024","24,779.0","25,152.0","25,198.0","24,779.0","427.30K","-0.56%"
"27/03/2024","24,919.0","25,105.0","25,245.0","24,872.0","486.70K","-1.29%"
"26/03/2024","25,245.0","24,453.0","25,292.0","24,407.0","781.20K","3.24%"
"25/03/2024","24,453.0","25,012.0","25,059.0","24,407.0","681.30K","-2.05%"
"22/03/2024","24,966.0","24,500.0","25,292.0","24,500.0","1.25M","2.29%"
"21/03/2024","24,407.0","24,872.0","24,872.0","24,407.0","1.13M","-0.38%"
"20/03/2024","24,500.0","24,174.0","24,593.0","23,941.0","509.20K","1.35%"
"19/03/2024","24,174.0","24,453.0","24,593.0","23,987.0","747.70K","-0.76%"
"18/03/2024","24,360.0","26,316.0","26,503.0","24,360.0","2.73M","-6.94%"
"15/03/2024","26,177.0","25,897.0","26,223.0","25,431.0","910.80K","1.08%"
"14/03/2024","25,897.0","26,270.0","27,155.0","25,618.0","1.36M","-1.24%"
"13/03/2024","26,223.0","26,270.0","26,642.0","26,037.0","1.01M","1.26%"
"12/03/2024","25,897.0","24,966.0","26,270.0","24,779.0","981.20K","3.73%"
"11/03/2024","24,966.0","25,618.0","26,037.0","24,966.0","710.10K","-2.19%"
"08/03/2024","25,525.0","26,223.0","26,456.0","25,385.0","1.13M","-1.97%"
"07/03/2024","26,037.0","25,851.0","26,363.0","25,711.0","926.80K","0.72%"
"06/03/2024","25,851.0","26,596.0","26,642.0","25,571.0","914.10K","-2.97%"
"05/03/2024","26,642.0","27,481.0","27,481.0","26,596.0","713.80K","-2.06%"
"04/03/2024","27,201.0","25,525.0","27,201.0","25,525.0","1.96M","6.96%"
"01/03/2024","25,431.0","25,478.0","25,851.0","25,292.0","630.50K","0.55%"
"29/02/2024","25,292.0","25,711.0","26,083.0","24,872.0","1.11M","-1.63%"
"28/02/2024","25,711.0","26,363.0","26,549.0","25,525.0","1.07M","-2.47%"
"27/02/2024","26,363.0","25,525.0","26,503.0","25,245.0","1.08M","3.85%"
"26/02/2024","25,385.0","24,826.0","25,711.0","24,826.0","1.34M","2.45%"
"23/02/2024","24,779.0","25,851.0","25,944.0","24,779.0","1.63M","-3.62%"
"22/02/2024","25,711.0","25,664.0","26,270.0","25,478.0","1.30M","2.22%"
"21/02/2024","25,152.0","23,661.0","25,152.0","23,615.0","4.02M","6.93%"
"20/02/2024","23,522.0","23,196.0","23,568.0","23,009.0","1.05M","2.23%"
"19/02/2024","23,009.0","23,382.0","23,382.0","22,870.0","417.50K","-0.81%"
"16/02/2024","23,196.0","23,196.0","23,661.0","22,916.0","488.00K","1.01%"
"15/02/2024","22,963.0","23,568.0","23,568.0","22,963.0","407.30K","-1.40%"
"07/02/2024","23,289.0","23,149.0","23,382.0","22,916.0","728.00K","0.20%"
"06/02/2024","23,242.0","23,289.0","23,429.0","23,056.0","721.10K","0.20%"
"05/02/2024","23,196.0","23,429.0","23,568.0","23,102.0","494.50K","-0.60%"
"02/02/2024","23,335.0","24,407.0","24,407.0","23,289.0","1.05M","-2.91%"
"01/02/2024","24,034.0","23,289.0","24,127.0","23,009.0","1.37M","2.79%"
"31/01/2024","23,382.0","23,987.0","23,987.0","22,870.0","1.03M","-2.52%"
"30/01/2024","23,987.0","23,848.0","24,127.0","23,522.0","822.00K","1.38%"
"29/01/2024","23,661.0","23,848.0","23,848.0","23,429.0","613.00K","0.79%"
"26/01/2024","23,475.0","23,056.0","23,661.0","22,916.0","1.00M","1.82%"
"25/01/2024","23,056.0","23,242.0","23,522.0","22,823.0","761.90K","-0.80%"
"24/01/2024","23,242.0","23,335.0","23,475.0","22,963.0","949.90K","1.42%"
"23/01/2024","22,916.0","22,264.0","22,963.0","22,171.0","1.62M","3.36%"
"22/01/2024","22,171.0","22,357.0","22,544.0","21,891.0","1.28M","0.00%"
"19/01/2024","22,171.0","22,171.0","22,544.0","21,845.0","875.10K","1.49%"
"18/01/2024","21,845.0","21,519.0","22,078.0","21,239.0","1.28M","2.85%"
"17/01/2024","21,239.0","21,053.0","21,472.0","21,053.0","90.40K","0.00%"
"16/01/2024","21,239.0","20,867.0","21,239.0","20,494.0","139.00K","1.78%"
"15/01/2024","20,867.0","21,426.0","21,612.0","20,867.0","169.60K","-0.88%"
"12/01/2024","21,053.0","22,031.0","22,031.0","21,007.0","630.70K","-5.24%"
"11/01/2024","22,218.0","22,450.0","22,450.0","22,171.0","78.90K","-0.42%"
"10/01/2024","22,311.0","22,730.0","22,730.0","22,218.0","207.50K","-1.64%"
"09/01/2024","22,683.0","22,171.0","22,730.0","21,985.0","435.70K","2.74%"
"08/01/2024","22,078.0","22,171.0","22,264.0","22,031.0","155.60K","-0.63%"
"05/01/2024","22,218.0","22,357.0","22,590.0","22,124.0","170.00K","-0.62%"
"04/01/2024","22,357.0","22,124.0","22,357.0","22,031.0","250.20K","1.48%"
"03/01/2024","22,031.0","21,938.0","22,124.0","21,798.0","196.20K","0.42%"
"02/01/2024","21,938.0","22,357.0","22,357.0","21,891.0","249.70K","-1.46%"
"29/12/2023","22,264.0","22,357.0","22,450.0","22,218.0","168.30K","-0.42%"
"28/12/2023","22,357.0","22,544.0","22,590.0","22,171.0","412.60K","-0.83%"
"27/12/2023","22,544.0","22,590.0","22,637.0","22,404.0","209.80K","0.00%"
"26/12/2023","22,544.0","22,730.0","22,870.0","22,404.0","409.30K","0.00%"
"25/12/2023","22,544.0","22,637.0","23,009.0","22,450.0","242.30K","-0.41%"
"22/12/2023","22,637.0","22,218.0","22,776.0","22,171.0","240.50K","2.32%"
"21/12/2023","22,124.0","22,311.0","22,311.0","22,031.0","155.80K","-1.45%"
"20/12/2023","22,450.0","22,544.0","22,544.0","22,171.0","149.60K","0.42%"
"19/12/2023","22,357.0","22,078.0","22,357.0","21,938.0","159.80K","1.48%"
"18/12/2023","22,031.0","22,730.0","22,730.0","21,985.0","202.90K","-2.28%"
"15/12/2023","22,544.0","22,497.0","23,009.0","22,357.0","237.80K","-1.22%"
"14/12/2023","22,823.0","23,009.0","23,102.0","22,404.0","253.50K","-0.21%"
"13/12/2023","22,870.0","23,755.0","23,848.0","22,776.0","642.00K","-3.73%"
"12/12/2023","23,755.0","23,429.0","23,801.0","23,289.0","450.50K","0.79%"
"11/12/2023","23,568.0","23,848.0","24,081.0","23,242.0","326.80K","-0.39%"
"08/12/2023","23,661.0","23,568.0","23,941.0","23,289.0","226.30K","-0.40%"
"07/12/2023","23,755.0","24,220.0","24,593.0","23,242.0","336.90K","-1.16%"
"06/12/2023","24,034.0","24,500.0","24,500.0","23,755.0","500.50K","-1.15%"
"05/12/2023","24,314.0","24,826.0","25,059.0","24,034.0","408.30K","-2.06%"
"04/12/2023","24,826.0","23,755.0","24,826.0","23,242.0","735.90K","6.82%"
"01/12/2023","23,242.0","23,289.0","23,475.0","22,916.0","193.20K","0.00%"
"30/11/2023","23,242.0","23,009.0","23,941.0","23,009.0","446.80K","1.01%"
"29/11/2023","23,009.0","23,196.0","23,196.0","22,637.0","172.70K","0.20%"
"28/11/2023","22,963.0","22,963.0","23,242.0","22,311.0","129.10K","0.21%"
"27/11/2023","22,916.0","22,730.0","23,755.0","22,730.0","179.70K","-0.81%"
"24/11/2023","23,102.0","22,124.0","23,102.0","21,798.0","226.40K","4.42%"
"23/11/2023","22,124.0","23,894.0","23,894.0","22,124.0","441.10K","-6.87%"
"22/11/2023","23,755.0","23,661.0","23,941.0","23,289.0","295.60K","0.40%"
"21/11/2023","23,661.0","23,755.0","24,220.0","23,289.0","189.40K","0.00%"
"20/11/2023","23,661.0","21,426.0","23,708.0","21,426.0","1.00M","6.72%"
"17/11/2023","22,171.0","21,705.0","23,009.0","21,705.0","411.50K","1.93%"
"16/11/2023","21,752.0","21,239.0","21,752.0","21,239.0","88.20K","1.08%"
"15/11/2023","21,519.0","22,357.0","22,357.0","21,426.0","145.00K","-0.43%"
"14/11/2023","21,612.0","22,171.0","22,171.0","21,426.0","104.20K","-0.85%"
"13/11/2023","21,798.0","21,659.0","22,357.0","21,286.0","131.10K","-0.42%"
"10/11/2023","21,891.0","22,357.0","22,544.0","21,891.0","119.80K","-2.08%"
"09/11/2023","22,357.0","22,544.0","22,730.0","22,171.0","258.40K","0.84%"
"08/11/2023","22,171.0","21,107.0","22,348.0","21,107.0","761.90K","4.38%"
"07/11/2023","21,240.0","21,018.0","21,639.0","21,018.0","165.40K","0.63%"
"06/11/2023","21,107.0","21,373.0","21,373.0","20,885.0","60.90K","0.00%"
"03/11/2023","21,107.0","21,550.0","21,550.0","20,974.0","83.30K","-2.06%"
"02/11/2023","21,550.0","20,397.0","21,594.0","20,309.0","327.30K","6.35%"
"01/11/2023","20,264.0","19,776.0","20,397.0","19,156.0","103.50K","2.47%"
"31/10/2023","19,776.0","20,752.0","20,752.0","19,688.0","107.70K","-2.20%"
"30/10/2023","20,220.0","20,575.0","20,575.0","20,087.0","76.80K","-1.51%"
"27/10/2023","20,530.0","20,131.0","20,530.0","19,510.0","111.80K","2.43%"
"26/10/2023","20,043.0","21,284.0","21,284.0","19,998.0","283.70K","-6.61%"
"25/10/2023","21,461.0","21,905.0","21,994.0","21,461.0","139.20K","-2.03%"
"24/10/2023","21,905.0","20,885.0","22,038.0","20,885.0","112.00K","3.78%"
"23/10/2023","21,107.0","21,328.0","21,639.0","20,929.0","85.30K","-0.83%"
"20/10/2023","21,284.0","21,328.0","21,461.0","20,575.0","224.20K","0.84%"
"19/10/2023","21,107.0","20,708.0","21,284.0","20,575.0","186.00K","2.15%"
"18/10/2023","20,663.0","21,107.0","21,373.0","20,530.0","440.80K","-1.48%"
"17/10/2023","20,974.0","22,437.0","22,747.0","20,974.0","201.50K","-6.52%"
"16/10/2023","22,437.0","23,501.0","23,501.0","22,260.0","253.50K","-2.69%"
"13/10/2023","23,058.0","22,437.0","23,235.0","22,393.0","339.50K","0.78%"
"12/10/2023","22,880.0","22,659.0","23,457.0","22,526.0","379.90K","1.97%"
"11/10/2023","22,437.0","22,082.0","22,437.0","21,639.0","205.10K","1.61%"
"10/10/2023","22,082.0","22,703.0","22,792.0","22,082.0","151.00K","-2.35%"
"09/10/2023","22,614.0","22,304.0","22,659.0","22,038.0","349.70K","2.00%"
"06/10/2023","22,171.0","22,127.0","22,348.0","21,461.0","274.00K","0.80%"
"05/10/2023","21,994.0","20,708.0","21,994.0","20,708.0","1.12M","6.90%"
"04/10/2023","20,575.0","20,486.0","21,195.0","20,442.0","98.60K","0.43%"
"03/10/2023","20,486.0","21,284.0","21,328.0","20,397.0","200.20K","-3.75%"
"02/10/2023","21,284.0","20,087.0","21,284.0","20,087.0","430.70K","3.23%"
"29/09/2023","20,619.0","20,841.0","20,885.0","20,309.0","117.10K","-0.21%"
"28/09/2023","20,663.0","20,486.0","20,841.0","19,998.0","70.90K","0.86%"
"27/09/2023","20,486.0","19,821.0","20,486.0","19,688.0","130.00K","1.10%"
"26/09/2023","20,264.0","19,732.0","20,841.0","19,732.0","164.10K","1.55%"
"25/09/2023","19,954.0","21,284.0","21,639.0","19,954.0","255.40K","-6.25%"
"22/09/2023","21,284.0","21,284.0","22,082.0","20,841.0","264.90K","-2.83%"
"21/09/2023","21,905.0","22,703.0","22,703.0","21,905.0","222.70K","-1.20%"
"20/09/2023","22,171.0","21,728.0","22,348.0","21,550.0","703.10K","4.17%"
"19/09/2023","21,284.0","20,442.0","21,373.0","20,442.0","327.10K","2.56%"
"18/09/2023","20,752.0","20,442.0","20,885.0","20,353.0","120.30K","1.52%"
"15/09/2023","20,442.0","20,752.0","21,018.0","20,353.0","193.80K","-1.49%"
"14/09/2023","20,752.0","20,796.0","20,929.0","20,397.0","305.10K","-0.21%"
"13/09/2023","20,796.0","20,841.0","21,284.0","20,087.0","883.80K","2.85%"
"12/09/2023","20,220.0","19,910.0","20,397.0","19,865.0","110.60K","2.01%"
"11/09/2023","19,821.0","20,841.0","20,885.0","19,821.0","186.40K","-3.87%"
"08/09/2023","20,619.0","19,865.0","20,619.0","19,688.0","465.40K","3.80%"
"07/09/2023","19,865.0","20,309.0","20,309.0","19,821.0","97.30K","-0.89%"
"06/09/2023","20,043.0","19,244.0","20,220.0","19,067.0","299.60K","3.91%"
"05/09/2023","19,289.0","19,510.0","19,510.0","19,067.0","88.80K","0.23%"
"31/08/2023","19,244.0","19,333.0","19,422.0","19,200.0","96.10K","-0.46%"
"30/08/2023","19,333.0","19,377.0","19,422.0","19,244.0","149.60K","0.00%"
"29/08/2023","19,333.0","19,067.0","19,599.0","18,801.0","258.00K","1.40%"
"28/08/2023","19,067.0","18,624.0","19,067.0","18,624.0","131.70K","0.94%"
"25/08/2023","18,890.0","18,890.0","18,978.0","18,757.0","48.90K","0.47%"
"24/08/2023","18,801.0","18,269.0","18,801.0","18,269.0","101.00K","2.41%"
"23/08/2023","18,358.0","18,358.0","18,535.0","18,180.0","77.80K","0.49%"
"22/08/2023","18,269.0","18,180.0","18,624.0","17,825.0","180.70K","0.49%"
"21/08/2023","18,180.0","18,313.0","18,491.0","17,914.0","123.50K","-0.49%"
"18/08/2023","18,269.0","19,555.0","19,555.0","18,269.0","403.90K","-6.79%"
"17/08/2023","19,599.0","19,954.0","19,954.0","19,599.0","128.60K","-1.78%"
"16/08/2023","19,954.0","20,220.0","20,220.0","19,732.0","63.40K","-1.10%"
"15/08/2023","20,176.0","19,910.0","20,220.0","19,776.0","167.80K","2.48%"
"14/08/2023","19,688.0","20,131.0","20,131.0","19,688.0","116.90K","0.23%"
"11/08/2023","19,643.0","19,998.0","19,998.0","19,555.0","206.40K","-1.78%"
"10/08/2023","19,998.0","20,176.0","20,220.0","19,998.0","116.30K","-0.66%"
"09/08/2023","20,131.0","20,087.0","20,220.0","19,954.0","149.80K","0.00%"
"08/08/2023","20,131.0","20,220.0","20,309.0","20,087.0","168.50K","-0.44%"
"07/08/2023","20,220.0","20,442.0","20,442.0","20,131.0","154.90K","0.44%"
"04/08/2023","20,131.0","20,043.0","20,131.0","19,821.0","70.40K","1.11%"
"03/08/2023","19,910.0","20,309.0","20,309.0","19,821.0","250.40K","-0.66%"
"02/08/2023","20,043.0","20,131.0","20,220.0","19,998.0","87.20K","-0.44%"
"01/08/2023","20,131.0","20,397.0","20,841.0","19,954.0","427.10K","-0.44%"
"31/07/2023","20,220.0","20,397.0","20,397.0","20,087.0","112.80K","-0.87%"
"28/07/2023","20,397.0","20,043.0","20,752.0","19,954.0","256.00K","2.00%"
"27/07/2023","19,998.0","20,131.0","20,353.0","19,821.0","193.50K","-0.44%"
"26/07/2023","20,087.0","20,220.0","20,575.0","20,087.0","161.60K","-0.66%"
"25/07/2023","20,220.0","21,062.0","21,062.0","20,220.0","328.80K","-3.59%"
"24/07/2023","20,974.0","20,929.0","21,107.0","20,885.0","161.10K","0.43%"
"21/07/2023","20,885.0","20,043.0","20,929.0","19,954.0","658.90K","3.51%"
"20/07/2023","20,176.0","20,309.0","20,309.0","19,998.0","121.80K","-1.08%"
"19/07/2023","20,397.0","20,043.0","20,929.0","20,043.0","382.60K","1.77%"
"18/07/2023","20,043.0","20,220.0","20,397.0","19,865.0","92.90K","-1.74%"
"17/07/2023","20,397.0","20,796.0","20,796.0","20,220.0","172.30K","0.00%"
"14/07/2023","20,397.0","20,220.0","20,708.0","20,087.0","261.50K","1.54%"
"13/07/2023","20,087.0","19,865.0","20,220.0","19,688.0","246.60K","1.12%"
"12/07/2023","19,865.0","19,998.0","20,131.0","19,688.0","113.00K","-0.67%"
"11/07/2023","19,998.0","20,309.0","20,708.0","19,865.0","264.60K","-1.53%"
"10/07/2023","20,309.0","20,397.0","20,752.0","20,043.0","255.80K","1.33%"
"07/07/2023","20,043.0","19,023.0","20,353.0","18,890.0","680.70K","5.12%"
"06/07/2023","19,067.0","18,890.0","19,156.0","18,845.0","100.50K","0.00%"
"05/07/2023","19,067.0","19,023.0","19,333.0","19,023.0","149.00K","0.47%"
"04/07/2023","18,978.0","18,668.0","19,023.0","18,668.0","100.60K","1.66%"
"03/07/2023","18,668.0","19,111.0","19,244.0","18,624.0","252.60K","-2.09%"
"30/06/2023","19,067.0","19,067.0","19,289.0","19,067.0","133.60K","0.47%"
"29/06/2023","18,978.0","19,422.0","19,422.0","18,978.0","160.00K","-2.95%"
"28/06/2023","19,555.0","19,510.0","19,865.0","19,422.0","160.50K","0.68%"
"27/06/2023","19,422.0","19,067.0","19,422.0","19,067.0","98.40K","1.16%"
"26/06/2023","19,200.0","19,023.0","19,422.0","18,801.0","144.90K","0.00%"
"23/06/2023","19,200.0","19,333.0","19,510.0","18,890.0","124.60K","-1.14%"
"22/06/2023","19,422.0","19,422.0","19,599.0","19,200.0","127.20K","0.92%"
"21/06/2023","19,244.0","18,890.0","19,333.0","18,801.0","119.70K","2.12%"
"20/06/2023","18,845.0","18,313.0","19,023.0","18,313.0","82.20K","0.95%"
"19/06/2023","18,668.0","19,200.0","19,333.0","18,491.0","153.90K","-3.66%"
"16/06/2023","19,377.0","19,643.0","19,865.0","19,333.0","232.70K","-1.13%"
"15/06/2023","19,599.0","19,776.0","19,776.0","19,111.0","175.70K","-0.45%"
"14/06/2023","19,688.0","20,353.0","20,397.0","19,688.0","222.40K","-3.27%"
"13/06/2023","20,353.0","20,575.0","20,663.0","20,220.0","193.90K","0.22%"
"12/06/2023","20,309.0","19,910.0","20,309.0","19,510.0","232.10K","2.46%"
"09/06/2023","19,821.0","20,264.0","20,841.0","19,510.0","331.90K","-1.76%"
"08/06/2023","20,176.0","18,934.0","20,176.0","18,934.0","500.10K","6.81%"
"07/06/2023","18,890.0","18,757.0","19,156.0","18,535.0","273.60K","0.47%"
"06/06/2023","18,801.0","18,402.0","19,067.0","18,402.0","150.60K","0.95%"
"05/06/2023","18,624.0","19,333.0","19,333.0","18,624.0","142.50K","-2.32%"
"02/06/2023","19,067.0","19,333.0","19,422.0","18,890.0","205.10K","-0.23%"
"01/06/2023","19,111.0","19,067.0","19,244.0","18,624.0","143.50K","1.17%"
"31/05/2023","18,890.0","18,446.0","19,244.0","18,180.0","361.90K","2.41%"
"30/05/2023","18,446.0","18,668.0","18,712.0","18,358.0","111.40K","-1.19%"
"29/05/2023","18,668.0","18,535.0","18,712.0","18,180.0","243.10K","2.43%"
"26/05/2023","18,225.0","18,535.0","18,535.0","18,225.0","99.50K","-0.72%"
"25/05/2023","18,358.0","17,958.0","18,624.0","17,914.0","267.90K","1.97%"
"24/05/2023","18,003.0","17,648.0","18,180.0","17,559.0","170.30K","2.01%"
"23/05/2023","17,648.0","17,737.0","17,737.0","17,559.0","92.30K","-0.99%"
"22/05/2023","17,825.0","18,136.0","18,136.0","17,426.0","131.40K","0.00%"
"19/05/2023","17,825.0","17,559.0","17,958.0","17,471.0","64.90K","1.51%"
"18/05/2023","17,559.0","17,338.0","17,737.0","17,338.0","68.10K","2.06%"
"17/05/2023","17,205.0","17,556.0","17,775.0","17,161.0","190.60K","-2.00%"
"16/05/2023","17,556.0","18,434.0","18,697.0","17,292.0","269.00K","-4.76%"
"15/05/2023","18,434.0","19,136.0","19,136.0","18,390.0","181.80K","-2.55%"
"12/05/2023","18,916.0","18,872.0","19,004.0","18,741.0","143.50K","1.41%"
"11/05/2023","18,653.0","18,565.0","19,048.0","18,258.0","326.30K","0.71%"
"10/05/2023","18,521.0","18,785.0","18,785.0","18,477.0","173.20K","-1.41%"
"09/05/2023","18,785.0","18,785.0","19,224.0","18,521.0","201.90K","0.00%"
"08/05/2023","18,785.0","19,224.0","19,311.0","18,785.0","127.50K","-0.92%"
"05/05/2023","18,960.0","18,785.0","19,575.0","18,785.0","150.60K","1.65%"
"04/05/2023","18,653.0","18,214.0","18,653.0","17,995.0","144.00K","2.41%"
"28/04/2023","18,214.0","18,521.0","18,785.0","18,126.0","122.20K","-1.19%"
"27/04/2023","18,434.0","18,872.0","18,872.0","18,258.0","80.60K","-0.47%"
"26/04/2023","18,521.0","18,521.0","18,521.0","17,951.0","101.30K","1.93%"
"25/04/2023","18,170.0","18,697.0","18,697.0","17,907.0","92.00K","-2.82%"
"24/04/2023","18,697.0","18,346.0","18,960.0","18,346.0","257.30K","2.40%"
"21/04/2023","18,258.0","17,556.0","18,302.0","17,249.0","309.90K","3.23%"
"20/04/2023","17,687.0","18,170.0","18,390.0","17,600.0","93.80K","-2.18%"
"19/04/2023","18,082.0","18,785.0","18,785.0","17,556.0","152.00K","-0.72%"
"18/04/2023","18,214.0","17,029.0","18,214.0","16,722.0","396.50K","6.96%"
"17/04/2023","17,029.0","16,941.0","17,117.0","16,766.0","63.90K","0.52%"
"14/04/2023","16,941.0","17,292.0","17,292.0","16,502.0","253.40K","-2.03%"
"13/04/2023","17,292.0","17,644.0","17,687.0","17,161.0","139.10K","-2.00%"
