"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","35,267.0","34,301.0","35,267.0","34,301.0","0.40K","4.28%"
"27/06/2024","33,818.0","33,818.0","33,818.0","33,818.0","0.10K","0.00%"
"26/06/2024","33,818.0","33,818.0","33,818.0","33,818.0","0.10K","0.00%"
"25/06/2024","33,818.0","33,818.0","33,818.0","33,818.0","0.20K","0.00%"
"19/06/2024","33,818.0","33,818.0","33,818.0","33,818.0","0.20K","-1.41%"
"14/06/2024","34,301.0","34,301.0","34,301.0","34,301.0","0.20K","3.20%"
"05/06/2024","33,238.0","33,238.0","33,238.0","33,190.0","0.80K","0.29%"
"04/06/2024","33,141.0","33,238.0","33,238.0","33,141.0","0.60K","-0.29%"
"03/06/2024","33,238.0","33,238.0","33,238.0","33,238.0","0.30K","0.14%"
"31/05/2024","33,190.0","33,238.0","33,238.0","33,190.0","0.40K","0.00%"
"30/05/2024","33,190.0","33,238.0","33,238.0","33,190.0","0.20K","0.00%"
"29/05/2024","33,190.0","33,238.0","33,238.0","33,190.0","0.50K","0.00%"
"28/05/2024","33,190.0","33,238.0","33,238.0","33,190.0","1.00K","-0.14%"
"27/05/2024","33,238.0","33,141.0","33,238.0","33,141.0","0.60K","0.29%"
"24/05/2024","33,141.0","33,141.0","33,141.0","33,141.0","1.80K","-0.58%"
"22/05/2024","33,334.0","33,334.0","33,334.0","33,334.0","0.20K","2.22%"
"21/05/2024","32,610.0","32,610.0","32,610.0","32,610.0","1.90K","2.90%"
"13/05/2024","31,691.0","31,691.0","31,691.0","31,691.0","1.20K","0.00%"
"10/05/2024","31,691.0","31,691.0","31,691.0","31,691.0","1.00K","0.00%"
"07/05/2024","31,691.0","31,737.0","31,737.0","31,691.0","0.90K","0.00%"
"26/04/2024","31,691.0","33,528.0","33,528.0","31,691.0","0.60K","0.00%"
"15/04/2024","31,691.0","31,691.0","31,691.0","31,691.0","0.80K","-5.35%"
"12/04/2024","33,482.0","33,482.0","33,482.0","33,482.0","1.00K","0.00%"
"04/04/2024","33,482.0","33,482.0","33,482.0","33,482.0","0.10K","-0.14%"
"02/04/2024","33,528.0","33,528.0","33,528.0","33,528.0","0.30K","0.00%"
"27/03/2024","33,528.0","33,528.0","33,528.0","33,528.0","1.00K","0.00%"
"25/03/2024","33,528.0","33,528.0","33,528.0","33,528.0","1.00K","0.00%"
"13/03/2024","33,528.0","33,528.0","33,528.0","33,528.0","0.50K","0.00%"
"11/03/2024","33,528.0","33,528.0","33,528.0","33,528.0","0.50K","-0.82%"
"01/03/2024","33,804.0","33,804.0","33,804.0","33,804.0","0.50K","-0.54%"
"29/02/2024","33,988.0","33,942.0","33,988.0","33,942.0","1.50K","-1.20%"
"27/02/2024","34,401.0","34,401.0","34,401.0","34,401.0","0.50K","-0.93%"
"26/02/2024","34,723.0","34,723.0","34,723.0","34,723.0","4.90K","6.78%"
"23/02/2024","32,518.0","30,773.0","32,518.0","30,773.0","1.20K","6.63%"
"15/02/2024","30,497.0","30,497.0","30,497.0","30,497.0","1.00K","-6.48%"
"02/02/2024","32,610.0","32,610.0","32,610.0","32,610.0","0.40K","0.00%"
"31/01/2024","32,610.0","32,610.0","32,610.0","32,610.0","0.10K","0.00%"
"29/01/2024","32,610.0","32,610.0","32,610.0","32,610.0","1.80K","0.00%"
"26/01/2024","32,610.0","32,610.0","32,610.0","32,610.0","0.50K","0.00%"
"24/01/2024","32,610.0","32,610.0","32,610.0","32,610.0","1.50K","1.43%"
"23/01/2024","32,150.0","32,150.0","32,150.0","32,150.0","0.50K","0.00%"
"22/01/2024","32,150.0","31,048.0","32,150.0","31,048.0","2.00K","6.06%"
"19/01/2024","30,313.0","31,553.0","31,553.0","30,313.0","2.40K","-5.71%"
"18/01/2024","32,150.0","32,564.0","32,564.0","32,150.0","4.50K","-1.27%"
"16/01/2024","32,564.0","32,564.0","32,564.0","32,564.0","0.50K","-0.14%"
"15/01/2024","32,610.0","32,610.0","32,610.0","32,518.0","5.50K","0.00%"
"11/01/2024","32,610.0","32,610.0","32,610.0","32,610.0","0.10K","-1.39%"
"10/01/2024","33,069.0","33,069.0","33,069.0","33,069.0","0.10K","-5.26%"
"04/01/2024","34,906.0","34,906.0","34,906.0","34,906.0","2.00K","0.00%"
"03/01/2024","34,906.0","34,906.0","35,044.0","34,814.0","3.90K","6.44%"
"02/01/2024","32,794.0","32,610.0","32,885.0","32,610.0","2.20K","6.57%"
"26/12/2023","30,773.0","30,773.0","30,773.0","30,773.0","2.00K","0.00%"
"25/12/2023","30,773.0","30,773.0","30,773.0","30,773.0","0.50K","-2.33%"
"06/12/2023","31,507.0","31,507.0","31,507.0","31,507.0","0.10K","-6.80%"
"05/12/2023","33,804.0","33,804.0","33,804.0","33,804.0","0.90K","6.67%"
"04/12/2023","31,691.0","31,691.0","31,691.0","31,691.0","0.20K","4.55%"
"30/11/2023","30,313.0","30,313.0","30,313.0","30,313.0","0.10K","3.12%"
"23/11/2023","29,395.0","29,395.0","29,395.0","29,395.0","0.30K","-5.88%"
"22/11/2023","31,232.0","30,773.0","31,232.0","30,773.0","5.40K","3.82%"
"20/11/2023","30,084.0","30,084.0","30,084.0","30,084.0","2.00K","0.00%"
"16/11/2023","30,084.0","30,084.0","30,084.0","30,084.0","0.20K","0.00%"
"15/11/2023","30,084.0","30,084.0","30,084.0","30,084.0","1.00K","0.00%"
"14/11/2023","30,084.0","31,411.0","31,411.0","30,084.0","1.10K","-4.22%"
"09/11/2023","31,411.0","28,756.0","31,411.0","28,756.0","0.20K","6.93%"
"08/11/2023","29,376.0","29,287.0","29,420.0","29,287.0","0.50K","-5.95%"
