"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","10,394.0","10,355.7","10,394.0","10,355.7","5.81K","1.88%"
"27/06/2024","10,202.2","10,202.2","10,355.7","10,202.2","3.87K","0.00%"
"26/06/2024","10,202.2","10,278.9","10,278.9","10,010.5","6.41K","-0.75%"
"25/06/2024","10,278.9","10,278.9","10,278.9","9,972.1","2.78K","0.00%"
"24/06/2024","10,278.9","10,394.0","10,394.0","9,742.0","22.75K","0.00%"
"21/06/2024","10,278.9","10,355.7","10,355.7","10,278.9","2.18K","-0.74%"
"20/06/2024","10,355.7","10,394.0","10,394.0","10,355.7","1.45K","0.00%"
"19/06/2024","10,355.7","10,394.0","10,394.0","10,125.5","1.09K","0.00%"
"18/06/2024","10,355.7","10,509.1","10,509.1","10,278.9","2.54K","-1.46%"
"17/06/2024","10,509.1","10,278.9","10,509.1","10,125.5","1.69K","2.62%"
"14/06/2024","10,240.6","10,585.8","10,585.8","10,240.6","2.30K","-3.26%"
"13/06/2024","10,585.8","10,240.6","10,585.8","10,125.5","16.33K","4.55%"
"12/06/2024","10,125.5","10,240.6","10,240.6","10,125.5","3.39K","-0.75%"
"11/06/2024","10,202.2","10,317.3","10,317.3","10,202.2","7.74K","-0.75%"
"10/06/2024","10,278.9","10,278.9","10,317.3","10,278.9","2.54K","1.52%"
"07/06/2024","10,125.5","10,432.4","10,432.4","10,125.5","3.87K","-2.94%"
"06/06/2024","10,432.4","10,509.1","10,509.1","9,972.1","17.54K","-0.73%"
"05/06/2024","10,509.1","10,624.1","10,624.1","10,355.7","5.32K","-0.72%"
"04/06/2024","10,585.8","10,624.1","10,624.1","10,585.8","0.24K","0.00%"
"03/06/2024","10,585.8","10,662.5","10,662.5","10,585.8","0.73K","-0.72%"
"31/05/2024","10,662.5","10,509.1","10,662.5","10,432.4","0.73K","1.46%"
"30/05/2024","10,509.1","10,432.4","10,509.1","10,317.3","4.11K","1.48%"
"29/05/2024","10,355.7","10,394.0","10,394.0","10,278.9","7.38K","-0.74%"
"28/05/2024","10,432.4","10,355.7","10,432.4","10,355.7","27.71K","0.74%"
"27/05/2024","10,355.7","10,355.7","10,355.7","10,355.7","0.12K","0.00%"
"24/05/2024","10,355.7","10,355.7","10,355.7","10,278.9","1.69K","0.75%"
"23/05/2024","10,278.9","10,394.0","10,394.0","10,278.9","0.60K","-1.11%"
"22/05/2024","10,394.0","10,394.0","10,394.0","10,125.5","1.94K","0.37%"
"21/05/2024","10,355.7","10,394.0","10,394.0","10,355.7","0.24K","0.00%"
"20/05/2024","10,355.7","10,432.4","10,432.4","10,355.7","0.85K","-0.37%"
"17/05/2024","10,394.0","10,432.4","10,432.4","10,394.0","3.51K","0.00%"
"16/05/2024","10,394.0","10,432.4","10,432.4","10,202.2","1.69K","0.37%"
"15/05/2024","10,355.7","10,432.4","10,432.4","10,355.7","0.36K","0.00%"
"14/05/2024","10,355.7","10,815.9","10,815.9","9,818.7","19.48K","1.50%"
"13/05/2024","10,202.2","10,317.3","10,394.0","9,972.1","14.04K","-1.12%"
"10/05/2024","10,317.3","10,394.0","10,394.0","9,972.1","3.15K","0.00%"
"09/05/2024","10,317.3","10,355.7","10,355.7","10,317.3","0.24K","0.37%"
"08/05/2024","10,278.9","10,202.2","10,355.7","9,972.1","3.15K","3.08%"
"07/05/2024","9,972.1","10,432.4","10,432.4","9,972.1","4.60K","-5.11%"
"06/05/2024","10,509.1","10,202.2","10,509.1","10,202.2","6.17K","4.98%"
"03/05/2024","10,010.5","10,355.7","10,547.4","9,972.1","1.69K","-3.33%"
"02/05/2024","10,355.7","10,432.4","10,432.4","10,355.7","1.21K","0.00%"
"26/04/2024","10,355.7","10,317.3","10,355.7","10,317.3","0.36K","1.12%"
"25/04/2024","10,240.6","10,739.2","10,739.2","10,202.2","5.08K","-2.55%"
"24/04/2024","10,509.1","10,509.1","10,509.1","10,509.1","0.36K","0.00%"
"23/04/2024","10,509.1","10,662.5","10,662.5","10,509.1","0.60K","-1.79%"
"22/04/2024","10,700.8","10,739.2","10,931.0","10,125.5","4.23K","3.72%"
"19/04/2024","10,317.3","9,972.1","10,317.3","9,972.1","1.69K","-1.82%"
"17/04/2024","10,509.1","10,547.4","10,547.4","10,509.1","2.42K","-0.36%"
"16/04/2024","10,547.4","10,662.5","10,700.8","10,394.0","1.45K","-1.43%"
"15/04/2024","10,700.8","10,892.6","10,892.6","10,240.6","15.37K","-1.76%"
"12/04/2024","10,892.6","10,432.4","10,892.6","10,432.4","2.66K","4.41%"
"11/04/2024","10,432.4","10,509.1","10,509.1","10,432.4","2.66K","-0.73%"
"10/04/2024","10,509.1","10,509.1","10,509.1","10,509.1","0.73K","0.00%"
"09/04/2024","10,509.1","10,509.1","10,509.1","10,509.1","0.60K","-0.36%"
"08/04/2024","10,547.4","10,547.4","10,547.4","10,509.1","6.17K","-0.36%"
"05/04/2024","10,585.8","10,585.8","10,585.8","10,585.8","1.33K","-1.08%"
"04/04/2024","10,700.8","10,432.4","10,739.2","10,355.7","6.41K","2.95%"
"03/04/2024","10,394.0","10,394.0","10,394.0","10,048.8","5.44K","-0.73%"
"02/04/2024","10,470.7","10,662.5","10,662.5","10,470.7","3.75K","-1.80%"
