"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","10,000.0","9,500.0","10,100.0","9,500.0","9.46K","3.09%"
"27/06/2024","9,700.0","9,700.0","10,100.0","9,600.0","23.30K","-3.00%"
"26/06/2024","10,000.0","10,300.0","10,400.0","9,600.0","27.70K","-3.85%"
"25/06/2024","10,400.0","10,200.0","10,400.0","9,300.0","54.80K","0.97%"
"24/06/2024","10,300.0","10,500.0","10,600.0","9,600.0","99.83K","-1.90%"
"21/06/2024","10,500.0","10,300.0","10,500.0","10,000.0","56.81K","3.96%"
"20/06/2024","10,100.0","10,600.0","11,000.0","10,100.0","108.09K","-5.61%"
"19/06/2024","10,700.0","11,000.0","11,000.0","10,100.0","32.30K","0.94%"
"18/06/2024","10,600.0","10,700.0","11,200.0","10,100.0","22.10K","3.92%"
"17/06/2024","10,200.0","10,500.0","11,300.0","10,000.0","43.11K","-0.97%"
"14/06/2024","10,300.0","9,400.0","10,300.0","9,400.0","165.97K","9.57%"
"13/06/2024","9,400.0","9,000.0","9,400.0","8,800.0","71.30K","0.00%"
"12/06/2024","9,400.0","9,200.0","9,400.0","8,900.0","37.00K","1.08%"
"11/06/2024","9,300.0","8,800.0","9,400.0","8,400.0","59.50K","0.00%"
"10/06/2024","9,300.0","9,000.0","9,400.0","8,900.0","33.07K","-2.11%"
"07/06/2024","9,500.0","9,300.0","9,500.0","8,600.0","65.30K","2.15%"
"06/06/2024","9,300.0","9,000.0","9,500.0","8,700.0","47.61K","2.20%"
"05/06/2024","9,100.0","9,000.0","9,200.0","8,800.0","36.55K","-1.09%"
"04/06/2024","9,200.0","8,600.0","9,400.0","8,200.0","45.10K","1.10%"
"03/06/2024","9,100.0","9,100.0","9,200.0","8,600.0","31.81K","-1.09%"
"31/05/2024","9,200.0","8,900.0","9,200.0","8,400.0","35.50K","1.10%"
"30/05/2024","9,100.0","8,600.0","9,400.0","8,500.0","51.45K","-2.15%"
"29/05/2024","9,300.0","9,100.0","9,300.0","8,900.0","31.50K","2.20%"
"28/05/2024","9,100.0","8,600.0","9,500.0","8,600.0","89.30K","-1.09%"
"27/05/2024","9,200.0","9,100.0","9,200.0","8,600.0","25.30K","0.00%"
"24/05/2024","9,200.0","8,600.0","9,300.0","8,500.0","37.60K","-1.08%"
"23/05/2024","9,300.0","9,200.0","9,300.0","9,000.0","34.60K","0.00%"
"22/05/2024","9,300.0","9,300.0","9,400.0","8,800.0","42.70K","-1.06%"
"21/05/2024","9,400.0","9,200.0","9,400.0","8,700.0","54.30K","2.17%"
"20/05/2024","9,200.0","9,000.0","9,400.0","8,300.0","33.25K","2.22%"
