"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","23,673.0","23,427.3","24,082.6","23,427.3","655.10K","1.05%"
"27/06/2024","23,427.3","23,509.2","23,918.7","23,345.3","556.93K","-0.35%"
"26/06/2024","23,509.2","23,345.3","24,328.3","23,181.5","622.49K","0.70%"
"25/06/2024","23,345.3","23,345.3","23,591.1","23,099.6","624.69K","0.00%"
"24/06/2024","23,345.3","23,591.1","23,673.0","23,263.4","604.31K","-1.04%"
"21/06/2024","23,591.1","23,509.2","23,673.0","23,099.6","609.06K","0.35%"
"20/06/2024","23,509.2","23,509.2","23,673.0","23,017.7","687.68K","0.00%"
"19/06/2024","23,509.2","23,509.2","23,673.0","23,263.4","615.65K","0.00%"
"18/06/2024","23,509.2","23,427.3","23,673.0","23,263.4","616.90K","0.35%"
"17/06/2024","23,427.3","23,427.3","23,836.8","23,099.6","669.17K","0.00%"
"14/06/2024","23,427.3","23,673.0","24,082.6","23,181.5","631.76K","-1.04%"
"13/06/2024","23,673.0","23,345.3","24,082.6","23,181.5","662.99K","1.40%"
"12/06/2024","23,345.3","23,263.4","23,509.2","23,099.6","712.79K","0.35%"
"11/06/2024","23,263.4","23,099.6","23,427.3","22,853.9","577.13K","0.71%"
"10/06/2024","23,099.6","23,345.3","23,591.1","23,017.7","607.25K","-1.05%"
"07/06/2024","23,345.3","23,345.3","23,673.0","23,099.6","661.39K","0.00%"
"06/06/2024","23,345.3","23,591.1","23,918.7","23,263.4","578.50K","-1.04%"
"05/06/2024","23,591.1","23,181.5","23,754.9","23,017.7","569.63K","0.70%"
"04/06/2024","23,427.3","23,591.1","24,000.6","23,017.7","652.72K","-0.69%"
"03/06/2024","23,591.1","23,591.1","24,082.6","23,263.4","599.08K","0.00%"
"31/05/2024","23,591.1","23,836.8","24,164.5","23,345.3","515.14K","-1.03%"
"30/05/2024","23,836.8","23,836.8","24,000.6","23,181.5","645.68K","0.00%"
"29/05/2024","23,836.8","24,164.5","24,410.2","23,427.3","634.33K","-1.36%"
"28/05/2024","24,164.5","23,754.9","24,492.1","23,345.3","703.08K","1.72%"
"27/05/2024","23,754.9","23,754.9","24,000.6","23,263.4","656.71K","0.00%"
"24/05/2024","23,754.9","24,328.3","24,328.3","23,099.6","657.84K","-2.36%"
"23/05/2024","24,328.3","23,918.7","24,328.3","23,263.4","687.93K","1.71%"
"22/05/2024","23,918.7","24,410.2","24,574.0","23,673.0","633.18K","-2.01%"
"21/05/2024","24,410.2","24,983.6","25,065.5","24,410.2","712.23K","-2.30%"
"20/05/2024","24,983.6","24,901.7","25,147.4","24,737.9","526.91K","0.33%"
"17/05/2024","24,901.7","25,065.5","25,311.3","24,410.2","601.52K","-0.65%"
"16/05/2024","25,065.5","24,983.6","25,229.3","24,246.4","542.78K","0.33%"
"15/05/2024","24,983.6","24,246.4","25,311.3","24,000.6","765.69K","3.04%"
"14/05/2024","24,246.4","23,836.8","24,410.2","23,591.1","750.33K","1.72%"
"13/05/2024","23,836.8","24,082.6","24,246.4","23,427.3","656.60K","-1.02%"
"10/05/2024","24,082.6","24,656.0","24,737.9","23,754.9","618.59K","-2.33%"
"09/05/2024","24,656.0","25,065.5","25,065.5","24,656.0","770.25K","-1.63%"
"08/05/2024","25,065.5","25,229.3","25,311.3","24,410.2","828.93K","-0.65%"
"07/05/2024","25,229.3","25,229.3","25,557.0","24,819.8","779.99K","0.00%"
"06/05/2024","25,229.3","24,574.0","25,802.7","24,082.6","813.79K","2.67%"
"03/05/2024","24,574.0","24,819.8","25,065.5","24,492.1","815.57K","-0.99%"
"02/05/2024","24,819.8","24,983.6","25,229.3","24,656.0","880.06K","-0.66%"
"26/04/2024","24,983.6","24,901.7","25,229.3","24,410.2","916.82K","0.33%"
"25/04/2024","24,901.7","24,901.7","25,311.3","24,328.3","850.90K","0.00%"
"24/04/2024","24,901.7","23,345.3","25,311.3","23,099.6","939.11K","6.67%"
"23/04/2024","23,345.3","23,509.2","23,673.0","23,017.7","854.45K","-0.70%"
"22/04/2024","23,509.2","23,017.7","23,591.1","22,853.9","860.60K","2.14%"
"19/04/2024","23,017.7","23,099.6","23,181.5","22,444.3","791.20K","-0.71%"
"17/04/2024","23,181.5","23,836.8","23,918.7","22,935.8","849.98K","-2.75%"
"16/04/2024","23,836.8","24,082.6","24,164.5","22,853.9","848.96K","-1.02%"
"15/04/2024","24,082.6","24,574.0","24,656.0","23,836.8","828.64K","-2.33%"
"12/04/2024","24,656.0","24,410.2","24,737.9","24,000.6","837.47K","1.01%"
"11/04/2024","24,410.2","24,410.2","24,492.1","24,000.6","800.73K","0.00%"
"10/04/2024","24,410.2","24,574.0","24,983.6","24,246.4","839.47K","-1.00%"
"09/04/2024","24,656.0","24,328.3","24,983.6","24,000.6","865.06K","1.35%"
"08/04/2024","24,328.3","24,328.3","24,410.2","23,918.7","786.20K","0.00%"
"05/04/2024","24,328.3","24,328.3","24,410.2","24,000.6","823.31K","0.00%"
"04/04/2024","24,328.3","24,328.3","24,492.1","24,000.6","831.89K","-0.34%"
"03/04/2024","24,410.2","24,410.2","24,492.1","24,082.6","850.79K","-0.33%"
"02/04/2024","24,492.1","24,410.2","24,492.1","24,082.6","843.33K","0.34%"
"01/04/2024","24,410.2","24,328.3","24,410.2","23,836.8","795.71K","0.34%"
"29/03/2024","24,328.3","24,328.3","24,492.1","24,000.6","795.23K","0.00%"
"28/03/2024","24,328.3","24,246.4","24,410.2","24,000.6","818.95K","0.34%"
"27/03/2024","24,246.4","24,246.4","24,328.3","23,836.8","832.01K","0.00%"
"26/03/2024","24,246.4","24,246.4","24,492.1","24,000.6","779.82K","0.00%"
"25/03/2024","24,246.4","24,328.3","24,574.0","23,918.7","767.36K","-0.34%"
"22/03/2024","24,328.3","24,246.4","24,492.1","24,000.6","781.37K","0.34%"
"21/03/2024","24,246.4","23,836.8","24,328.3","23,591.1","803.67K","1.72%"
"20/03/2024","23,836.8","23,673.0","23,836.8","23,427.3","771.87K","0.69%"
"19/03/2024","23,673.0","23,754.9","24,082.6","23,345.3","820.73K","-0.34%"
"18/03/2024","23,754.9","24,000.6","24,246.4","23,345.3","896.33K","-1.02%"
"15/03/2024","24,000.6","23,836.8","24,082.6","23,263.4","898.13K","0.69%"
"14/03/2024","23,836.8","24,082.6","24,410.2","23,509.2","753.69K","-1.36%"
"13/03/2024","24,164.5","23,345.3","24,901.7","23,017.7","878.49K","3.51%"
"12/03/2024","23,345.3","23,099.6","23,509.2","22,853.9","761.44K","1.06%"
"11/03/2024","23,099.6","23,345.3","23,591.1","23,017.7","735.63K","-1.05%"
"08/03/2024","23,345.3","23,591.1","23,754.9","22,935.8","900.42K","-1.38%"
"07/03/2024","23,673.0","23,181.5","23,754.9","22,935.8","810.94K","2.12%"
"06/03/2024","23,181.5","23,017.7","23,427.3","22,853.9","784.90K","0.71%"
"05/03/2024","23,017.7","23,099.6","23,591.1","22,853.9","725.70K","-0.35%"
"04/03/2024","23,099.6","23,509.2","23,673.0","23,099.6","706.28K","-2.42%"
"01/03/2024","23,673.0","23,427.3","23,754.9","23,263.4","715.06K","0.00%"
"29/02/2024","23,673.0","23,754.9","23,754.9","23,263.4","785.95K","-0.34%"
"28/02/2024","23,754.9","23,754.9","23,754.9","23,263.4","822.93K","0.00%"
"27/02/2024","23,754.9","23,427.3","23,754.9","23,181.5","705.83K","0.69%"
"26/02/2024","23,591.1","23,181.5","23,673.0","23,181.5","751.56K","0.00%"
"23/02/2024","23,591.1","23,345.3","23,754.9","23,099.6","1.06M","0.00%"
"22/02/2024","23,591.1","23,509.2","23,673.0","23,263.4","751.48K","-0.35%"
"21/02/2024","23,673.0","23,754.9","23,836.8","23,263.4","873.15K","-0.34%"
