"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","7,726.0","8,036.9","8,197.1","7,726.0","418.80K","-5.20%"
"27/06/2024","8,150.0","8,442.1","8,668.2","8,008.7","517.90K","-4.95%"
"26/06/2024","8,574.0","8,385.6","8,696.5","8,131.2","422.10K","5.45%"
"25/06/2024","8,131.2","8,574.0","8,574.0","8,102.9","615.00K","-4.11%"
"24/06/2024","8,479.8","8,291.3","8,696.5","8,008.7","1.54M","4.29%"
"21/06/2024","8,131.2","7,631.8","8,131.2","7,613.0","1.36M","6.94%"
"20/06/2024","7,603.5","7,726.0","7,773.1","7,547.0","192.80K","-0.62%"
"19/06/2024","7,650.6","7,678.9","7,726.0","7,650.6","254.90K","0.00%"
"18/06/2024","7,650.6","7,547.0","7,754.3","7,547.0","254.80K","1.50%"
"17/06/2024","7,537.6","7,820.2","7,820.2","7,349.1","291.30K","-1.96%"
"14/06/2024","7,688.3","7,820.2","8,008.7","7,688.3","589.00K","-1.69%"
"13/06/2024","7,820.2","7,678.9","7,895.6","7,631.8","432.10K","2.22%"
"12/06/2024","7,650.6","7,914.5","7,914.5","7,631.8","411.60K","-2.17%"
"11/06/2024","7,820.2","7,914.5","8,008.7","7,678.9","489.60K","-1.19%"
"10/06/2024","7,914.5","7,547.0","8,121.7","7,547.0","1.10M","4.22%"
"07/06/2024","7,594.1","7,405.7","7,678.9","7,320.9","474.30K","2.81%"
"06/06/2024","7,386.8","7,537.6","7,537.6","7,320.9","96.30K","-0.26%"
"05/06/2024","7,405.7","7,433.9","7,433.9","7,254.9","329.90K","0.64%"
"04/06/2024","7,358.6","7,415.1","7,537.6","7,358.6","219.90K","-1.14%"
"03/06/2024","7,443.4","7,490.5","7,688.3","7,349.1","312.30K","1.81%"
"31/05/2024","7,311.4","7,584.7","7,584.7","7,311.4","211.40K","-2.76%"
"30/05/2024","7,518.7","7,349.1","7,820.2","7,302.0","334.40K","-2.45%"
"29/05/2024","7,707.2","7,330.3","7,810.8","7,320.9","461.60K","3.54%"
"28/05/2024","7,443.4","7,622.4","7,622.4","7,349.1","303.80K","-0.63%"
"27/05/2024","7,490.5","7,358.6","7,537.6","7,349.1","158.00K","0.13%"
"24/05/2024","7,481.0","7,481.0","7,547.0","7,302.0","538.00K","-0.13%"
"23/05/2024","7,490.5","7,622.4","7,622.4","7,471.6","366.70K","1.02%"
"22/05/2024","7,415.1","7,462.2","7,716.6","7,358.6","588.10K","-0.38%"
"21/05/2024","7,443.4","7,518.7","7,518.7","7,330.3","238.80K","1.15%"
"20/05/2024","7,358.6","7,415.1","7,443.4","7,330.3","408.20K","-0.76%"
"17/05/2024","7,415.1","7,528.2","7,613.0","7,377.4","433.20K","-1.50%"
"16/05/2024","7,528.2","7,528.2","7,867.3","7,433.9","644.70K","0.00%"
"15/05/2024","7,528.2","7,038.2","7,528.2","7,038.2","1.29M","6.96%"
"14/05/2024","7,038.2","6,586.0","7,038.2","6,501.2","307.80K","6.87%"
"13/05/2024","6,586.0","6,670.8","6,670.8","6,406.9","92.30K","2.80%"
"10/05/2024","6,406.9","6,397.5","6,472.9","6,312.7","60.30K","0.15%"
"09/05/2024","6,397.5","6,350.4","6,529.4","6,350.4","91.30K","0.15%"
"08/05/2024","6,388.1","6,425.8","6,463.5","6,265.6","64.40K","-0.29%"
"07/05/2024","6,406.9","6,576.5","6,576.5","6,378.7","49.10K","-1.16%"
"06/05/2024","6,482.3","6,548.3","6,548.3","6,331.6","70.10K","2.69%"
"03/05/2024","6,312.7","6,312.7","6,359.8","6,246.8","96.80K","0.00%"
"02/05/2024","6,312.7","6,312.7","6,501.2","6,312.7","86.60K","-0.59%"
"26/04/2024","6,350.4","6,312.7","6,501.2","6,312.7","101.90K","-2.32%"
"25/04/2024","6,501.2","6,689.6","6,689.6","6,425.8","79.90K","0.00%"
"24/04/2024","6,501.2","6,425.8","6,604.8","6,425.8","133.30K","1.77%"
"23/04/2024","6,388.1","6,482.3","6,482.3","6,265.6","41.50K","0.44%"
"22/04/2024","6,359.8","6,576.5","6,576.5","6,218.5","62.90K","2.90%"
"19/04/2024","6,180.8","6,218.5","6,406.9","6,180.8","275.50K","-0.61%"
"17/04/2024","6,218.5","6,548.3","6,548.3","6,218.5","119.20K","-1.05%"
"16/04/2024","6,284.5","6,425.8","6,595.4","6,030.1","303.80K","-2.20%"
"15/04/2024","6,425.8","6,972.3","6,972.3","6,425.8","537.50K","-6.96%"
"12/04/2024","6,906.3","6,689.6","7,038.2","6,689.6","354.60K","2.66%"
"11/04/2024","6,727.3","6,783.8","6,783.8","6,406.9","353.10K","-0.97%"
"10/04/2024","6,793.2","6,953.4","6,953.4","6,783.8","344.10K","-2.17%"
"09/04/2024","6,944.0","6,925.1","7,075.9","6,878.0","188.90K","0.27%"
"08/04/2024","6,925.1","6,972.3","7,339.7","6,774.4","541.60K","-4.05%"
"05/04/2024","7,217.2","6,906.3","7,254.9","6,906.3","302.70K","-1.79%"
"04/04/2024","7,349.1","7,368.0","7,377.4","7,207.8","348.60K","-0.26%"
"03/04/2024","7,368.0","7,603.5","7,613.0","7,349.1","388.30K","-3.10%"
"02/04/2024","7,603.5","7,763.7","7,763.7","7,528.2","380.00K","-0.25%"
"01/04/2024","7,622.4","7,820.2","7,820.2","7,556.4","260.70K","-1.22%"
"29/03/2024","7,716.6","7,999.3","8,055.8","7,688.3","332.20K","0.99%"
"28/03/2024","7,641.2","8,008.7","8,102.9","7,594.1","344.20K","-4.59%"
"27/03/2024","8,008.7","8,197.1","8,197.1","7,876.8","656.60K","3.41%"
"26/03/2024","7,744.9","7,415.1","7,744.9","7,254.9","557.30K","6.89%"
