"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","48,583.0","48,750.0","48,917.0","48,500.0","1.49M","0.34%"
"27/06/2024","48,417.0","48,667.0","48,667.0","48,333.0","1.29M","-0.68%"
"26/06/2024","48,750.0","48,167.0","48,833.0","48,083.0","1.01M","1.39%"
"25/06/2024","48,083.0","47,750.0","48,167.0","47,500.0","1.37M","0.87%"
"24/06/2024","47,667.0","48,167.0","48,333.0","47,500.0","1.01M","-0.35%"
"21/06/2024","47,833.0","47,917.0","48,333.0","47,333.0","1.72M","0.00%"
"20/06/2024","47,833.0","47,833.0","48,417.0","47,250.0","1.44M","0.00%"
"19/06/2024","47,833.0","48,000.0","48,000.0","47,333.0","1.46M","-0.18%"
"18/06/2024","47,917.0","47,750.0","48,250.0","47,250.0","1.36M","0.35%"
"17/06/2024","47,750.0","47,917.0","48,083.0","47,667.0","1.40M","-0.35%"
"14/06/2024","47,917.0","48,750.0","49,000.0","47,917.0","1.43M","-1.71%"
"13/06/2024","48,750.0","48,250.0","48,750.0","48,167.0","1.18M","1.04%"
"12/06/2024","48,250.0","47,917.0","48,583.0","47,500.0","1.34M","0.87%"
"11/06/2024","47,833.0","48,750.0","48,833.0","47,833.0","1.17M","-1.88%"
"10/06/2024","48,750.0","48,917.0","48,917.0","48,083.0","1.30M","-0.34%"
"07/06/2024","48,917.0","49,167.0","49,250.0","48,917.0","1.20M","-0.51%"
"06/06/2024","49,167.0","49,833.0","49,833.0","49,167.0","1.42M","-1.17%"
"05/06/2024","49,750.0","50,250.0","50,417.0","49,750.0","1.51M","-0.83%"
"04/06/2024","50,167.0","50,167.0","50,333.0","50,000.0","1.42M","0.00%"
"03/06/2024","50,167.0","49,833.0","51,000.0","49,500.0","2.26M","1.18%"
"31/05/2024","49,583.0","49,333.0","49,583.0","49,250.0","1.42M","0.68%"
"30/05/2024","49,250.0","49,000.0","49,250.0","48,667.0","1.55M","0.34%"
"29/05/2024","49,083.0","49,000.0","49,083.0","49,000.0","1.49M","0.17%"
"28/05/2024","49,000.0","48,500.0","49,000.0","48,333.0","1.70M","0.86%"
"27/05/2024","48,583.0","48,417.0","48,583.0","48,333.0","1.42M","0.17%"
"24/05/2024","48,500.0","48,750.0","48,750.0","48,333.0","1.47M","-0.51%"
"23/05/2024","48,750.0","48,583.0","48,917.0","48,583.0","1.46M","-0.34%"
"22/05/2024","48,917.0","49,167.0","49,167.0","48,833.0","1.34M","-0.51%"
"21/05/2024","49,167.0","49,333.0","49,333.0","49,083.0","1.28M","-0.67%"
"20/05/2024","49,500.0","49,333.0","49,500.0","49,250.0","1.49M","0.34%"
"17/05/2024","49,333.0","49,667.0","49,667.0","49,167.0","1.52M","-0.34%"
"16/05/2024","49,500.0","48,750.0","49,500.0","48,750.0","1.62M","1.54%"
"15/05/2024","48,750.0","47,833.0","48,833.0","47,833.0","1.40M","1.74%"
"14/05/2024","47,917.0","47,833.0","48,083.0","47,750.0","1.45M","-0.35%"
"13/05/2024","48,083.0","48,333.0","48,500.0","48,083.0","1.54M","-0.52%"
"10/05/2024","48,333.0","48,750.0","48,750.0","48,250.0","1.55M","-0.86%"
"09/05/2024","48,750.0","48,750.0","48,833.0","48,083.0","1.22M","0.00%"
"08/05/2024","48,750.0","49,333.0","49,417.0","48,667.0","1.53M","-1.18%"
"07/05/2024","49,333.0","49,333.0","49,333.0","48,583.0","1.82M","0.34%"
"06/05/2024","49,167.0","48,417.0","49,167.0","48,333.0","1.46M","1.03%"
"03/05/2024","48,667.0","48,750.0","48,833.0","48,667.0","1.64M","-0.17%"
"02/05/2024","48,750.0","49,250.0","49,250.0","48,667.0","1.06M","-0.85%"
