"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"28/06/2024","9,180.0","9,830.0","9,840.0","9,180.0","20.30K","-6.71%"
"27/06/2024","9,840.0","9,890.0","9,900.0","9,030.0","23.80K","1.44%"
"26/06/2024","9,700.0","9,700.0","9,970.0","9,400.0","54.40K","0.83%"
"25/06/2024","9,620.0","9,980.0","9,990.0","9,610.0","57.50K","-3.80%"
"24/06/2024","10,000.0","10,200.0","10,400.0","9,720.0","98.40K","-1.96%"
"21/06/2024","10,200.0","10,700.0","10,700.0","10,050.0","69.30K","2.00%"
"20/06/2024","10,000.0","10,450.0","10,650.0","10,000.0","37.90K","-4.31%"
"19/06/2024","10,450.0","10,500.0","10,650.0","10,300.0","35.40K","-0.48%"
"18/06/2024","10,500.0","10,350.0","10,700.0","10,200.0","3.80K","0.96%"
"17/06/2024","10,400.0","10,300.0","10,400.0","9,660.0","26.50K","0.97%"
"14/06/2024","10,300.0","10,700.0","11,100.0","10,300.0","35.50K","-3.29%"
"13/06/2024","10,650.0","11,000.0","11,500.0","10,600.0","76.30K","-2.74%"
"12/06/2024","10,950.0","11,200.0","11,400.0","10,700.0","69.20K","-2.67%"
"11/06/2024","11,250.0","11,950.0","11,950.0","10,950.0","163.70K","0.45%"
"10/06/2024","11,200.0","11,100.0","11,200.0","11,000.0","99.80K","6.67%"
"07/06/2024","10,500.0","9,950.0","10,500.0","9,800.0","172.90K","6.92%"
"06/06/2024","9,820.0","9,850.0","9,850.0","9,750.0","36.80K","0.10%"
"05/06/2024","9,810.0","9,840.0","9,840.0","9,730.0","19.60K","-0.41%"
"04/06/2024","9,850.0","9,750.0","9,980.0","9,700.0","33.30K","0.51%"
"03/06/2024","9,800.0","9,600.0","9,830.0","9,600.0","28.00K","0.93%"
"31/05/2024","9,710.0","9,720.0","9,950.0","9,710.0","16.20K","-0.10%"
"30/05/2024","9,720.0","10,000.0","10,000.0","9,650.0","54.00K","-2.51%"
